web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894422-1678","https://www.google.com/maps/place/The+Haan+Museum+of+Indiana+Art/@40.3763394,-87.5207852,8.92z/data=!4m10!1m2!2m1!1sthings+to+do+in+lafayete+in!3m6!1s0x88131d411bb8e009:0xa128c2c60528a7ea!8m2!3d40.4127803!4d-86.8853707!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TTNCTU9UVkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","1904 World's Fair mansion, now a showcase for Indiana art & ceramics & antique American furniture."
"1654894391-1675","https://www.google.com/maps/place/Fort+Ouiatenon/@40.3763394,-87.5207852,8.92z/data=!4m6!1m2!2m1!1sthings+to+do+in+lafayete+in!3m2!1s0x8812e36b7d91954d:0xbb7e81b8f8af33a!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE1FdE1jR2RSUlJBQg","Fort Ouiatenon","4.7","feastofthehuntersmoon.org","3129 S River Rd, West Lafayette, IN 47906","null","null","https://lh5.googleusercontent.com/p/AF1QipPDeBx7qcofwbQNjsCAhj4a2bRGdQUsGG3fg1E-=w408-h272-k-no","null"
"1654894453-1681","https://www.google.com/maps/place/Columbian+Park+Zoo/@40.3763394,-87.5207852,8.92z/data=!4m9!1m2!2m1!1sthings+to+do+in+lafayete+in!3m5!1s0x88131d235723d38b:0x8da4c7f7d6344590!8m2!3d40.4134673!4d-86.8705371!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QTkhCbVVVZEJFQUU","Columbian Park Zoo","4.6","columbianparkzoo.org","1915 Scott St, Lafayette, IN 47904","null","null","https://lh5.googleusercontent.com/p/AF1QipMrRMs787qzWuJiRc0-oxcJ_BvhLpBTBhgUERju=w408-h306-k-no","null"
"1654894381-1674","https://www.google.com/maps/place/Fort+Ouiatenon/@40.3763394,-87.5207852,8.92z/data=!4m10!1m2!2m1!1sthings+to+do+in+lafayete+in!3m6!1s0x8812e36b7d91954d:0xbb7e81b8f8af33a!8m2!3d40.4063479!4d-86.9635938!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE1FdE1jR2RSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Museum in a replica of the wooden blockhouse that was originally built here in 1717 by the French."
"1654894370-1673","https://www.google.com/maps/place/Sizzling+Wok/@39.8339586,-86.307639,13z/data=!4m9!1m2!2m1!1sfood+in++lafayette+in!3m5!1s0x886b5608deb36519:0x723b8fb47daa8ea4!8m2!3d39.8339863!4d-86.2440921!15sChVmb29kIGluICBsYWZheWV0dGUgaW5aFiIUZm9vZCBpbiBsYWZheWV0dGUgaW6SARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlpOMHRMYWtOQkVBRQ","Sizzling Wok","4.4","sizzling-wok-indy.com","4351 Lafayette Rd, Indianapolis, IN 46254","null","null","https://lh5.googleusercontent.com/p/AF1QipNTiRrej2Sxfaf0eKQBNRZy3TmfBxJXDAdBaXIL=w408-h544-k-no","null"
"1654894442-1680","https://www.google.com/maps/place/Columbian+Park+Zoo/@40.3763394,-87.5207852,8.92z/data=!4m10!1m2!2m1!1sthings+to+do+in+lafayete+in!3m6!1s0x88131d235723d38b:0x8da4c7f7d6344590!8m2!3d40.4134673!4d-86.8705371!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QTkhCbVVVZEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Action-packed park featuring a seasonal zoo, walking trails & a high-energy playground."
"1654894432-1679","https://www.google.com/maps/place/The+Haan+Museum+of+Indiana+Art/@40.3763394,-87.5207852,8.92z/data=!4m9!1m2!2m1!1sthings+to+do+in+lafayete+in!3m5!1s0x88131d411bb8e009:0xa128c2c60528a7ea!8m2!3d40.4127803!4d-86.8853707!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TTNCTU9UVkJSUkFC","The Haan Museum of Indiana Art","4.7","thehaan.org","920 State St, Lafayette, IN 47905","null","null","https://lh5.googleusercontent.com/p/AF1QipOHnOCkUjO5Gc3pIwZPy7yfp0QdN2ekenKcG8Mm=w408-h306-k-no","null"
"1654894411-1677","https://www.google.com/maps/place/Art+Museum+of+Greater+Lafayette/@40.3763394,-87.5207852,8.92z/data=!4m9!1m2!2m1!1sthings+to+do+in+lafayete+in!3m5!1s0x88131d46c1c39fdf:0xc79f267a623de21c!8m2!3d40.4163115!4d-86.8863246!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoySnRkRVJuRUFF","Art Museum of Greater Lafayette","4.5","artlafayette.org","102 S 10th St, Lafayette, IN 47905","null","null","https://lh5.googleusercontent.com/p/AF1QipPkWv5GaSKes7CVNPKCnjhDeVMRDjf5oPFgvBeU=w411-h240-k-no","null"
"1654894360-1672","https://www.google.com/maps/place/Sizzling+Wok/@39.8339586,-86.307639,13z/data=!4m10!1m2!2m1!1sfood+in++lafayette+in!3m6!1s0x886b5608deb36519:0x723b8fb47daa8ea4!8m2!3d39.8339863!4d-86.2440921!10e1!15sChVmb29kIGluICBsYWZheWV0dGUgaW5aFiIUZm9vZCBpbiBsYWZheWV0dGUgaW6SARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlpOMHRMYWtOQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Low-key spot for tailor-made Vietnamese & Chinese fare known for ample dishes & flavorful pho broth."
"1654894401-1676","https://www.google.com/maps/place/Art+Museum+of+Greater+Lafayette/@40.3763394,-87.5207852,8.92z/data=!4m10!1m2!2m1!1sthings+to+do+in+lafayete+in!3m6!1s0x88131d46c1c39fdf:0xc79f267a623de21c!8m2!3d40.4163115!4d-86.8863246!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGFmYXlldGUgaW5aHSIbdGhpbmdzIHRvIGRvIGluIGxhZmF5ZXRlIGlukgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoySnRkRVJuRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Charming local museum established in 1909 offering exhibits by regional artists, classes & events."
