web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893118-1607","https://www.google.com/maps/place/Science+City/@39.1765826,-95.0465507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kansas+city!3m6!1s0x87c0f0408378fb9f:0xb17669b67a4bfcc9!8m2!3d39.085408!4d-94.5861467!10e1!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEOc2NpZW5jZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhaMlpMTUVKUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Family-friendly museum with interactive science displays, including a test kitchen & planetarium."
"1654893097-1605","https://www.google.com/maps/place/The+National+Museum+of+Toys+and+Miniatures/@39.1765826,-95.0465507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kansas+city!3m6!1s0x87c0ef98672ed72d:0x346fd8cb5de11611!8m2!3d39.0307741!4d-94.5820813!10e1!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15TldKSFVESkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Eclectic array of collectible toys, antique marbles & miniature reproductions of fine furnishings."
"1654893149-1610","https://www.google.com/maps/place/Worlds+of+Fun/@39.0159049,-95.2990092,10z/data=!3m1!5s0x87c0f03e85c2a70b:0x1ff24dbfd0c5d6e5!4m6!1m2!2m1!1sthings+to+do+in+kansas+city!3m2!1s0x87c0f94858222013:0x885420a167ef83c9!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEKdGhlbWVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWk5Ga3lTRGwzUlJBQg","Worlds of Fun","4.3","worldsoffun.com","4545 Worlds of Fun Ave, Kansas City, MO 64161","null","null","https://lh5.googleusercontent.com/p/AF1QipPttV14nx8YhfbvvKUVWEIYKF7yJSR73QdzIRiH=w408-h272-k-no","null"
"1654893159-1611","https://www.google.com/maps/place/National+WWI+Museum+and+Memorial/@39.0159049,-95.2990092,10z/data=!3m1!5s0x87c0f03e85c2a70b:0x1ff24dbfd0c5d6e5!4m10!1m2!2m1!1sthings+to+do+in+kansas+city!3m6!1s0x87c0f03c263230a7:0x914ce1eaa8dc355f!8m2!3d39.080663!4d-94.5860835!10e1!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEKd2FyX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTGJsOHRZMjEzUlJBQg","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Assistive hearing loop   Wheelchair rental","Amenities    Good for kids","null","The nation's only public museum dedicated to WWI, with a large collection of photos, weapons & more."
"1654893128-1608","https://www.google.com/maps/place/Science+City/@39.1765826,-95.0465507,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kansas+city!3m5!1s0x87c0f0408378fb9f:0xb17669b67a4bfcc9!8m2!3d39.085408!4d-94.5861467!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEOc2NpZW5jZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhaMlpMTUVKUkVBRQ","Science City","4.7","unionstation.org","Union Station, 30 W Pershing Rd, Kansas City, MO 64108","null","null","https://lh5.googleusercontent.com/p/AF1QipMbI-YNi5uG_LOXJiL5MBzv0swrtlmGzDQdw5Y=w408-h306-k-no","null"
"1654893107-1606","https://www.google.com/maps/place/The+National+Museum+of+Toys+and+Miniatures/@39.1765826,-95.0465507,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kansas+city!3m5!1s0x87c0ef98672ed72d:0x346fd8cb5de11611!8m2!3d39.0307741!4d-94.5820813!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15TldKSFVESkJSUkFC","The National Museum of Toys and Miniatures","4.8","toyandminiaturemuseum.org","5235 Oak St, Kansas City, MO 64112","null","null","https://lh5.googleusercontent.com/p/AF1QipPlCTKss1WSWdVDPTMfPNCmO7hl3P3AHNMQrC6x=w408-h408-k-no","null"
"1654893138-1609","https://www.google.com/maps/place/Worlds+of+Fun/@39.1765826,-95.0465507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kansas+city!3m6!1s0x87c0f94858222013:0x885420a167ef83c9!8m2!3d39.1765826!4d-94.486248!10e1!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEKdGhlbWVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWk5Ga3lTRGwzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Baggage storage   Bar onsite   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Theme park boasting roller coasters, thrill rides, live entertainment & a Snoopy-themed kids' area."
"1654893169-1612","https://www.google.com/maps/place/National+WWI+Museum+and+Memorial/@39.0159049,-95.2990092,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kansas+city!3m5!1s0x87c0f03c263230a7:0x914ce1eaa8dc355f!8m2!3d39.080663!4d-94.5860835!15sCht0aGluZ3MgdG8gZG8gaW4ga2Fuc2FzIGNpdHlaHSIbdGhpbmdzIHRvIGRvIGluIGthbnNhcyBjaXR5kgEKd2FyX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTGJsOHRZMjEzUlJBQg","National WWI Museum and Memorial","4.9","theworldwar.org","2 Memorial Dr, Kansas City, MO 64108","null","null","https://lh5.googleusercontent.com/p/AF1QipPSPsgEDLOEakn_o2MFFCzrvvY0whrnVNu4bOh6=w408-h306-k-no","null"
"1654893087-1604","https://www.google.com/maps/place/True+Food+Kitchen/@39.0545608,-94.7285223,11z/data=!4m6!1m2!2m1!1sfood+in+kansas+city!3m2!1s0x87c0efde7b31c369:0xe55477d7c815c284!15sChNmb29kIGluIGthbnNhcyBjaXR5WhUiE2Zvb2QgaW4ga2Fuc2FzIGNpdHmSARZoZWFsdGhfZm9vZF9yZXN0YXVyYW50","True Food Kitchen","4.5","truefoodkitchen.com","4749 Pennsylvania Ave, Kansas City, MO 64112","null","null","https://lh5.googleusercontent.com/p/AF1QipMcM3QV3TrkxJap-FGiypkRaaCpTuTMxk6Y-_cp=w408-h272-k-no","null"
"1654893077-1603","https://www.google.com/maps/place/True+Food+Kitchen/@39.0545608,-94.7285223,11z/data=!3m1!5s0x87c0efb82d4c5757:0x2ea7f69a03a815a1!4m10!1m2!2m1!1sfood+in+kansas+city!3m6!1s0x87c0efde7b31c369:0xe55477d7c815c284!8m2!3d39.040465!4d-94.593679!10e1!15sChNmb29kIGluIGthbnNhcyBjaXR5WhUiE2Zvb2QgaW4ga2Fuc2FzIGNpdHmSARZoZWFsdGhfZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Restroom","null","Relaxed, eco-chic chain serving health-conscious fare, including vegan options, plus cocktails."
