web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893365-549","https://www.google.com/maps/place/Watkins+Museum+of+History/@38.9332,-96.3372855,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m5!1s0x87bf6f500c6ba619:0xb143fa80a90366c8!8m2!3d38.9639606!4d-95.2361104!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEOaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhkbHBsWkRKUlJSQUI","Watkins Museum of History","4.6","watkinsmuseum.org","1047 Massachusetts St, Lawrence, KS 66044","null","null","https://lh5.googleusercontent.com/p/AF1QipPZUmHjFy1ubIG_egLQlhC3gcLAMmh7r3WDfCGR=w408-h260-k-no","null"
"1654893334-546","https://www.google.com/maps/place/The+Mad+Greek/@38.9469831,-95.2809966,13z/data=!4m10!1m2!2m1!1sfood+in+lawrence+ks!3m6!1s0x87bf6f5b21907c8b:0x87913c5c88e33630!8m2!3d38.9671698!4d-95.2360996!10e1!15sChNmb29kIGluIGxhd3JlbmNlIGtzWhUiE2Zvb2QgaW4gbGF3cmVuY2Uga3OSARBncmVla19yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZDA5aFkyaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Greek & Italian specialties, plus burgers, served in a bright cafe-style setting with a full bar."
"1654893406-553","https://www.google.com/maps/place/Spencer+Museum+of+Art/@38.9332,-96.3372855,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m2!1s0x87bf6f4973c22b41:0x52c024a55f01b05e!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObmNqUmlialZSUlJBQg","Spencer Museum of Art","4.5","spencerart.ku.edu","1301 Mississippi St, Lawrence, KS 66045","null","null","https://lh5.googleusercontent.com/p/AF1QipOmCX3wpgZvjlquSohAhYBqplyxIj0yn6yrQxyZ=w408-h408-k-no","null"
"1654893396-552","https://www.google.com/maps/place/Spencer+Museum+of+Art/@38.9332,-96.3372855,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m6!1s0x87bf6f4973c22b41:0x52c024a55f01b05e!8m2!3d38.9596485!4d-95.244444!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObmNqUmlialZSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","University-affiliated museum with a large collection used for education in fine arts & art history."
"1654893426-555","https://www.google.com/maps/place/Prairie+Park+Nature+Center/@38.860741,-95.3929813,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m5!1s0x87bf663d7b050b27:0xe84c0b5d78b8ceb8!8m2!3d38.9332!4d-95.21668!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdGNHOVBjRGRuUlJBQg","Prairie Park Nature Center","4.6","lawrenceks.org","2730 Harper St, Lawrence, KS 66046","null","null","https://lh5.googleusercontent.com/p/AF1QipM1zLagCEh2-V21G2122ZJmqHZmRMW4VXkFL4lv=w408-h306-k-no","null"
"1654893375-550","https://www.google.com/maps/place/KU+Natural+History+Museum--Dyche+Hall/@38.9332,-96.3372855,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m6!1s0x87bf6f4be41f5b8b:0xd7de353262ebb4d6!8m2!3d38.9584694!4d-95.2435675!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGRGcHlWbkJSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Part of the KU Biodiversity Institute, examining the earth's history & tracking ongoing discoveries."
"1654893355-548","https://www.google.com/maps/place/Watkins+Museum+of+History/@38.9332,-96.3372855,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m6!1s0x87bf6f500c6ba619:0xb143fa80a90366c8!8m2!3d38.9639606!4d-95.2361104!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEOaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhkbHBsWkRKUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Polished venue featuring displays & artifacts about the Civil War & the life of early settlers."
"1654893345-547","https://www.google.com/maps/place/The+Mad+Greek/@38.9469831,-95.2809966,13z/data=!4m6!1m2!2m1!1sfood+in+lawrence+ks!3m2!1s0x87bf6f5b21907c8b:0x87913c5c88e33630!15sChNmb29kIGluIGxhd3JlbmNlIGtzWhUiE2Zvb2QgaW4gbGF3cmVuY2Uga3OSARBncmVla19yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZDA5aFkyaFJSUkFC","The Mad Greek","4.5","themadgreeklawrence.com","907 Massachusetts St, Lawrence, KS 66044","null","null","https://lh5.googleusercontent.com/p/AF1QipOmyC_yJRVgp4Azgf8zSHwnaBmEw8fVE5SP-bT7=w480-h240-k-no","null"
"1654893416-554","https://www.google.com/maps/place/Prairie+Park+Nature+Center/@38.9332,-96.3372855,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m6!1s0x87bf663d7b050b27:0xe84c0b5d78b8ceb8!8m2!3d38.9332!4d-95.21668!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdGNHOVBjRGRuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","100-acres of wetlands, woodlands, prairie habitats & a lake, plus a nature center with live birds."
"1654893385-551","https://www.google.com/maps/place/KU+Natural+History+Museum--Dyche+Hall/@38.9332,-96.3372855,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawrence+ks!3m5!1s0x87bf6f4be41f5b8b:0xd7de353262ebb4d6!8m2!3d38.9584694!4d-95.2435675!15sCht0aGluZ3MgdG8gZG8gaW4gbGF3cmVuY2Uga3NaHSIbdGhpbmdzIHRvIGRvIGluIGxhd3JlbmNlIGtzkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGRGcHlWbkJSUlJBQg","KU Natural History Museum--Dyche Hall","4.7","biodiversity.ku.edu","Dyche Hall, 1345 Jayhawk Blvd, Lawrence, KS 66045","null","null","https://lh5.googleusercontent.com/p/AF1QipPDlyxqtLKB0FEXD2T7WLpAEtVBEytPJa1YJPE=w408-h303-k-no","null"
