web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892946-530","https://www.google.com/maps/place/Exploration+Place/@37.6745232,-97.5313988,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wichita+ks!3m6!1s0x87bae3dee566bb13:0xc5324bec67bed5e4!8m2!3d37.6894608!4d-97.3479499!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZERjM1JtTlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Exhibits, films, live shows, & hands-on science & discovery programs for kids and adults."
"1654892957-531","https://www.google.com/maps/place/Exploration+Place/@37.6745232,-97.5313988,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+wichita+ks!3m5!1s0x87bae3dee566bb13:0xc5324bec67bed5e4!8m2!3d37.6894608!4d-97.3479499!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZERjM1JtTlJFQUU","Exploration Place","4.6","exploration.org","300 N McLean Blvd, Wichita, KS 67203","null","null","https://lh5.googleusercontent.com/p/AF1QipNdGCYZ_kml_gG07b_yTexfmsT_Y5JllE3pkEVP=w426-h240-k-no","null"
"1654892997-535","https://www.google.com/maps/place/Museum+of+World+Treasures/@37.6745232,-97.5313988,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+wichita+ks!3m5!1s0x87bae3957cf13f77:0x137d229e56c5f5ba!8m2!3d37.687089!4d-97.327885!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGNWazJVRkozRUFF","Museum of World Treasures","4.6","worldtreasures.org","835 E 1st St N, Wichita, KS 67202","null","null","https://lh5.googleusercontent.com/p/AF1QipOR4udqvtjgDl3h9ByiXBKaYNMAB7zruAd7kF0s=w408-h272-k-no","null"
"1654892977-533","https://www.google.com/maps/place/Sedgwick+County+Zoo/@37.6745232,-97.5313988,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+wichita+ks!3m2!1s0x87bae044baad5b0d:0x9ea9ab14759c6a74!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTGQwczNVMVpCRUFF","Sedgwick County Zoo","4.7","scz.org","5555 W Zoo Blvd, Wichita, KS 67212","null","null","https://lh5.googleusercontent.com/p/AF1QipP7k9UN5Rz71T4H8WS4hv_RuVyw7sQoO90Qit2a=w408-h272-k-no","null"
"1654892916-527","https://www.google.com/maps/place/The+Beacon+Restaurant/@37.6975336,-97.3808193,12z/data=!4m9!1m2!2m1!1sfood+in+wichita+ks!3m5!1s0x87bae395a1375e25:0xa287d7996556d09b!8m2!3d37.6858783!4d-97.3271104!15sChJmb29kIGluIHdpY2hpdGEga3NaFCISZm9vZCBpbiB3aWNoaXRhIGtzkgEKcmVzdGF1cmFudA","The Beacon Restaurant","4.5","null","909 E Douglas Ave, Wichita, KS 67202","null","null","https://lh5.googleusercontent.com/p/AF1QipPoUdFdKu7j5nbho-tvwxg2LWi40CcLYnp0ioAG=w481-h240-k-no","null"
"1654892987-534","https://www.google.com/maps/place/Museum+of+World+Treasures/@37.6745232,-97.5313988,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wichita+ks!3m6!1s0x87bae3957cf13f77:0x137d229e56c5f5ba!8m2!3d37.687089!4d-97.327885!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGNWazJVRkozRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","A history-of-the-world museum with an educational focus & hands-on children's activity center."
"1654892967-532","https://www.google.com/maps/place/Sedgwick+County+Zoo/@37.6745232,-97.5313988,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wichita+ks!3m6!1s0x87bae044baad5b0d:0x9ea9ab14759c6a74!8m2!3d37.7170497!4d-97.4085119!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTGQwczNVMVpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Animals organized by continent, plus educational programs for various age groups."
"1654892936-529","https://www.google.com/maps/place/Botanica,+The+Wichita+Gardens/@37.6745232,-97.5313988,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+wichita+ks!3m2!1s0x87bae16fc6bbd679:0xcec273723c51ad80!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGNrOVhZVzFCUlJBQg","Botanica, The Wichita Gardens","4.8","botanica.org","701 Amidon St, Wichita, KS 67203","null","null","https://lh5.googleusercontent.com/p/AF1QipNGoUi0PDzOgjV7yx8KVXLPQJD0UdzR8UgdPA70=w408-h408-k-no","null"
"1654892926-528","https://www.google.com/maps/place/Botanica,+The+Wichita+Gardens/@37.6745232,-97.5313988,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wichita+ks!3m6!1s0x87bae16fc6bbd679:0xcec273723c51ad80!8m2!3d37.6964476!4d-97.3634268!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc1ocIhp0aGluZ3MgdG8gZG8gaW4gd2ljaGl0YSBrc5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGNrOVhZVzFCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Imaginative, verdant botanical garden with children's areas, a butterfly house, events & more."
"1654892906-526","https://www.google.com/maps/place/The+Beacon+Restaurant/@37.6975336,-97.3808193,12z/data=!4m10!1m2!2m1!1sfood+in+wichita+ks!3m6!1s0x87bae395a1375e25:0xa287d7996556d09b!8m2!3d37.6858783!4d-97.3271104!10e1!15sChJmb29kIGluIHdpY2hpdGEga3NaFCISZm9vZCBpbiB3aWNoaXRhIGtzkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Homey diner serving American fare & breakfast, from classic omelets to fruit-topped waffles."
