web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892718-520","https://www.google.com/maps/place/Historic+RailPark+%26+Train+Museum/@36.9530369,-86.7533148,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bowling+green!3m6!1s0x8865ef4701cb1d77:0x97eb8155e6668644!8m2!3d37.0001758!4d-86.4382464!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4Ym1GWVVFTm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Train museum in a former station with historical exhibits, a model railroad & vintage car tours."
"1654892677-516","https://www.google.com/maps/place/Rafferty's+Restaurant+and+Bar/@36.968163,-86.4965179,12z/data=!4m10!1m2!2m1!1sfood+in+bowling+green!3m6!1s0x8865e8971d2bac0f:0x540ee4e9b67ad40c!8m2!3d36.9618242!4d-86.4312363!10e1!15sChVmb29kIGluIGJvd2xpbmcgZ3JlZW5aFyIVZm9vZCBpbiBib3dsaW5nIGdyZWVukgETYW1lcmljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWNrMXBNV2huUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs","null","Laid-back chain for burgers, steaks & other comfort food staples, plus a kids' menu & a bar."
"1654892738-522","https://www.google.com/maps/place/National+Corvette+Museum/@36.9530369,-86.7533148,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bowling+green!3m6!1s0x8865e4367e69442d:0x5d4ad89350a49c8a!8m2!3d37.0041371!4d-86.3745785!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRd2JXUjZiUzFCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Indoor museum telling Corvette's history, with over 70 different car models plus memorabilia & more."
"1654892728-521","https://www.google.com/maps/place/Historic+RailPark+%26+Train+Museum/@36.9530369,-86.7533148,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+bowling+green!3m5!1s0x8865ef4701cb1d77:0x97eb8155e6668644!8m2!3d37.0001758!4d-86.4382464!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4Ym1GWVVFTm5FQUU","Historic RailPark & Train Museum","4.5","historicrailpark.com","401 Kentucky St, Bowling Green, KY 42101","null","null","https://lh5.googleusercontent.com/p/AF1QipOwfZ0KLh0yqXkeWJ7i2TjzEkg5-j1oCz56tUFV=w426-h240-k-no","null"
"1654892769-525","https://www.google.com/maps/place/Lost+River+Cave/@36.9814502,-86.5748816,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+bowling+green!3m5!1s0x8865e90e76a539a7:0xa2a3a73782aff9b2!8m2!3d36.9530369!4d-86.4731634!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGQxcFRYMjlSUlJBQg","Lost River Cave","4.6","lostrivercave.org","2818 Nashville Rd, Bowling Green, KY 42101","null","null","https://lh5.googleusercontent.com/p/AF1QipM_eG6Rryhgg3ExsqKABJ1yhL7Pb-xURqmTN-GM=w408-h314-k-no","null"
"1654892708-519","https://www.google.com/maps/place/Beech+Bend/@36.9530369,-86.7533148,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+bowling+green!3m5!1s0x8865e59896229a9d:0x549f9e87c7517b0a!8m2!3d37.0208617!4d-86.403037!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBDmFtdXNlbWVudF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZGt0SU5taFJSUkFC","Beech Bend","4.4","beechbend.com","798 Beech Bend Park Rd, Bowling Green, KY 42101","null","null","https://lh5.googleusercontent.com/p/AF1QipN3cdtraYnZ8HdLGY5JpzDsvKXQE8DePoTe5FlM=w408-h478-k-no","null"
"1654892687-517","https://www.google.com/maps/place/Rafferty's+Restaurant+and+Bar/@36.968163,-86.4965179,12z/data=!4m9!1m2!2m1!1sfood+in+bowling+green!3m5!1s0x8865e8971d2bac0f:0x540ee4e9b67ad40c!8m2!3d36.9618242!4d-86.4312363!15sChVmb29kIGluIGJvd2xpbmcgZ3JlZW5aFyIVZm9vZCBpbiBib3dsaW5nIGdyZWVukgETYW1lcmljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWNrMXBNV2huUlJBQg","Rafferty's Restaurant and Bar","4.4","raffertys.com","1939 Scottsville Rd, Bowling Green, KY 42104","null","null","https://lh5.googleusercontent.com/p/AF1QipP6bwvhMRN4uN6adZrklJuVYqxtYnnort7gRWy-=w453-h240-k-no","null"
"1654892748-523","https://www.google.com/maps/place/National+Corvette+Museum/@36.9530369,-86.7533148,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+bowling+green!3m2!1s0x8865e4367e69442d:0x5d4ad89350a49c8a!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRd2JXUjZiUzFCUlJBQg","National Corvette Museum","4.7","corvettemuseum.org","350 Corvette Dr, Bowling Green, KY 42101","null","null","https://lh5.googleusercontent.com/p/AF1QipPNoN-EovwEXLuQ0lSUfsDeIfyQ89cGsOgOcQLY=w415-h240-k-no","null"
"1654892759-524","https://www.google.com/maps/place/Lost+River+Cave/@36.9530369,-86.7533148,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bowling+green!3m6!1s0x8865e90e76a539a7:0xa2a3a73782aff9b2!8m2!3d36.9530369!4d-86.4731634!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGQxcFRYMjlSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Subterranean boat tours offered in a limestone cave complex with a visitor center & gift shop."
"1654892697-518","https://www.google.com/maps/place/Beech+Bend/@36.9530369,-86.7533148,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bowling+green!3m6!1s0x8865e59896229a9d:0x549f9e87c7517b0a!8m2!3d37.0208617!4d-86.403037!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlblofIh10aGluZ3MgdG8gZG8gaW4gYm93bGluZyBncmVlbpIBDmFtdXNlbWVudF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZGt0SU5taFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Recreation area featuring a race track & campgrounds plus rides such as go-karts & roller coasters."
