web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892651-1581","https://www.google.com/maps/place/Newport+Aquarium/@39.0020752,-89.1169891,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8841b16912312f95:0xcfc459d655d4d9ef!8m2!3d39.094664!4d-84.4974482!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlROVjlpWkRWM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Aquarium featuring a jellyfish room, walk-through tunnels & exhibits housing penguins, rays & more."
"1654892609-1577","https://www.google.com/maps/place/Florence+Mall/@39.094664,-88.9798701,7z/data=!3m1!5s0x8841c6537951b1e7:0x7edf0a3a64bd3e5c!4m17!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8841c6537c67fa93:0x6b774117571230bf!8m2!3d38.9958166!4d-84.6503439!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEPc2hvcHBpbmdfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZVdKbWVubG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance","null","null","This chain serves its signature treat, little dots of ice cream, in a variety of flavors."
"1654892661-1582","https://www.google.com/maps/place/Newport+Aquarium/@39.0020752,-89.1169891,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x8841b16912312f95:0xcfc459d655d4d9ef!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlROVjlpWkRWM1JSQUI","Newport Aquarium","4.6","newportaquarium.com","1 Levee Wy, Newport, KY 41071","null","null","https://lh5.googleusercontent.com/p/AF1QipNw8uQchBHuFpN8Ll9ZUWPK4iD4YU8PxLckK8vH=w426-h240-k-no","null"
"1654892620-1578","https://www.google.com/maps/place/Florence+Mall/@39.094664,-88.9798701,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x8841c6537c67fa93:0x6b774117571230bf!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEPc2hvcHBpbmdfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZVdKbWVubG5SUkFC","Florence Mall","4.1","florencemall.com","2028 Florence Mall, Florence, KY 41042","null","null","https://lh5.googleusercontent.com/p/AF1QipMR3RW0wstmAd8DxjYLznzpj7KhlWy0VLsAJYYe=w408-h240-k-no","null"
"1654892640-1580","https://www.google.com/maps/place/Big+Bone+Lick+State+Historic+Site/@39.094664,-88.9798701,7z/data=!4m16!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x8841c296c5560753:0xaae50f751bc9b734!8m2!3d38.8888642!4d-84.7476118!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1IRnBRMDVSRUFF","Big Bone Lick State Historic Site","4.5","parks.ky.gov","3380 Beaver Rd, Union, KY 41091","null","null","https://lh5.googleusercontent.com/p/AF1QipMsnK_pDDSywa9DRTgHVqLVWsGYxayi_e5crUxj=w408-h299-k-no","null"
"1654892599-1576","https://www.google.com/maps/place/Drake's+Florence/@38.9849805,-84.6702591,13z/data=!4m6!1m2!2m1!1sfood+in+florence+ky!3m2!1s0x8841c7caa23dc36f:0xe938b822643adcff!15sChNmb29kIGluIGZsb3JlbmNlIGt5WhUiE2Zvb2QgaW4gZmxvcmVuY2Uga3mSAQpyZXN0YXVyYW50","Drake's Florence","4.4","drakescomeplay.com","6805 Houston Rd #900, Florence, KY 41042","null","null","https://lh5.googleusercontent.com/p/AF1QipMvmBuF2_iIQ9-6673-8aGk59q_-sgSQX9SHMz8=w408-h272-k-no","null"
"1654892630-1579","https://www.google.com/maps/place/Big+Bone+Lick+State+Historic+Site/@39.094664,-88.9798701,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8841c296c5560753:0xaae50f751bc9b734!8m2!3d38.8888642!4d-84.7476118!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1IRnBRMDVSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic site with a museum housing fossilized bones, plus a campground, trails, mini-golf & more."
"1654892589-1575","https://www.google.com/maps/place/Drake's+Florence/@38.9849805,-84.6702591,13z/data=!4m10!1m2!2m1!1sfood+in+florence+ky!3m6!1s0x8841c7caa23dc36f:0xe938b822643adcff!8m2!3d39.0113635!4d-84.6466454!10e1!15sChNmb29kIGluIGZsb3JlbmNlIGt5WhUiE2Zvb2QgaW4gZmxvcmVuY2Uga3mSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Eatery & bar serving craft beers, burgers, sushi & pub grub in a lively, contemporary space."
"1654892682-1584","https://www.google.com/maps/place/Stringtown+Park/@38.1917254,-87.9468419,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x8841c7bb05941c59:0x3061c9d285d3469c!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQlh6WlBObWgzUlJBQg","Stringtown Park","4.5","florence-ky.gov","7340 Burlington Pike, Florence, KY 41042","null","null","https://lh5.googleusercontent.com/p/AF1QipO4doaODel_DAfZaTrEem910j0e7qTxyYkyRjP6=w408-h544-k-no","null"
"1654892671-1583","https://www.google.com/maps/place/Stringtown+Park/@38.1917254,-87.9468419,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+florence+ky!3m6!1sthings+to+do+in+florence+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8841c7bb05941c59:0x3061c9d285d3469c!8m2!3d39.0020752!4d-84.6345672!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gZmxvcmVuY2Uga3laHSIbdGhpbmdzIHRvIGRvIGluIGZsb3JlbmNlIGt5kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQlh6WlBObWgzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Recreational site with picnic tables, a children's playground, exercise stations & a walking trail."
