web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892886-1592","https://www.google.com/maps/place/Locust+Grove/@38.2571356,-86.3242823,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m2!1s0x8869745c5321e33d:0x87b54ebe82bd0511!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhNM05JY0ZGbkVBRQ","Locust Grove","4.8","locustgrove.org","561 Blankenbaker Ln, Louisville, KY 40207","null","null","https://lh5.googleusercontent.com/p/AF1QipM6fT185tJ7NLnSlD9YLbA0wMk5IJh4pCHPrNDf=w427-h240-k-no","null"
"1654892907-1594","https://www.google.com/maps/place/Charlie+Vettiner+Park/@38.2531167,-85.8968365,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m2!1s0x8869a11fdab3254b:0x2a6f3afb358b4a75!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmpORGRNUWpsQlJSQUI","Charlie Vettiner Park","4.4","louisvilleky.gov","5550 Charlie Vettiner Park Rd, Louisville, KY 40299","null","null","https://lh5.googleusercontent.com/p/AF1QipNgkRa-obiUsUHZrTSCotixdjtkb1oqpHYLRnYQ=w408-h544-k-no","null"
"1654892855-1589","https://www.google.com/maps/place/Skyview+Park/@38.2571356,-86.3242823,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m6!1s0x8869a04d204508df:0xc08f491c597be9ed!8m2!3d38.2047694!4d-85.5601573!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTBPR1V5U2xsbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Recreational park offering baseball/softball fields, a splash pad, playground & walking trail."
"1654892845-1588","https://www.google.com/maps/place/Yew+Dell+Botanical+Gardens/@38.2571356,-86.3242823,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m5!1s0x88699a412b65bf81:0xf4a7b49a0b892499!8m2!3d38.3374167!4d-85.4620972!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhialZmVVVsUkVBRQ","Yew Dell Botanical Gardens","4.8","yewdellgardens.org","6220 Old Lagrange Rd, Crestwood, KY 40014","null","null","https://lh5.googleusercontent.com/p/AF1QipNUmmedZ37F8FyVg21Fg9F8Z1ND0HHtAg11hOie=w408-h306-k-no","null"
"1654892865-1590","https://www.google.com/maps/place/Skyview+Park/@38.2571356,-86.3242823,10z/data=!3m1!5s0x886972a16ba1c0d7:0xe45fcd094ed19c5c!4m6!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m2!1s0x8869a04d204508df:0xc08f491c597be9ed!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTBPR1V5U2xsbkVBRQ","Skyview Park","4.5","jeffersontownky.com","2700 Watterson Trail, Jeffersontown, KY 40299","null","null","https://lh5.googleusercontent.com/p/AF1QipPnkhTtDjK0Ds5cePrNQ0a9xsGXJnUgMI4HZNRV=w426-h240-k-no","null"
"1654892876-1591","https://www.google.com/maps/place/Locust+Grove/@38.2571356,-86.3242823,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m6!1s0x8869745c5321e33d:0x87b54ebe82bd0511!8m2!3d38.286454!4d-85.661387!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhNM05JY0ZGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Tours & exhibits at the circa 1792 mansion & former home of Louisville founder, George Rogers Clark."
"1654892814-1585","https://www.google.com/maps/place/China+King/@38.2059819,-85.583777,14z/data=!4m10!1m2!2m1!1sfood+in+jeffersontown+ky!3m6!1s0x8869a0f8c6382483:0xe79feeb8dd5dde10!8m2!3d38.1897505!4d-85.5654385!10e1!15sChhmb29kIGluIGplZmZlcnNvbnRvd24ga3laGiIYZm9vZCBpbiBqZWZmZXJzb250b3duIGt5kgESY2hpbmVzZV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Counter-serve Chinese eatery featuring a menu of classic dishes in a snug strip-mall space."
"1654892824-1586","https://www.google.com/maps/place/China+King/@38.2059819,-85.583777,14z/data=!4m9!1m2!2m1!1sfood+in+jeffersontown+ky!3m5!1s0x8869a0f8c6382483:0xe79feeb8dd5dde10!8m2!3d38.1897505!4d-85.5654385!15sChhmb29kIGluIGplZmZlcnNvbnRvd24ga3laGiIYZm9vZCBpbiBqZWZmZXJzb250b3duIGt5kgESY2hpbmVzZV9yZXN0YXVyYW50","China King","4.0","chinakingjeffersontown.com","3830 Ruckriegel Pkwy, Jeffersontown, KY 40299","null","null","https://lh5.googleusercontent.com/p/AF1QipNIEG6MdRW7gdQGbryZ-tJp7leHN56YjK8Oxvlw=w408-h306-k-no","null"
"1654892834-1587","https://www.google.com/maps/place/Yew+Dell+Botanical+Gardens/@38.2571356,-86.3242823,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m6!1s0x88699a412b65bf81:0xf4a7b49a0b892499!8m2!3d38.3374167!4d-85.4620972!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhialZmVVVsUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Public restroom","null","Nonprofit facility with multiple gardens, guided tours, classes, a gift shop & educational events."
"1654892896-1593","https://www.google.com/maps/place/Charlie+Vettiner+Park/@38.2531167,-85.8968365,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jeffersontown+ky!3m6!1s0x8869a11fdab3254b:0x2a6f3afb358b4a75!8m2!3d38.1684043!4d-85.5628166!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreVoiIiB0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29udG93biBreZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmpORGRNUWpsQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Besides an 18-hole golf course, this park offers sports fields, disc golf, a playground & dog run."
