web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892562-513","https://www.google.com/maps/place/Mary+Todd+Lincoln+House/@38.0192267,-84.7833431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lexington+ky!3m5!1s0x88424492a09af909:0x186955d815df5168!8m2!3d38.051281!4d-84.502738!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTE0yWjFZVkozRUFF","Mary Todd Lincoln House","4.6","mtlhouse.org","578 W Main St, Lexington, KY 40507","null","null","https://lh5.googleusercontent.com/p/AF1QipNffOak5dYJOV7BQ4Q38qO8gXRuf1K0gaQD9PY8=w408-h272-k-no","null"
"1654892501-507","https://www.google.com/maps/place/Josie's+Restaurant/@38.0248537,-84.5699913,12.13z/data=!4m9!1m2!2m1!1sfood+in+lexington+ky!3m5!1s0x884244cff32183e7:0xcee4bc6f5a31e297!8m2!3d38.028897!4d-84.4910777!15sChRmb29kIGluIGxleGluZ3RvbiBreVoWIhRmb29kIGluIGxleGluZ3RvbiBreZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Josie's Restaurant","4.6","josies-ky.com","821 Chevy Chase Pl, Lexington, KY 40502","null","null","https://lh5.googleusercontent.com/p/AF1QipN05O3S0_YJYTa8XlJ8rOMrW4ER6eOiYjufkQM9=w408-h272-k-no","null"
"1654892552-512","https://www.google.com/maps/place/Mary+Todd+Lincoln+House/@38.0192267,-84.7833431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lexington+ky!3m6!1s0x88424492a09af909:0x186955d815df5168!8m2!3d38.051281!4d-84.502738!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTE0yWjFZVkozRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Historic childhood home of the First Lady of the United States (from 1861-1865), with tours & more."
"1654892491-506","https://www.google.com/maps/place/Josie's+Restaurant/@38.0248537,-84.5699913,12.13z/data=!4m10!1m2!2m1!1sfood+in+lexington+ky!3m6!1s0x884244cff32183e7:0xcee4bc6f5a31e297!8m2!3d38.028897!4d-84.4910777!10e1!15sChRmb29kIGluIGxleGluZ3RvbiBreVoWIhRmb29kIGluIGxleGluZ3RvbiBreZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Breakfast mainstay serving pancakes, cheese grits & other American eats, as well as lunch & dinner."
"1654892582-515","https://www.google.com/maps/place/Kentucky+Horse+Park/@38.0192267,-84.7833431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lexington+ky!3m5!1s0x884247296ecb86ed:0xd079bcc6ab4efb26!8m2!3d38.1496243!4d-84.5198854!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlNRW8yY1VKUkVBRQ","Kentucky Horse Park","4.7","kyhorsepark.com","4089 Iron Works Pkwy, Lexington, KY 40511","null","null","//lh5.googleusercontent.com/proxy/BqBeKj9LMF7hHWk5dDcu5nxMuqdjKJ_pL_z6vor_yB_OAG0nfi-wHN2LuJQrTtlLhLbS3PDg54xXTcTd0WMg531kPuLGPpik_CZv2EBrdtdsbLl1v0C1lfjq6bj-AhcKCcu06oo5mzQJD48WsV8E8NcfqPhDvg=w408-h272-k-no","null"
"1654892572-514","https://www.google.com/maps/place/Kentucky+Horse+Park/@38.0192267,-84.7833431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lexington+ky!3m6!1s0x884247296ecb86ed:0xd079bcc6ab4efb26!8m2!3d38.1496243!4d-84.5198854!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlNRW8yY1VKUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","1,032-acre attraction offering a museum, horse-drawn tours & equine presentations, plus campgrounds."
"1654892521-509","https://www.google.com/maps/place/Ashland+-+The+Henry+Clay+Estate/@38.0192267,-84.7833431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lexington+ky!3m5!1s0x88424527feab21ef:0x5cf18f894f623443!8m2!3d38.0285433!4d-84.4801454!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnBYMHN0YUZoM0VBRQ","Ashland - The Henry Clay Estate","4.7","henryclay.org","120 Sycamore Rd, Lexington, KY 40502","null","null","https://lh5.googleusercontent.com/p/AF1QipMnzQVChU-dPRoLZgNgs8mrq_etbz42h3k7duDW=w408-h306-k-no","null"
"1654892511-508","https://www.google.com/maps/place/Ashland+-+The+Henry+Clay+Estate/@38.0192267,-84.7833431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lexington+ky!3m6!1s0x88424527feab21ef:0x5cf18f894f623443!8m2!3d38.0285433!4d-84.4801454!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnBYMHN0YUZoM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Stately 19th-century home & grounds of politician Henry Clay, with tours, exhibits, trails & more."
"1654892542-511","https://www.google.com/maps/place/Explorium+of+Lexington/@38.0192267,-84.7833431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lexington+ky!3m5!1s0x884244ed69863f13:0x25f59ff35a59d4ca!8m2!3d38.0500673!4d-84.4999785!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZW5aRGNXeG5SUkFC","Explorium of Lexington","3.9","explorium.com","440 W Short St, Lexington, KY 40507","null","null","https://lh5.googleusercontent.com/p/AF1QipN1nzn_bWEF5D19X_dTkVcjU22U8ZoCI-WKkaQr=w408-h544-k-no","null"
"1654892532-510","https://www.google.com/maps/place/Explorium+of+Lexington/@38.0192267,-84.7833431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lexington+ky!3m6!1s0x884244ed69863f13:0x25f59ff35a59d4ca!8m2!3d38.0500673!4d-84.4999785!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGV4aW5ndG9uIGt5Wh4iHHRoaW5ncyB0byBkbyBpbiBsZXhpbmd0b24ga3mSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZW5aRGNXeG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum with interactive art & science-related exhibits for children of all ages."
