web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892484-1574","https://www.google.com/maps/place/Louisville+Zoo/@38.2086196,-85.979406,10z/data=!4m13!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x88690ca294dc9a03:0x899a385c69d5b7a!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObk5qbG1VQzFuUlJBQg","Louisville Zoo","4.5","louisvillezoo.org","1100 Trevilian Way, Louisville, KY 40213","null","null","https://lh5.googleusercontent.com/p/AF1QipO0OKxUYVl_tknLVJiwjdzOnLodYGpDrZ1DWRZd=w408-h243-k-no","null"
"1654892412-1567","https://www.google.com/maps/place/Kentucky+Science+Center/@38.2086196,-85.979406,10z/data=!3m1!5s0x886972a16ba1c0d7:0xe45fcd094ed19c5c!4m17!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x886972a14251733d:0x436e3b678c3ae8e!8m2!3d38.2576145!4d-85.762657!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF3Y1VsSWF6aFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Kid-friendly science museum with hands-on exhibits, IMAX films, educational programs & more."
"1654892432-1569","https://www.google.com/maps/place/Waterfront+Park/@38.2086196,-85.979406,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x886972e9e4e6f1f7:0x4ae335f4dd2f6190!8m2!3d38.2607389!4d-85.7426013!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBOMUI2YWxwQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","City destination with walking paths, water features, kids’ play areas, vast lawns & public art."
"1654892473-1573","https://www.google.com/maps/place/Louisville+Zoo/@38.2086196,-85.979406,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x88690ca294dc9a03:0x899a385c69d5b7a!8m2!3d38.2057663!4d-85.7071989!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObk5qbG1VQzFuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Modest-size zoo with habitats for gorillas, tigers & other animals, plus a splash park."
"1654892463-1572","https://www.google.com/maps/place/Louisville+Slugger+Museum+%26+Factory/@38.2086196,-85.979406,10z/data=!4m16!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x886972a13ddaebf7:0xe9ab99d2a343c991!8m2!3d38.2572889!4d-85.7639003!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGRrNU1aWFZuUlJBQg","Louisville Slugger Museum & Factory","4.7","sluggermuseum.com","800 W Main St, Louisville, KY 40202","null","null","https://lh5.googleusercontent.com/p/AF1QipO_XxOtH33azCicG3D-JxzEALYqrZvF0uQqRPnf=w408-h544-k-no","null"
"1654892422-1568","https://www.google.com/maps/place/Kentucky+Science+Center/@38.2086196,-85.979406,10z/data=!4m13!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x886972a14251733d:0x436e3b678c3ae8e!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF3Y1VsSWF6aFJSUkFC","Kentucky Science Center","4.5","kysciencecenter.org","727 W Main St, Louisville, KY 40202","null","null","https://lh5.googleusercontent.com/p/AF1QipNt7lh-b2vsz6HC08N_osU8cnoyRlcAzsxvolJ8=w427-h240-k-no","null"
"1654892442-1570","https://www.google.com/maps/place/Waterfront+Park/@38.2086196,-85.979406,10z/data=!4m16!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x886972e9e4e6f1f7:0x4ae335f4dd2f6190!8m2!3d38.2607389!4d-85.7426013!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBOMUI2YWxwQkVBRQ","Waterfront Park","4.7","ourwaterfront.org","129 River Rd, Louisville, KY 40202","null","null","https://lh5.googleusercontent.com/p/AF1QipMcaYRn8GQlC2hIoOr1RYK-f9bYKPm3kOWzeHmI=w408-h544-k-no","null"
"1654892391-1565","https://www.google.com/maps/place/Feast+BBQ/@38.2531291,-85.8755725,12z/data=!4m10!1m2!2m1!1sfood+in+louisville+ky!3m6!1s0x886972db2fd4b875:0x53b31f8d99ee98c9!8m2!3d38.2531291!4d-85.7354968!10e1!15sChVmb29kIGluIGxvdWlzdmlsbGUga3laFyIVZm9vZCBpbiBsb3Vpc3ZpbGxlIGt5kgETYmFyYmVjdWVfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","BBQ plates, sandwiches & tacos served with Southern-leaning sides, desserts & cocktails."
"1654892401-1566","https://www.google.com/maps/place/Feast+BBQ/@38.2432043,-85.7340006,12z/data=!4m6!1m2!2m1!1sfood+in+louisville+ky!3m2!1s0x886972db2fd4b875:0x53b31f8d99ee98c9!15sChVmb29kIGluIGxvdWlzdmlsbGUga3laFyIVZm9vZCBpbiBsb3Vpc3ZpbGxlIGt5kgETYmFyYmVjdWVfcmVzdGF1cmFudA","Feast BBQ","4.5","feastbbq.com","909 E Market St #100, Louisville, KY 40206","null","null","https://lh5.googleusercontent.com/p/AF1QipOu2iJAyMHFP0NmYpGNcbP4tjYnsbBQ_zepUioj=w408-h306-k-no","null"
"1654892453-1571","https://www.google.com/maps/place/Louisville+Slugger+Museum+%26+Factory/@38.2086196,-85.979406,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+louisville+ky!3m6!1sthings+to+do+in+louisville+ky!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x886972a13ddaebf7:0xe9ab99d2a343c991!8m2!3d38.2572889!4d-85.7639003!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreVofIh10aGluZ3MgdG8gZG8gaW4gbG91aXN2aWxsZSBreZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGRrNU1aWFZuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","A giant baseball bat marks this venue offering tours & exhibits on the sports-equipment icon."
