web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892384-502","https://www.google.com/maps/place/Alexandria+Museum+of+Art/@31.3305041,-92.763282,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+la!3m6!1s0x86254b413f06a715:0x129acaf38be80315!8m2!3d31.3122208!4d-92.4443901!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXliUzFmTmtsQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Modest museum with permanent & rotating exhibits & classes in a renovated historic bank building."
"1654892415-505","https://www.google.com/maps/place/Alexandria+Zoological+Park/@31.3305041,-92.763282,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+alexandria+la!3m2!1s0x86254b2a4d3acf07:0x382ceac7a5b08720!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGNFcFBhVzEzUlJBQg","Alexandria Zoological Park","4.6","thealexandriazoo.com","3016 Masonic Dr, Alexandria, LA 71301","null","null","https://lh5.googleusercontent.com/p/AF1QipOoc5nPzeSaG-lzL4scUX5Mm-Zqi5kMDnwZPHz9=w408-h315-k-no","null"
"1654892364-500","https://www.google.com/maps/place/T.R.E.E.+House/@31.3305041,-92.763282,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+la!3m6!1s0x86254b401465b413:0x132c6caf73e01c5e!8m2!3d31.3095763!4d-92.4415503!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSM2MwOWZOaTFSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Children's museum with a small-scale grocery, bank & medical clinic for imaginative play."
"1654892343-498","https://www.google.com/maps/place/Kent+Plantation+House/@31.3305041,-92.763282,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+la!3m6!1s0x863ab4ebb4e2665f:0xeb71e4548cff824e!8m2!3d31.3033978!4d-92.4830745!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TkMxcGQzcDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","French-colonial plantation house built in 1796, featuring guided tours & grounds with outbuildings."
"1654892333-497","https://www.google.com/maps/place/Spirits+Food+%26+Friends/@31.3055157,-92.5179192,13z/data=!4m9!1m2!2m1!1sfood+in+alexandria+la!3m5!1s0x863ab4d90540ff03:0x6f1e515bfac639ae!8m2!3d31.2903631!4d-92.4739544!15sChVmb29kIGluIGFsZXhhbmRyaWEgbGFaFyIVZm9vZCBpbiBhbGV4YW5kcmlhIGxhkgEKcmVzdGF1cmFudA","Spirits Food & Friends","4.3","spiritscenla.com","1200 Texas Ave, Alexandria, LA 71301","null","null","https://lh5.googleusercontent.com/p/AF1QipMztsiBY8nQbKFq1hXZWe2YQj3PKD69QQq7zQ0O=w408-h541-k-no","null"
"1654892374-501","https://www.google.com/maps/place/T.R.E.E.+House/@31.3305041,-92.763282,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+alexandria+la!3m2!1s0x86254b401465b413:0x132c6caf73e01c5e!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSM2MwOWZOaTFSUlJBQg","T.R.E.E. House","4.4","facebook.com","1403 3rd St, Alexandria, LA 71301","null","null","https://lh5.googleusercontent.com/p/AF1QipNiYFRXgzz16pA6N66WH5ZDCLIvgDAwK1_Prsep=w408-h306-k-no","null"
"1654892354-499","https://www.google.com/maps/place/Kent+Plantation+House/@31.3305041,-92.763282,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+la!3m5!1s0x863ab4ebb4e2665f:0xeb71e4548cff824e!8m2!3d31.3033978!4d-92.4830745!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TkMxcGQzcDNSUkFC","Kent Plantation House","4.5","kenthouse.org","3601 Bayou Rapides Rd, Alexandria, LA 71303","null","null","https://lh5.googleusercontent.com/p/AF1QipPOGemiOOWw7LPcomQHoVk5RqXCTbXKp9sSaWQ2=w408-h288-k-no","null"
"1654892405-504","https://www.google.com/maps/place/Alexandria+Zoological+Park/@31.3305041,-92.763282,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+la!3m6!1s0x86254b2a4d3acf07:0x382ceac7a5b08720!8m2!3d31.2877778!4d-92.4572222!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGNFcFBhVzEzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo with international-themed habitats for exotic wildlife & tours on a scale-model train."
"1654892394-503","https://www.google.com/maps/place/Alexandria+Museum+of+Art/@31.3305041,-92.763282,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+la!3m5!1s0x86254b413f06a715:0x129acaf38be80315!8m2!3d31.3122208!4d-92.4443901!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSBsYZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXliUzFmTmtsQkVBRQ","Alexandria Museum of Art","4.6","themuseum.org","933 2nd St, Alexandria, LA 71301","null","null","https://lh5.googleusercontent.com/p/AF1QipNjiJgqYEgTKAk8f616_Q0EsmljhCA6JbK7FEvj=w408-h306-k-no","null"
"1654892323-496","https://www.google.com/maps/place/Spirits+Food+%26+Friends/@31.3055157,-92.5179192,13z/data=!4m10!1m2!2m1!1sfood+in+alexandria+la!3m6!1s0x863ab4d90540ff03:0x6f1e515bfac639ae!8m2!3d31.2903631!4d-92.4739544!10e1!15sChVmb29kIGluIGFsZXhhbmRyaWEgbGFaFyIVZm9vZCBpbiBhbGV4YW5kcmlhIGxhkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Restaurant, bar & music venue featuring a variety of bands as well as seafood & Southern dishes."
