web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892106-1552","https://www.google.com/maps/place/USS+KIDD+Veterans+Museum/@30.5623594,-93.4010402,8z/data=!4m16!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x8626a0c650afaaad:0x1149a0f43dc440be!8m2!3d30.4435997!4d-91.1901506!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZDA1eWVsOTNSUkFC","USS KIDD Veterans Museum","4.7","usskidd.com","305 S River Rd, Baton Rouge, LA 70802","null","null","https://lh5.googleusercontent.com/p/AF1QipMHCSVtLgAdHJnacAvpeJqmbPLodKcDV46bArEo=w408-h306-k-no","null"
"1654892127-1554","https://www.google.com/maps/place/BREC's+Baton+Rouge+Zoo/@30.5623594,-93.4010402,8z/data=!4m16!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x86269f1c66fe2eab:0xef5454d9595f7015!8m2!3d30.5622572!4d-91.1597569!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYYVdZdGFXaFJSUkFC","BREC's Baton Rouge Zoo","4.3","brzoo.org","3601 Thomas Rd, Baton Rouge, LA 70807","null","null","https://lh5.googleusercontent.com/p/AF1QipM_lQSo7DjW0XmS9jdulL8Tp84ej2HuUk7ygUw2=w408-h306-k-no","null"
"1654892096-1551","https://www.google.com/maps/place/USS+KIDD+Veterans+Museum/@30.5623594,-93.4010402,8z/data=!4m17!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8626a0c650afaaad:0x1149a0f43dc440be!8m2!3d30.4435997!4d-91.1901506!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZDA1eWVsOTNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","This veteran battleship-turned-museum features naval history exhibits, ship models & memorials."
"1654892085-1550","https://www.google.com/maps/place/Capitol+Park+Museum/@30.5623594,-93.4010402,8z/data=!4m13!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x8626a0c20be06001:0x2078ed4fb1f605fe!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YZW1WNk1FOTNFQUU","Capitol Park Museum","4.7","louisianastatemuseum.org","660 N 4th St, Baton Rouge, LA 70802","null","null","https://lh5.googleusercontent.com/p/AF1QipOB56xn2t5A9xSAoYi3wIKea_2Hw-P_rNKvYxhp=w408-h306-k-no","null"
"1654892075-1549","https://www.google.com/maps/place/Capitol+Park+Museum/@30.5623594,-93.4010402,8z/data=!4m17!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8626a0c20be06001:0x2078ed4fb1f605fe!8m2!3d30.4540227!4d-91.1864939!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YZW1WNk1FOTNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A state museum featuring exhibits on Louisiana history, industry & culture, plus event space."
"1654892054-1547","https://www.google.com/maps/place/Louisiana+Art+%26+Science+Museum/@30.5623594,-93.4010402,8z/data=!4m17!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x8626a0c7a517d621:0xc614a46387533cc0!8m2!3d30.4462269!4d-91.1903226!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oY1ZCWVUxOW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum complex with kids' science exhibits, a planetarium & galleries spanning the history of art."
"1654892065-1548","https://www.google.com/maps/place/Louisiana+Art+%26+Science+Museum/@30.5623594,-93.4010402,8z/data=!4m13!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x8626a0c7a517d621:0xc614a46387533cc0!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oY1ZCWVUxOW5SUkFC","Louisiana Art & Science Museum","4.6","lasm.org","100 S River Rd, Baton Rouge, LA 70801","null","null","https://lh5.googleusercontent.com/p/AF1QipOCm4Sh1ZBSp4pHnWofkYfUfM165Id_tUHm5jCJ=w408-h306-k-no","null"
"1654892044-1546","https://www.google.com/maps/place/Parrain's+Seafood+Restaurant/@30.4171864,-91.1926977,12z/data=!4m6!1m2!2m1!1sfood+in+baton+rouge!3m2!1s0x8626a6c9b93a0fff:0xd41ee5f6ee71cc43!15sChNmb29kIGluIGJhdG9uIHJvdWdlWhUiE2Zvb2QgaW4gYmF0b24gcm91Z2WSARJzZWFmb29kX3Jlc3RhdXJhbnQ","Parrain's Seafood Restaurant","4.6","parrains.com","3225 Perkins Rd, Baton Rouge, LA 70808","null","null","https://lh5.googleusercontent.com/p/AF1QipPbKkielWtd-Yy3B0s70_WdYcn1kahzAtEJZq0=w408-h306-k-no","null"
"1654892034-1545","https://www.google.com/maps/place/Parrain's+Seafood+Restaurant/@30.4171864,-91.1926977,12z/data=!4m10!1m2!2m1!1sfood+in+baton+rouge!3m6!1s0x8626a6c9b93a0fff:0xd41ee5f6ee71cc43!8m2!3d30.4236217!4d-91.1555398!10e1!15sChNmb29kIGluIGJhdG9uIHJvdWdlWhUiE2Zvb2QgaW4gYmF0b24gcm91Z2WSARJzZWFmb29kX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Local seafood specialist cooking up Louisiana recipes in a rustic space with porch seating."
"1654892116-1553","https://www.google.com/maps/place/BREC's+Baton+Rouge+Zoo/@30.5623594,-93.4010402,8z/data=!4m17!1m9!2m8!1sthings+to+do+in+batonr+ouge!3m6!1sthings+to+do+in+batonr+ouge!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x86269f1c66fe2eab:0xef5454d9595f7015!8m2!3d30.5622572!4d-91.1597569!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmF0b25yIG91Z2VaHSIbdGhpbmdzIHRvIGRvIGluIGJhdG9uciBvdWdlkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYYVdZdGFXaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Standard, longtime zoo offering a selection of wild mammals, birds & other animals."
