web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892291-1562","https://www.google.com/maps/place/Lafayette+Science+Museum/@30.5574718,-93.4012803,8.29z/data=!4m13!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x86249c85380bd9cf:0x6977c81fee934ed2!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRd2NuTkRaMmxSUlJBQg","Lafayette Science Museum","4.5","lafayettesciencemuseum.org","433 Jefferson St, Lafayette, LA 70501","null","null","https://lh5.googleusercontent.com/p/AF1QipPkfp7stofK7rhmtMErEZEpcvi_awiLJMSaOwUC=w426-h240-k-no","null"
"1654892229-1556","https://www.google.com/maps/place/Bon+Temps+Grill/@30.1927903,-92.0657517,13z/data=!4m6!1m2!2m1!1sfood+in+lafayette+la!3m2!1s0x86249d0d04e4988f:0xc8a5f5994ec5ff2b!15sChRmb29kIGluIGxhZmF5ZXR0ZSBsYVoWIhRmb29kIGluIGxhZmF5ZXR0ZSBsYZIBCnJlc3RhdXJhbnQ","Bon Temps Grill","4.6","bontempsgrill.com","1211 W Pinhook Rd, Lafayette, LA 70503","null","null","https://lh5.googleusercontent.com/p/AF1QipOxjtZpkq4T3GkId-SXb-1lbOjYhEOqKowX_AhX=w408-h408-k-no","null"
"1654892311-1564","https://www.google.com/maps/place/Children's+Museum+of+Acadiana/@30.5574718,-93.4012803,8.29z/data=!4m16!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x86249c9ab2499d45:0x741e3812e4c38cf4!8m2!3d30.2251663!4d-92.017313!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTmxCMmIzSm5SUkFC","Children's Museum of Acadiana","4.6","childrensmuseumofacadiana.com","201 E Congress St, Lafayette, LA 70501","null","null","https://lh5.googleusercontent.com/p/AF1QipMyXwRGD7Oq8Dc0pI2Ka6y1oHMww2ATZcv-wf8e=w408-h271-k-no","null"
"1654892260-1559","https://www.google.com/maps/place/Acadian+Cultural+Center/@30.5574718,-93.4012803,8.29z/data=!4m17!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x86249cb61f2cc4f9:0x45bebfa9cd276192!8m2!3d30.213481!4d-91.994144!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSAQ9jdWx0dXJhbF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlROamxQZHpoblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Free Cajun history museum with artifacts, an educational film shown every hour & a gift shop."
"1654892249-1558","https://www.google.com/maps/place/Vermilionville+Historic+Village/@30.5574718,-93.4012803,8.29z/data=!4m13!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x86249cb7c7373e69:0xeb8441c8e9dc0790!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWmVUbDJValZCUlJBQg","Vermilionville Historic Village","4.7","bayouvermiliondistrict.org","300 Fisher Rd, Lafayette, LA 70508","null","null","https://lh5.googleusercontent.com/p/AF1QipOCp4OpvnHjjWKU662BDS9OJdwSFgmigGTaa7Pd=w457-h240-k-no","null"
"1654892301-1563","https://www.google.com/maps/place/Children's+Museum+of+Acadiana/@30.5574718,-93.4012803,8.29z/data=!4m17!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x86249c9ab2499d45:0x741e3812e4c38cf4!8m2!3d30.2251663!4d-92.017313!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTmxCMmIzSm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Museum provides a range of interactive exhibits designed to teach kids crafts & practical knowledge."
"1654892270-1560","https://www.google.com/maps/place/Acadian+Cultural+Center/@30.5574718,-93.4012803,8.29z/data=!4m13!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x86249cb61f2cc4f9:0x45bebfa9cd276192!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSAQ9jdWx0dXJhbF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlROamxQZHpoblJSQUI","Acadian Cultural Center","4.7","nps.gov","501 Fisher Rd, Lafayette, LA 70508","null","null","https://lh5.googleusercontent.com/p/AF1QipObs3sYHPu0YW4MCF52LtEbdR4lVtx9oUh8cX_i=w408-h306-k-no","null"
"1654892280-1561","https://www.google.com/maps/place/Lafayette+Science+Museum/@30.5574718,-93.4012803,8.29z/data=!4m17!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x86249c85380bd9cf:0x6977c81fee934ed2!8m2!3d30.225595!4d-92.017807!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRd2NuTkRaMmxSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Interactive exhibits exploring paleontology, marine biology & geology, plus a planetarium."
"1654892239-1557","https://www.google.com/maps/place/Vermilionville+Historic+Village/@30.5574718,-93.4012803,8.29z/data=!4m17!1m9!2m8!1sthings+to+do+in+lafayette+la!3m6!1sthings+to+do+in+lafayette+la!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x86249cb7c7373e69:0xeb8441c8e9dc0790!8m2!3d30.2143755!4d-91.9963731!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGFmYXlldHRlIGxhWh4iHHRoaW5ncyB0byBkbyBpbiBsYWZheWV0dGUgbGGSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWmVUbDJValZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom","null","Living history museum with restored 18th- to 19th-century homes, plus a restaurant & live music."
"1654892218-1555","https://www.google.com/maps/place/Bon+Temps+Grill/@30.1927903,-92.0657517,13z/data=!4m10!1m2!2m1!1sfood+in+lafayette+la!3m6!1s0x86249d0d04e4988f:0xc8a5f5994ec5ff2b!8m2!3d30.2024736!4d-92.014043!10e1!15sChRmb29kIGluIGxhZmF5ZXR0ZSBsYVoWIhRmb29kIGluIGxhZmF5ZXR0ZSBsYZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Booth-lined bar & grill furnishing hearty Cajun dishes & a kids' menu in down-to-earth surroundings."
