web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892187-491","https://www.google.com/maps/place/Shreveport+Water+Works+Museum/@32.5285012,-94.0961594,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+shreveport!3m5!1s0x8636cd23649a9145:0xe26cea6a84febf20!8m2!3d32.5175477!4d-93.7574913!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE5IUXpVUzFSUlJBQg","Shreveport Water Works Museum","4.8","shreveportwaterworks.org","142 N Common St, Shreveport, LA 71101","null","null","https://lh5.googleusercontent.com/p/AF1QipNy7PlJRs96lLJAT3Umf5tKgF8P30w2B65pgG2a=w408-h306-k-no","null"
"1654892177-490","https://www.google.com/maps/place/Shreveport+Water+Works+Museum/@32.5285012,-94.0961594,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+shreveport!3m6!1s0x8636cd23649a9145:0xe26cea6a84febf20!8m2!3d32.5175477!4d-93.7574913!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE5IUXpVUzFSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","1887 water-plant museum featuring antique filters, pumps, steam equipment & other original machines."
"1654892167-489","https://www.google.com/maps/place/Spring+Street+Historical+Museum/@32.5285012,-94.0961594,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+shreveport!3m5!1s0x8636cd328a62d787:0xf399b405874e27e6!8m2!3d32.5145358!4d-93.7460084!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdmJ6a3lWRFozUlJBQg","Spring Street Historical Museum","4.6","springstreetmuseum.org","525 N Spring St, Shreveport, LA 71101","null","null","https://lh5.googleusercontent.com/p/AF1QipNAnb8w8172RBzXrwA16vzryWPHSAVhig5nqMqh=w408-h544-k-no","null"
"1654892218-494","https://www.google.com/maps/place/Shreveport+Aquarium/@32.5285012,-94.0961594,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+shreveport!3m6!1s0x863132d2aba8db5b:0x251dbf59ad3a4a59!8m2!3d32.5159309!4d-93.7433341!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QY0hGcU56RkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Jellyfish can be touched & sting rays hand fed at this small aquarium with a waterfront restaurant."
"1654892197-492","https://www.google.com/maps/place/Sci-Port+Discovery+Center/@32.5285012,-94.0961594,10z/data=!3m1!5s0x863132cd1975c9f5:0x8c3c87faed6cdab0!4m10!1m2!2m1!1sthings+to+do+in+shreveport!3m6!1s0x863132cd1411b91f:0x323ddbaf350e037!8m2!3d32.5134279!4d-93.7418988!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZUhGbVVGcEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","92,000-sq.-ft. complex with interactive science exhibits, a planetarium & an IMAX dome theater."
"1654892228-495","https://www.google.com/maps/place/Shreveport+Aquarium/@32.5285012,-94.0961594,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+shreveport!3m5!1s0x863132d2aba8db5b:0x251dbf59ad3a4a59!8m2!3d32.5159309!4d-93.7433341!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QY0hGcU56RkJSUkFC","Shreveport Aquarium","4.4","shreveportaquarium.com","601 Clyde Fant Pkwy, Shreveport, LA 71101","null","null","https://lh5.googleusercontent.com/p/AF1QipMChqXQAW2_ta86QO8HSud8bWe37f8WaiAjmsEI=w408-h306-k-no","null"
"1654892136-486","https://www.google.com/maps/place/Walk-On's+Sports+Bistreaux+-+Shreveport+Restaurant/@32.463736,-93.8301235,12z/data=!4m10!1m2!2m1!1sfood+in+shreveport!3m6!1s0x86312d1c14a7b24d:0xe9249914e3a5c9a!8m2!3d32.4419546!4d-93.716893!10e1!15sChJmb29kIGluIHNocmV2ZXBvcnRaFCISZm9vZCBpbiBzaHJldmVwb3J0kgEQY2FqdW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeU9UUmhkSE4zUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","This game-day bar serves burgers & fried fare, plus local beers & party platters for big groups."
"1654892156-488","https://www.google.com/maps/place/Spring+Street+Historical+Museum/@32.5285012,-94.0961594,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+shreveport!3m6!1s0x8636cd328a62d787:0xf399b405874e27e6!8m2!3d32.5145358!4d-93.7460084!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdmJ6a3lWRFozUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum in an 1860s bank building tracing Shreveport's history with diverse exhibits & artifacts."
"1654892207-493","https://www.google.com/maps/place/Sci-Port+Discovery+Center/@32.5285012,-94.0961594,10z/data=!3m1!5s0x863132cd1975c9f5:0x8c3c87faed6cdab0!4m9!1m2!2m1!1sthings+to+do+in+shreveport!3m5!1s0x863132cd1411b91f:0x323ddbaf350e037!8m2!3d32.5134279!4d-93.7418988!15sChp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydFocIhp0aGluZ3MgdG8gZG8gaW4gc2hyZXZlcG9ydJIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZUhGbVVGcEJFQUU","Sci-Port Discovery Center","4.3","sci-port.org","820 Clyde Fant Pkwy, Shreveport, LA 71101","null","null","https://lh5.googleusercontent.com/p/AF1QipNGRD3B-iIRtSkGgtqTmqR2sTt8uW_7uxlKScY7=w559-h240-k-no","null"
"1654892146-487","https://www.google.com/maps/place/Walk-On's+Sports+Bistreaux+-+Shreveport+Restaurant/@32.463736,-93.8301235,12z/data=!4m9!1m2!2m1!1sfood+in+shreveport!3m5!1s0x86312d1c14a7b24d:0xe9249914e3a5c9a!8m2!3d32.4419546!4d-93.716893!15sChJmb29kIGluIHNocmV2ZXBvcnRaFCISZm9vZCBpbiBzaHJldmVwb3J0kgEQY2FqdW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeU9UUmhkSE4zUlJBQg","Walk-On's Sports Bistreaux - Shreveport Restaurant","4.3","locate.walk-ons.com","7031 Youree Dr, Shreveport, LA 71105","null","null","https://lh5.googleusercontent.com/p/AF1QipOKezzugUVOkqSKVa4xTrfk23jXaQMNduNrq8Xg=w408-h306-k-no","null"
