web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890508-1466","https://www.google.com/maps/place/Saus+Boston/@42.3366042,-71.1112528,13z/data=!4m6!1m2!2m1!1sfood+in+boston+ma!3m2!1s0x89e3708592b14395:0x69bad17a966393da!15sChFmb29kIGluIGJvc3RvbiBtYVoTIhFmb29kIGluIGJvc3RvbiBtYZIBDXNhbmR3aWNoX3Nob3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBOWEpwWkZSbkVBRQ","Saus Boston","4.5","sausboston.com","33 Union St, Boston, MA 02108","null","null","https://lh5.googleusercontent.com/p/AF1QipPQdJlPqmfmfOed1TGpe95B1iNPbbDhlweyadD9=w408-h271-k-no","null"
"1654890580-1473","https://www.google.com/maps/place/Boston+Tea+Party+Ships+%26+Museum/@42.3409455,-71.2067479,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e370803c04bce1:0xd1ee7b7f9a93b4b3!8m2!3d42.3521191!4d-71.051331!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJkVGRpWlhOUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Floating history museum with live reenactments, multimedia exhibits & a tearoom."
"1654890560-1471","https://www.google.com/maps/place/New+England+Aquarium/@42.3409455,-71.2067479,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e3707d60bfd085:0xdda63d8ad6157d49!8m2!3d42.3592478!4d-71.0491475!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQhhcXVhcml1bZoBIENoUkRTVWhOTUc5blMwVkpRMEZuU1VSSmRYUXdlaEFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","A giant glass tank spiraled by a multilevel walkway is the main draw at this waterfront attraction."
"1654890498-1465","https://www.google.com/maps/place/Saus+Boston/@42.3366042,-71.1112528,13z/data=!3m1!5s0x89e37085f112cc55:0x720b73641b3e7c49!4m10!1m2!2m1!1sfood+in+boston+ma!3m6!1s0x89e3708592b14395:0x69bad17a966393da!8m2!3d42.3611351!4d-71.0568583!10e1!15sChFmb29kIGluIGJvc3RvbiBtYVoTIhFmb29kIGluIGJvc3RvbiBtYZIBDXNhbmR3aWNoX3Nob3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBOWEpwWkZSbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","null","null","Local eatery featuring fries & beer, plus 15 sauces, is particularly popular late-night."
"1654890518-1467","https://www.google.com/maps/place/Boston+Common/@42.3409455,-71.2067479,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e3709dbc6e232b:0x3f8683fc7ba94f04!8m2!3d42.3550897!4d-71.0657256!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm5MVXR5V1VObkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Storied, nearly 50-acre urban park that hosted British troops during the American Revolution."
"1654890570-1472","https://www.google.com/maps/place/New+England+Aquarium/@42.3409455,-71.2067479,11z/data=!4m16!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89e3707d60bfd085:0xdda63d8ad6157d49!8m2!3d42.3592478!4d-71.0491475!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQhhcXVhcml1bZoBIENoUkRTVWhOTUc5blMwVkpRMEZuU1VSSmRYUXdlaEFC","New England Aquarium","4.5","neaq.org","1 Central Wharf, Boston, MA 02110","null","null","https://lh5.googleusercontent.com/p/AF1QipNI5Uwh5tzGUwYK9xLe_zFZwfvjO5JGPZnysHbs=w408-h306-k-no","null"
"1654890590-1474","https://www.google.com/maps/place/Boston+Tea+Party+Ships+%26+Museum/@42.3409455,-71.2067479,11z/data=!4m16!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89e370803c04bce1:0xd1ee7b7f9a93b4b3!8m2!3d42.3521191!4d-71.051331!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJkVGRpWlhOUlJSQUI","Boston Tea Party Ships & Museum","4.6","bostonteapartyship.com","306 Congress St, Boston, MA 02210","null","null","https://lh5.googleusercontent.com/p/AF1QipOxOTN8EqFLfznRkPE4Rj2KqtxqkE4MvzQpf_qC=w408-h306-k-no","null"
"1654890549-1470","https://www.google.com/maps/place/Museum+of+Science/@42.3409455,-71.2067479,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89e37096418c1c2f:0x57bac693677036c5!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlRNbkJMWlhWQlJSQUI","Museum of Science","4.7","mos.org","1 Museum Of Science Driveway, Boston, MA 02114","null","null","https://lh5.googleusercontent.com/p/AF1QipP6YnkYjMqaFzX-3hvgWlKcJR854O0qZo3PadEw=w408-h258-k-no","null"
"1654890529-1468","https://www.google.com/maps/place/Boston+Common/@42.3409455,-71.2067479,11z/data=!3m1!5s0x89e3709667554d09:0xc8a1f67e0d732de0!4m13!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89e3709dbc6e232b:0x3f8683fc7ba94f04!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm5MVXR5V1VObkVBRQ","Boston Common","4.7","boston.gov","115 Boylston St, Boston, MA 02116","null","null","https://lh5.googleusercontent.com/p/AF1QipMRBMchsDIkHWuTUGlvaXi3Mg9us8PVjDMO9HVL=w408-h306-k-no","null"
"1654890539-1469","https://www.google.com/maps/place/Museum+of+Science/@42.3409455,-71.2067479,11z/data=!3m1!5s0x89e3709667554d09:0xc8a1f67e0d732de0!4m17!1m9!2m8!1sthings+to+do+in+boston+ma!3m6!1sthings+to+do+in+boston+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e37096418c1c2f:0x57bac693677036c5!8m2!3d42.367452!4d-71.0711201!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYm9zdG9uIG1hWhsiGXRoaW5ncyB0byBkbyBpbiBib3N0b24gbWGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlRNbkJMWlhWQlJSQUI","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Venerable institution with interactive exhibits, dome-shaped IMAX/3-D film theater & a planetarium."
