web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890772-1484","https://www.google.com/maps/place/Plimoth+Patuxet+Museums/@41.9059638,-70.747465,11z/data=!4m16!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89e4ba829c616caf:0xdf1c5a6e1b55868f!8m2!3d41.9380541!4d-70.6250378!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRNbU54Vms1QkVBRQ","Plimoth Patuxet Museums","4.5","plimoth.org","137 Warren Ave, Plymouth, MA 02360","null","null","https://lh5.googleusercontent.com/p/AF1QipP-huCBvOWN7LeeFBr70evGN79JU3i_d1QSCb-f=w408-h306-k-no","null"
"1654890688-1476","https://www.google.com/maps/place/Dillon's+Local/@41.9557374,-70.720174,13z/data=!4m9!1m2!2m1!1sfood+in+pymouth+ma!3m5!1s0x89e4badfe14f2515:0x988572fa794b9589!8m2!3d41.9604771!4d-70.6685464!15sChNmb29kIGluIHBseW1vdXRoIG1hWhUiE2Zvb2QgaW4gcGx5bW91dGggbWGSARFmYW1pbHlfcmVzdGF1cmFudA","Dillon's Local","4.7","dillonslocalplymouth.com","21 S Park Ave, Plymouth, MA 02360","null","null","https://lh5.googleusercontent.com/p/AF1QipNVpBsjEGy_rGRu4gqSDxzGzPBD8pa1KQNQttg5=w408-h306-k-no","null"
"1654890698-1477","https://www.google.com/maps/place/Pilgrim+Memorial+State+Park/@41.9556549,-70.942531,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e4bae73892b4ab:0xba3eed0190bd4b74!8m2!3d41.958966!4d-70.662252!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEKc3RhdGVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeExWOURjV3AzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Harborside park commemorating the first pilgrim landing, with Plymouth Rock & a Mayflower replica."
"1654890729-1480","https://www.google.com/maps/place/Plimoth+Grist+Mill/@41.9556549,-70.942531,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89e4bae308301d27:0x3b83655f86602dac!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJOamh4TlZsUkVBRQ","Plimoth Grist Mill","4.5","plimoth.org","6 Spring Ln, Plymouth, MA 02360","null","null","https://lh5.googleusercontent.com/p/AF1QipPOyHPZHCdd0jXn8ebnhNnRMQ0mUvph14SQWx2g=w408-h274-k-no","null"
"1654890749-1482","https://www.google.com/maps/place/Brewster+Gardens/@41.9059638,-70.747465,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89e4bae6a5517541:0x6d294fbc6a0a224b!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEGZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF3Y0V0aFZFdDNFQUU","Brewster Gardens","4.7","plymouth-ma.gov","30 Water St, Plymouth, MA 02360","null","null","https://lh5.googleusercontent.com/p/AF1QipOOJt05LgMYmsXvDDIJsBod2mXWp6hrqEC1J2fq=w408-h544-k-no","null"
"1654890708-1478","https://www.google.com/maps/place/Pilgrim+Memorial+State+Park/@41.9556549,-70.942531,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89e4bae73892b4ab:0xba3eed0190bd4b74!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEKc3RhdGVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeExWOURjV3AzUlJBQg","Pilgrim Memorial State Park","4.5","mass.gov","79 Water St, Plymouth, MA 02360","null","null","https://lh5.googleusercontent.com/p/AF1QipPIf-Cym8HRyAUksxXWIFuukPZEe5diDtvLrlC7=w408-h306-k-no","null"
"1654890719-1479","https://www.google.com/maps/place/Plimoth+Grist+Mill/@41.9556549,-70.942531,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e4bae308301d27:0x3b83655f86602dac!8m2!3d41.9535578!4d-70.6651729!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJOamh4TlZsUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","17th-century mill & museum built by early colonists for the milling of corn into cornmeal."
"1654890677-1475","https://www.google.com/maps/place/Dillon's+Local/@41.9557374,-70.720174,13z/data=!4m10!1m2!2m1!1sfood+in+pymouth+ma!3m6!1s0x89e4badfe14f2515:0x988572fa794b9589!8m2!3d41.9604771!4d-70.6685464!10e1!15sChNmb29kIGluIHBseW1vdXRoIG1hWhUiE2Zvb2QgaW4gcGx5bW91dGggbWGSARFmYW1pbHlfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Internationally inspired comfort classics with brunch, specialty cocktails & catering options."
"1654890739-1481","https://www.google.com/maps/place/Brewster+Gardens/@41.9556549,-70.942531,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e4bae6a5517541:0x6d294fbc6a0a224b!8m2!3d41.9556549!4d-70.6623796!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEGZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF3Y0V0aFZFdDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A walking path runs alongside a stream in this well-maintained, grassy park with a tranquil vibe."
"1654890762-1483","https://www.google.com/maps/place/Plimoth+Patuxet+Museums/@41.9059638,-70.747465,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+plymouth+ma!3m6!1sthings+to+do+in+plymouth+ma!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89e4ba829c616caf:0xdf1c5a6e1b55868f!8m2!3d41.9380541!4d-70.6250378!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcGx5bW91dGggbWFaHSIbdGhpbmdzIHRvIGRvIGluIHBseW1vdXRoIG1hkgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRNbU54Vms1QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Complete re-creation of a 17th-century Pilgrim village, including costumed actors & activities."
