web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890849-425","https://www.google.com/maps/place/Salem+Witch+Museum/@42.5214993,-70.9200932,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+ma!3m5!1s0x89e3146f69bbfdf7:0x14c73f59d5d86103!8m2!3d42.5236355!4d-70.890969!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTFc5NVp6ZDNSUkFC","Salem Witch Museum","3.9","salemwitchmuseum.com","19 1/2 N Washington Square, Salem, MA 01970","null","null","//lh4.googleusercontent.com/proxy/zruDTVNz_5DnzNqf0XU3x497O9CMdpwQFiZ8D0lnS-4DvqbA9if5x6QIucNTat5ZRHAD2KZEuctAwrxprSwJT8rPW3N3f4rlX4hQHcYyX-KeoyxgW94mOkSeASII3nKDSuHPklQNyT9ul40O8MyK2gCXWGZx7Q=w408-h271-k-no","null"
"1654890839-424","https://www.google.com/maps/place/Salem+Witch+Museum/@42.5214993,-70.9200932,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+ma!3m6!1s0x89e3146f69bbfdf7:0x14c73f59d5d86103!8m2!3d42.5236355!4d-70.890969!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTFc5NVp6ZDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Life-size stage sets, exhibits & tours exploring the 1692 Salem witch trials, plus witchcraft today."
"1654890798-420","https://www.google.com/maps/place/Salem+Maritime+National+Historic+Site/@42.5215276,-70.9689266,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+ma!3m6!1s0x89e314664d5d5f4b:0x7047b9222c078638!8m2!3d42.5204336!4d-70.8864089!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRd2IzUXlTa1pCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","9-acre park exploring the age of sailing ships, with historic buildings, wharves & a tall ship."
"1654890788-419","https://www.google.com/maps/place/Ropes+Mansion+and+Garden/@42.5215276,-70.9689266,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+ma!3m5!1s0x89e3147bc8bb708f:0x77022f7beaf7955b!8m2!3d42.5212052!4d-70.8998152!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGNGbDVPV3BuUlJBQg","Ropes Mansion and Garden","4.7","pem.org","318 Essex St, Salem, MA 01970","null","null","https://lh5.googleusercontent.com/p/AF1QipOlP6szS67W4DouoZIESIQLKRpMWnG4Uom95Aeq=w408-h306-k-no","null"
"1654890778-418","https://www.google.com/maps/place/Ropes+Mansion+and+Garden/@42.5215276,-70.9689266,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+ma!3m6!1s0x89e3147bc8bb708f:0x77022f7beaf7955b!8m2!3d42.5212052!4d-70.8998152!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGNGbDVPV3BuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible restroom","Amenities    Good for kids","null","House museum in an 18th-century Georgian Colonial mansion with a garden in the back."
"1654890829-423","https://www.google.com/maps/place/Salem+Witch+Village/@42.5215276,-70.9689266,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+ma!3m5!1s0x89e31465b317cd53:0xcaee4ab0ca7d60b6!8m2!3d42.5204399!4d-70.8914101!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15Ym05MVJVSjNFQUU","Salem Witch Village","4.2","salemwitchvillage.biz","282 Derby St, Salem, MA 01970","null","null","https://lh5.googleusercontent.com/p/AF1QipOy8J29F7i39DDO6TUDNDzTbYtfCHiwbA68zmGZ=w408-h306-k-no","null"
"1654890758-416","https://www.google.com/maps/place/Howling+Wolf+Taqueria/@42.5208408,-70.911155,14z/data=!3m1!5s0x89e31464961ebd87:0xd89559ac58505fc4!4m10!1m2!2m1!1sfood+in+salem+ma!3m6!1s0x89e314649695f823:0xdd25954436efa174!8m2!3d42.5192852!4d-70.8938122!10e1!15sChBmb29kIGluIHNhbGVtIG1hWhIiEGZvb2QgaW4gc2FsZW0gbWGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   High chairs","null","Funky Mexican joint with from-scratch fare, frequent live music & a bar with drafts & margaritas."
"1654890809-421","https://www.google.com/maps/place/Salem+Maritime+National+Historic+Site/@42.5215276,-70.9689266,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+ma!3m5!1s0x89e314664d5d5f4b:0x7047b9222c078638!8m2!3d42.5204336!4d-70.8864089!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRd2IzUXlTa1pCRUFF","Salem Maritime National Historic Site","4.6","nps.gov","Salem Maritime National Historic Site, 160 Derby St, Salem, MA 01970","null","null","https://lh5.googleusercontent.com/p/AF1QipM1Yeyy71uXa9HoTVojobfdMLrxR6sk5TZ3igz1=w408-h306-k-no","null"
"1654890768-417","https://www.google.com/maps/place/Howling+Wolf+Taqueria/@42.5208408,-70.911155,14z/data=!3m1!5s0x89e31464961ebd87:0xd89559ac58505fc4!4m9!1m2!2m1!1sfood+in+salem+ma!3m5!1s0x89e314649695f823:0xdd25954436efa174!8m2!3d42.5192852!4d-70.8938122!15sChBmb29kIGluIHNhbGVtIG1hWhIiEGZvb2QgaW4gc2FsZW0gbWGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","Howling Wolf Taqueria","4.5","howlingwolftaqueria.com","76 Lafayette St, Salem, MA 01970","null","null","https://lh5.googleusercontent.com/p/AF1QipOqS5c4cR8uoYyU3-6iDxrBmFgwtTfBcPjdYE1G=w408-h272-k-no","null"
"1654890819-422","https://www.google.com/maps/place/Salem+Witch+Village/@42.5215276,-70.9689266,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+ma!3m6!1s0x89e31465b317cd53:0xcaee4ab0ca7d60b6!8m2!3d42.5204399!4d-70.8914101!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FsZW0gbWFaGiIYdGhpbmdzIHRvIGRvIGluIHNhbGVtIG1hkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15Ym05MVJVSjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Attraction offering exhibits about witches & witchcraft, souvenir shops & haunted house tours."
