web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890437-404","https://www.google.com/maps/place/Springfield+Museums/@42.0908265,-72.7072081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+ma!3m6!1s0x89e6e6e1c06ae29d:0x93a0849d1cc02433!8m2!3d42.1044061!4d-72.5860357!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TWtwRWFFUlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","1 ticket grants entry to a science museum, history museum & 2 art museums around a grassy quad."
"1654890386-399","https://www.google.com/maps/place/Springfield+Armory+National+Historic+Site/@42.0908265,-72.7072081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+ma!3m5!1s0x89e6e704c5e91efb:0x238e4d3182b226da!8m2!3d42.1074085!4d-72.5827199!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFHOXVVRGxuUlJBQg","Springfield Armory National Historic Site","4.7","nps.gov","1 Armory St #2, Springfield, MA 01105","null","null","https://lh5.googleusercontent.com/p/AF1QipM7-vzre8-t2S0irBtMGmw1dWTRUxExznNxmeQE=w408-h302-k-no","null"
"1654890356-396","https://www.google.com/maps/place/Bueno+Y+Sano/@42.1128113,-72.5887654,13z/data=!4m10!1m2!2m1!1sfood+in+springfield+ma!3m6!1s0x89e6e647fa5f3999:0x12c1bf73c6d56d40!8m2!3d42.0918718!4d-72.49864!10e1!15sChZmb29kIGluIHNwcmluZ2ZpZWxkIG1hWhgiFmZvb2QgaW4gc3ByaW5nZmllbGQgbWGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Low-key, family-run chain outpost specializing in health-conscious burritos, tacos & salads."
"1654890447-405","https://www.google.com/maps/place/Springfield+Museums/@42.0908265,-72.7072081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+ma!3m5!1s0x89e6e6e1c06ae29d:0x93a0849d1cc02433!8m2!3d42.1044061!4d-72.5860357!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TWtwRWFFUlJFQUU","Springfield Museums","4.7","springfieldmuseums.org","21 Edwards St, Springfield, MA 01103","null","null","https://lh5.googleusercontent.com/p/AF1QipOsT8m4HjS6mHx8fc2LSFNA6smv3awmEan_e3cc=w408-h271-k-no","null"
"1654890397-400","https://www.google.com/maps/place/Zoo+in+Forest+Park+and+Education+Center/@42.0908265,-72.7072081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+ma!3m6!1s0x89e6e65fb013fb3f:0xf38fd7377438999e!8m2!3d42.0764743!4d-72.5668154!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZFRkMVpuUjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This zoo in a 735-acre woodland park features native & exotic animals, plus educational programs."
"1654890417-402","https://www.google.com/maps/place/Dr.+Seuss+National+Memorial+Sculpture+Garden/@42.0908265,-72.7072081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+ma!3m6!1s0x89e6e6e18ba28f8d:0x6d766754697b46b5!8m2!3d42.103928!4d-72.585822!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmNXSlVSbTVuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Whimsical bronze sculptures of Dr. Seuss characters fill the courtyard of this multi-museum complex."
"1654890407-401","https://www.google.com/maps/place/Zoo+in+Forest+Park+and+Education+Center/@42.0908265,-72.7072081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+ma!3m5!1s0x89e6e65fb013fb3f:0xf38fd7377438999e!8m2!3d42.0764743!4d-72.5668154!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZFRkMVpuUjNSUkFC","Zoo in Forest Park and Education Center","4.3","forestparkzoo.org","293 Sumner Ave, Springfield, MA 01108","null","null","https://lh5.googleusercontent.com/p/AF1QipP4Nhic_4NKn4NUglphyqueMc8K7zoF5SdXr1Lm=w408-h306-k-no","null"
"1654890427-403","https://www.google.com/maps/place/Dr.+Seuss+National+Memorial+Sculpture+Garden/@42.0908265,-72.7072081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+ma!3m5!1s0x89e6e6e18ba28f8d:0x6d766754697b46b5!8m2!3d42.103928!4d-72.585822!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmNXSlVSbTVuUlJBQg","Dr. Seuss National Memorial Sculpture Garden","4.7","springfieldmuseums.org","21 Edwards St, Springfield, MA 01103","null","null","https://lh5.googleusercontent.com/p/AF1QipN0QaFgDpnI68bulwbKhLITYj8AbKytEd86CjQ=w408-h306-k-no","null"
"1654890376-398","https://www.google.com/maps/place/Springfield+Armory+National+Historic+Site/@42.0908265,-72.7072081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+ma!3m6!1s0x89e6e704c5e91efb:0x238e4d3182b226da!8m2!3d42.1074085!4d-72.5827199!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgbWFaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIG1hkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFHOXVVRGxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Historic buildings & large collection of military weapons displayed at Revolutionary War arsenal."
"1654890366-397","https://www.google.com/maps/place/Bueno+Y+Sano/@42.1128113,-72.5887654,13z/data=!4m9!1m2!2m1!1sfood+in+springfield+ma!3m5!1s0x89e6e647fa5f3999:0x12c1bf73c6d56d40!8m2!3d42.0918718!4d-72.49864!15sChZmb29kIGluIHNwcmluZ2ZpZWxkIG1hWhgiFmZvb2QgaW4gc3ByaW5nZmllbGQgbWGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","Bueno Y Sano","4.6","buenoysano.com","415 Cooley St, Springfield, MA 01128","null","null","https://lh5.googleusercontent.com/p/AF1QipN_Kwf0gMNgZTYG01VyTAtNXVsmkOJLczLNi2Ct=w408-h306-k-no","null"
