web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890583-410","https://www.google.com/maps/place/Worcester+Historical+Museum/@42.0893706,-73.1294687,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m6!1s0x89e4066128fd7c33:0x547a6a56d3945d5e!8m2!3d42.2650062!4d-71.804572!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWGJrMVFjMnhCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum & archive focusing on Worcester city history, with rotating exhibits & a historic house tour."
"1654890634-415","https://www.google.com/maps/place/Worcester+Art+Museum/@42.0893706,-73.1294687,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m5!1s0x89e4065b9593851d:0x1eb4f1f8ca7f2e74!8m2!3d42.2731!4d-71.802!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50ZWpWdFgwbG5FQUU","Worcester Art Museum","4.7","worcesterart.org","55 Salisbury St, Worcester, MA 01609","null","null","https://lh5.googleusercontent.com/p/AF1QipPtARg4y_dt20N3VQQpZQlcQlg-egmtD14BPVbo=w408-h306-k-no","null"
"1654890604-412","https://www.google.com/maps/place/EcoTarium/@42.0893706,-73.1294687,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m6!1s0x89e406210f120baf:0x2323181039bf3e7f!8m2!3d42.2644952!4d-71.7691433!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUE1ITlRhMkpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Ecology & conservation museum with interactive displays, a planetarium, trails & a treetop walkway."
"1654890594-411","https://www.google.com/maps/place/Worcester+Historical+Museum/@42.0893706,-73.1294687,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m5!1s0x89e4066128fd7c33:0x547a6a56d3945d5e!8m2!3d42.2650062!4d-71.804572!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWGJrMVFjMnhCUlJBQg","Worcester Historical Museum","4.3","worcesterhistory.org","30 Elm St, Worcester, MA 01609","null","null","https://lh5.googleusercontent.com/p/AF1QipOM5k-fLM7N_u9tNBpWeuaYSUXG2aZH7k06nLnB=w426-h240-k-no","null"
"1654890573-409","https://www.google.com/maps/place/Quinsigamond+State+Park/@42.0893706,-73.1294687,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m5!1s0x89e408817c51c2e3:0x11cfa22e495c163d!8m2!3d42.2773644!4d-71.7577847!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yZVRWTU4wNUJFQUU","Quinsigamond State Park","4.5","mass.gov","10 N Lake Ave, Worcester, MA 01604","null","null","https://lh5.googleusercontent.com/p/AF1QipMWY84eF5rYmj_EM2FDUf4Olw07u2aD52W8QDAI=w408-h408-k-no","null"
"1654890553-407","https://www.google.com/maps/place/The+Boynton+Restaurant+%26+Spirits/@42.2861845,-71.8811718,12.13z/data=!4m9!1m2!2m1!1sfood+in+worcester+ma!3m5!1s0x89e4065f055f3c07:0xcab8c1da6fe246b1!8m2!3d42.2708623!4d-71.807393!15sChRmb29kIGluIHdvcmNlc3RlciBtYVoWIhRmb29kIGluIHdvcmNlc3RlciBtYZIBCWdhc3Ryb3B1Yg","The Boynton Restaurant & Spirits","4.4","boyntonrestaurant.com","117 Highland St, Worcester, MA 01609","null","null","https://lh5.googleusercontent.com/p/AF1QipOBPk6wCKTMxY-nKo1p7R6Hglz-xcetQ0rfgNdB=w408-h544-k-no","null"
"1654890563-408","https://www.google.com/maps/place/Quinsigamond+State+Park/@42.0893706,-73.1294687,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m6!1s0x89e408817c51c2e3:0x11cfa22e495c163d!8m2!3d42.2773644!4d-71.7577847!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yZVRWTU4wNUJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Recreation area on Lake Quinsigamond with swimming, boating, fishing, sports & picnic facilities."
"1654890624-414","https://www.google.com/maps/place/Worcester+Art+Museum/@42.0893706,-73.1294687,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m6!1s0x89e4065b9593851d:0x1eb4f1f8ca7f2e74!8m2!3d42.2731!4d-71.802!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50ZWpWdFgwbG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom","null","Vast art collection from ancient to contemporary , including European master works & a Gothic house."
"1654890614-413","https://www.google.com/maps/place/EcoTarium/@42.0893706,-73.1294687,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+worcestor+ma!3m5!1s0x89e406210f120baf:0x2323181039bf3e7f!8m2!3d42.2644952!4d-71.7691433!15sChx0aGluZ3MgdG8gZG8gaW4gd29yY2VzdG9yIG1hWh4iHHRoaW5ncyB0byBkbyBpbiB3b3JjZXN0b3IgbWGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUE1ITlRhMkpCRUFF","EcoTarium","4.5","ecotarium.org","222 Harrington Way, Worcester, MA 01604","null","null","https://lh5.googleusercontent.com/p/AF1QipPZK_ESv13FurGOlQXdMYVCHZdVyR8VNfVHdCjh=w408-h306-k-no","null"
"1654890543-406","https://www.google.com/maps/place/The+Boynton+Restaurant+%26+Spirits/@42.2861845,-71.8811718,12.13z/data=!4m10!1m2!2m1!1sfood+in+worcester+ma!3m6!1s0x89e4065f055f3c07:0xcab8c1da6fe246b1!8m2!3d42.2708623!4d-71.807393!10e1!15sChRmb29kIGluIHdvcmNlc3RlciBtYVoWIhRmb29kIGluIHdvcmNlc3RlciBtYZIBCWdhc3Ryb3B1Yg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Long-running haunt draws college kids & locals with a large choice of American eats, beers, and TVs."
