web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890908-1491","https://www.google.com/maps/place/American+Visionary+Art+Museum/@39.3076161,-76.756323,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89c80364cd242825:0x1e46ef71e375e9b7!8m2!3d39.2799761!4d-76.6069055!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MYVZCcVZqaG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Small museum with unusual rotating exhibits by self-taught artists, 2 sculpture plazas & a garden."
"1654890856-1486","https://www.google.com/maps/place/The+Food+Market/@39.3040587,-76.6706675,13z/data=!4m9!1m2!2m1!1sfood+in+baltimore!3m5!1s0x89c80529d7a2d967:0x332799d7bab80ab9!8m2!3d39.3308889!4d-76.6332417!15sChFmb29kIGluIGJhbHRpbW9yZVoTIhFmb29kIGluIGJhbHRpbW9yZZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","The Food Market","4.6","the-food-market.com","1017 W 36th St, Baltimore, MD 21211","null","null","https://lh5.googleusercontent.com/p/AF1QipPcLONAXZ_NJxJjwRKtp55mkvrUVsamn28A0R0z=w408-h371-k-no","null"
"1654890877-1488","https://www.google.com/maps/place/B%26O+Railroad+Museum/@39.3076161,-76.756323,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89c8049c2bac0e6f:0x8d1f347fa7024ae4!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQtyYWlsX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSGVIQkVOa3AzRUFF","B&O Railroad Museum","4.6","borail.org","901 W Pratt St, Baltimore, MD 21223","null","null","https://lh5.googleusercontent.com/p/AF1QipONJiS1jCkFWAd-cNFihix8pb03oSt5aZ80qbeq=w408-h306-k-no","null"
"1654890846-1485","https://www.google.com/maps/place/The+Food+Market/@39.3040587,-76.6706675,13z/data=!4m10!1m2!2m1!1sfood+in+baltimore!3m6!1s0x89c80529d7a2d967:0x332799d7bab80ab9!8m2!3d39.3308889!4d-76.6332417!10e1!15sChFmb29kIGluIGJhbHRpbW9yZVoTIhFmb29kIGluIGJhbHRpbW9yZZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   Gender-neutral restroom   High chairs   Restroom   Free Wi-Fi","null","An open kitchen in this former grocery store turns out creative American cuisine & cocktails."
"1654890898-1490","https://www.google.com/maps/place/Fort+McHenry+National+Monument+and+Historic+Shrine/@39.3076161,-76.756323,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89c80398209f6ccf:0xea4d214834781212!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4zWDB4VWRIRm5SUkFC","Fort McHenry National Monument and Historic Shrine","4.7","nps.gov","2400 E Fort Ave, Baltimore, MD 21230","null","null","https://lh5.googleusercontent.com/p/AF1QipPF0GE5Itoygk6SXaRvYRsjJ3dkPmbRUYMJEIj8=w408-h306-k-no","null"
"1654890939-1494","https://www.google.com/maps/place/National+Aquarium/@39.3076161,-76.756323,11z/data=!4m16!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89c80362e467565d:0xc7f0a8617c7c7e8e!8m2!3d39.2853928!4d-76.6083984!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQhhcXVhcml1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMGFWcFFYM2xSUlJBQg","National Aquarium","4.6","aqua.org","501 E Pratt St, Baltimore, MD 21202","null","null","https://lh5.googleusercontent.com/p/AF1QipN3zAh670TgRq8gLfM2IoXmbGihG59QJEnYIG-7=w408-h306-k-no","null"
"1654890867-1487","https://www.google.com/maps/place/B%26O+Railroad+Museum/@39.3076161,-76.756323,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89c8049c2bac0e6f:0x8d1f347fa7024ae4!8m2!3d39.2854681!4d-76.6326119!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQtyYWlsX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSGVIQkVOa3AzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","National Historic Landmark highlighting nearly 200 locomotives, a model train display & train rides."
"1654890887-1489","https://www.google.com/maps/place/Fort+McHenry+National+Monument+and+Historic+Shrine/@39.3076161,-76.756323,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89c80398209f6ccf:0xea4d214834781212!8m2!3d39.2641007!4d-76.5806414!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4zWDB4VWRIRm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Fort whose War of 1812 victory inspired ""The Star-Spangled Banner,"" the U.S. national anthem."
"1654890918-1492","https://www.google.com/maps/place/American+Visionary+Art+Museum/@39.3076161,-76.756323,11z/data=!4m13!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89c80364cd242825:0x1e46ef71e375e9b7!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MYVZCcVZqaG5SUkFC","American Visionary Art Museum","4.7","avam.org","800 Key Hwy, Baltimore, MD 21230","null","null","//lh6.googleusercontent.com/proxy/_XETbhjrpu5tws4dIPj_xmvTfpItFcv86LYR7Xs3ZsV9S6aCIlIXTrrOXMZxG98gqeMjJ9NzT6vZzPTnYTtRtOfPKwfH9sYuO1zCivBKMEUaQVqhJg1GMGDQfwBvNhbgIrrmHubbXTjcQzNknh8dFq_CqziExD8=w408-h282-k-no","null"
"1654890928-1493","https://www.google.com/maps/place/National+Aquarium/@39.3076161,-76.756323,11z/data=!4m17!1m9!2m8!1sthings+to+do+in+baltimore!3m6!1sthings+to+do+in+baltimore!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89c80362e467565d:0xc7f0a8617c7c7e8e!8m2!3d39.2853928!4d-76.6083984!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFsdGltb3JlWhsiGXRoaW5ncyB0byBkbyBpbiBiYWx0aW1vcmWSAQhhcXVhcml1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMGFWcFFYM2xSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Iconic landmark offering marine-life exhibits, a dolphin show, shark tank & walk-through rainforest."
