web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891152-441","https://www.google.com/maps/place/Centennial+Park/@39.190158,-78.0154955,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+md!3m5!1s0x89c820747f9b2665:0x435629c1c11e2380!8m2!3d39.2407142!4d-76.8594124!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoyUnliRmxCRUFF","Centennial Park","4.7","howardcountymd.gov","10000 Clarksville Pike, Ellicott City, MD 21042","null","null","https://lh5.googleusercontent.com/p/AF1QipNOQZ8HLIPFQCwSII-zQ6D8ttjWLHOw3f0FAoTJ=w408-h306-k-no","null"
"1654891101-436","https://www.google.com/maps/place/The+Cheesecake+Factory/@39.2167964,-76.9341033,13z/data=!3m1!5s0x89b7df98e333165b:0x7edf0a3aaec9f820!4m10!1m2!2m1!1sfood+in+columbia+md!3m6!1s0x89b7df990027e707:0x30d7a4e14d03bc10!8m2!3d39.2167964!4d-76.8640655!10e1!15sChNmb29kIGluIGNvbHVtYmlhIG1kWhUiE2Zvb2QgaW4gY29sdW1iaWEgbWSSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","American chain restaurant offering sizable portions from a vast menu including signature cheesecake"
"1654891192-445","https://www.google.com/maps/place/Robinson+Nature+Center/@38.9363014,-77.133133,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+md!3m5!1s0x89b7dee77f161493:0xa0065e77deedddc3!8m2!3d39.190158!4d-76.89489!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEPbmF0dXJlX3ByZXNlcnZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YWjJONWR6WjNSUkFC","Robinson Nature Center","4.7","howardcountymd.gov","6692 Cedar Ln, Columbia, MD 21044","null","null","https://lh5.googleusercontent.com/p/AF1QipP5KtTfla0QTu_PIpfCJ3YcPvVTtGK9sI6I4aYc=w408-h271-k-no","null"
"1654891141-440","https://www.google.com/maps/place/Centennial+Park/@39.190158,-78.0154955,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+md!3m6!1s0x89c820747f9b2665:0x435629c1c11e2380!8m2!3d39.2407142!4d-76.8594124!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoyUnliRmxCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","County park built around a lake, offering a running trail, boating, fishing & diverse ecosystems."
"1654891162-442","https://www.google.com/maps/place/Blandair+Regional+Park+West+Playground/@39.190158,-78.0154955,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+md!3m6!1s0x89b7dfe79290081f:0x80a675d85070f041!8m2!3d39.2110381!4d-76.8362478!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE0yUmlhazluRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Simple park featuring multipurpose sports fields with bleachers plus a playground & parking lot."
"1654891121-438","https://www.google.com/maps/place/Merriweather+Post+Pavilion/@39.190158,-78.0154955,9z/data=!3m1!5s0x89b7dfa49ae0359b:0x46641f75c0134779!4m10!1m2!2m1!1sthings+to+do+in+columbia+md!3m6!1s0x89b7e0e5cc651d03:0x193f0b570f71e3fd!8m2!3d39.2093888!4d-76.8616475!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEMYW1waGl0aGVhdHJlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QZGt4MWJtWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Local institution with bandshell & lawn seating featuring live performances by international acts."
"1654891131-439","https://www.google.com/maps/place/Merriweather+Post+Pavilion/@39.190158,-78.0154955,9z/data=!3m1!5s0x89b7dfa49ae0359b:0x46641f75c0134779!4m9!1m2!2m1!1sthings+to+do+in+columbia+md!3m5!1s0x89b7e0e5cc651d03:0x193f0b570f71e3fd!8m2!3d39.2093888!4d-76.8616475!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEMYW1waGl0aGVhdHJlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QZGt4MWJtWlJFQUU","Merriweather Post Pavilion","4.5","merriweathermusic.com","10475 Little Patuxent Pkwy, Columbia, MD 21044","null","null","https://lh5.googleusercontent.com/p/AF1QipOthu6tbyImLDS2AqfaBbNP2fCdDIOg4v19ADvS=w426-h240-k-no","null"
"1654891172-443","https://www.google.com/maps/place/Blandair+Regional+Park+West+Playground/@39.190158,-78.0154955,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+md!3m5!1s0x89b7dfe79290081f:0x80a675d85070f041!8m2!3d39.2110381!4d-76.8362478!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE0yUmlhazluRUFF","Blandair Regional Park West Playground","4.7","howardcountymd.gov","5750 Oakland Mills Rd, Columbia, MD 21045","null","null","https://lh5.googleusercontent.com/p/AF1QipMaS4HHW9q9kzARtswQpyI9rO_PQ5n4sTfUJLsm=w426-h240-k-no","null"
"1654891182-444","https://www.google.com/maps/place/Robinson+Nature+Center/@39.190158,-78.0154955,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+md!3m6!1s0x89b7dee77f161493:0xa0065e77deedddc3!8m2!3d39.190158!4d-76.89489!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWRaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1kkgEPbmF0dXJlX3ByZXNlcnZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YWjJONWR6WjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","18-acre center exploring the local ecosystem via a planetarium, nature exhibits & wooded trail."
"1654891111-437","https://www.google.com/maps/place/The+Cheesecake+Factory/@39.2014353,-76.8707033,13z/data=!4m6!1m2!2m1!1sfood+in+columbia+md!3m2!1s0x89b7df990027e707:0x30d7a4e14d03bc10!15sChNmb29kIGluIGNvbHVtYmlhIG1kWhUiE2Zvb2QgaW4gY29sdW1iaWEgbWSSAQpyZXN0YXVyYW50","The Cheesecake Factory","4.0","thecheesecakefactory.com","10300 Little Patuxent Pkwy, Columbia, MD 21044","null","null","https://lh5.googleusercontent.com/p/AF1QipMCH9Q4UN0UC1mue01FVRzEbJsFbGdA_Z0aySAu=w426-h240-k-no","null"
