web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891081-1500","https://www.google.com/maps/place/Sky+Zone+Trampoline+Park/@39.1416813,-78.3133533,9z/data=!4m16!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89b7d2adaf24fc67:0xe75aea59ba459053!8m2!3d39.1158932!4d-77.1902903!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSARBhbXVzZW1lbnRfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoZG5CcWNqRjNSUkFC","Sky Zone Trampoline Park","4.3","skyzone.com","15813 Gaither Dr, Gaithersburg, MD 20877","null","null","https://lh5.googleusercontent.com/p/AF1QipPjmnJjMaT1B6eNV_AFGXZZeFIri-pqEHYrF7VB=w408-h306-k-no","null"
"1654891071-1499","https://www.google.com/maps/place/Sky+Zone+Trampoline+Park/@39.1416813,-78.3133533,9z/data=!4m17!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89b7d2adaf24fc67:0xe75aea59ba459053!8m2!3d39.1158932!4d-77.1902903!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSARBhbXVzZW1lbnRfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoZG5CcWNqRjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Free Wi-Fi","null","Chain of indoor trampoline parks featuring freestyle bouncing, dodgeball, fitness programs & more."
"1654891040-1496","https://www.google.com/maps/place/Ixtapalapa+Taqueria/@39.1370627,-77.234859,13z/data=!4m6!1m2!2m1!1sfood+in+gaithersburg!3m2!1s0x89b62d28c3f533f7:0x4e9430b5b3dc117b!15sChRmb29kIGluIGdhaXRoZXJzYnVyZ1oWIhRmb29kIGluIGdhaXRoZXJzYnVyZ5IBEm1leGljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaGRVOTZTamxCUlJBQg","Ixtapalapa Taqueria","4.5","ixtataqueria.com","411 N Frederick Ave, Gaithersburg, MD 20877","null","null","https://lh5.googleusercontent.com/p/AF1QipMnz9cQPE9J5L97I9n3CFX2nmL1kFmZ45TskS11=w493-h240-k-no","null"
"1654891119-1502","https://www.google.com/maps/place/Bohrer+Park/@39.1416813,-78.3133533,9z/data=!4m16!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89b7d2cb478cfa83:0x98a7cd2de2a9ca6b!8m2!3d39.1334402!4d-77.1933923!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yZGpjeVJHOUJSUkFC","null","null","null","null","null","null","null","null"
"1654891061-1498","https://www.google.com/maps/place/Constitution+Gardens+Park/@39.1416813,-78.3133533,9z/data=!4m16!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x89b62d2b58a103bf:0xe23a3f7cdda2797!8m2!3d39.1442745!4d-77.195505!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5UZDA1SVlXdDNSUkFC","Constitution Gardens Park","4.5","gaithersburgmd.gov","112 Brookes Ave, Gaithersburg, MD 20877","null","null","https://lh5.googleusercontent.com/p/AF1QipPgCifvOB5pHHiwrn9e3LfdjX2o9_dAv1cVNXOR=w408-h544-k-no","null"
"1654891139-1504","https://www.google.com/maps/place/City+of+Gaithersburg+Water+Park+at+Bohrer+Park/@39.1416813,-78.3133533,9z/data=!4m13!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x89b7d2cc771ff86d:0x5d2004ec73073a5c!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWTmpseWIwbEJFQUU","City of Gaithersburg Water Park at Bohrer Park","4.1","gaithersburgmd.gov","512 S Frederick Ave, Gaithersburg, MD 20877","null","null","https://lh5.googleusercontent.com/p/AF1QipMpAuVOoMQJo_VSQLqZns3R59qVLlvcjdVhdSiv=w408-h306-k-no","null"
"1654891030-1495","https://www.google.com/maps/place/Ixtapalapa+Taqueria/@39.1370627,-77.234859,13z/data=!4m10!1m2!2m1!1sfood+in+gaithersburg!3m6!1s0x89b62d28c3f533f7:0x4e9430b5b3dc117b!8m2!3d39.1465614!4d-77.2041151!10e1!15sChRmb29kIGluIGdhaXRoZXJzYnVyZ1oWIhRmb29kIGluIGdhaXRoZXJzYnVyZ5IBEm1leGljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaGRVOTZTamxCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   High chairs","null","Tacos & Mexican small plates are offered from a counter with popsicles, beer & a few cocktails."
"1654891094-1501","https://www.google.com/maps/place/Bohrer+Park/@39.1416813,-78.3133533,9z/data=!4m17!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89b7d2cb478cfa83:0x98a7cd2de2a9ca6b!8m2!3d39.1334402!4d-77.1933923!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yZGpjeVJHOUJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","The city's oldest building sits in this city park popular for picnics, walking & mini-golf."
"1654891050-1497","https://www.google.com/maps/place/Constitution+Gardens+Park/@39.1416813,-78.3133533,9z/data=!4m17!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89b62d2b58a103bf:0xe23a3f7cdda2797!8m2!3d39.1442745!4d-77.195505!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5UZDA1SVlXdDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park featuring themed playgrounds, a fountain, gardens, picnic tables & swinging benches."
"1654891129-1503","https://www.google.com/maps/place/City+of+Gaithersburg+Water+Park+at+Bohrer+Park/@39.1416813,-78.3133533,9z/data=!4m17!1m9!2m8!1sthings+to+do+in+gaithersburg!3m6!1sthings+to+do+in+gaithersburg!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x89b7d2cc771ff86d:0x5d2004ec73073a5c!8m2!3d39.1329709!4d-77.1959195!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZ2FpdGhlcnNidXJnWh4iHHRoaW5ncyB0byBkbyBpbiBnYWl0aGVyc2J1cmeSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWTmpseWIwbEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Outdoor swimming pool with deep lanes & a shallow play area featuring a 250-ft. double waterslide."
