web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891491-458","https://www.google.com/maps/place/National+Museum+of+African+American+History+and+Culture/@38.920904,-77.0846404,12z/data=!3m1!5s0x89b7b798bb6b963d:0x3333a570596d775b!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b798b2298317:0x98019bd758632f06!8m2!3d38.8910644!4d-77.032614!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEPbmF0aW9uYWxfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5ITTJKVVdUZDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Popular Smithsonian museum with unique exhibits on African American history, culture & community."
"1654891532-462","https://www.google.com/maps/place/United+States+Botanic+Garden/@38.920904,-77.0846404,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b780d4824e1d:0x9d76b2fe03d27f20!8m2!3d38.8881451!4d-77.0128833!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWQyTllla2hCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Public restroom","null","Sprawling grounds featuring exotic flora plus conservatory, rare plants gallery & butterfly garden."
"1654891501-459","https://www.google.com/maps/place/National+Museum+of+African+American+History+and+Culture/@38.920904,-77.0846404,12z/data=!3m1!5s0x89b7b798bb6b963d:0x3333a570596d775b!4m9!1m2!2m1!1sthings+to+do+in+dc!3m5!1s0x89b7b798b2298317:0x98019bd758632f06!8m2!3d38.8910644!4d-77.032614!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEPbmF0aW9uYWxfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5ITTJKVVdUZDNSUkFC","National Museum of African American History and Culture","4.8","nmaahc.si.edu","1400 Constitution Ave. NW, Washington, DC 20560","null","null","https://lh5.googleusercontent.com/p/AF1QipOvCjUIYAFovouDsuzWGasiljjO-BIVUyOgM9rg=w408-h304-k-no","null"
"1654891368-446","https://www.google.com/maps/place/Lincoln+Memorial/@38.8875144,-77.1764691,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b771e0906287:0x1049d1c9c95c2eb6!8m2!3d38.8892686!4d-77.050176!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEIbW9udW1lbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhaMlYyVmtaQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Parthenon-inspired tribute to Abraham Lincoln with a 19-ft. marble statue, murals & reflecting pool."
"1654891511-460","https://www.google.com/maps/place/International+Spy+Museum/@38.920904,-77.0846404,12z/data=!3m1!5s0x89b7b7762ffd10c9:0x408b55949b5ec786!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b7904a7f8fed:0x2d2f6711a75c2736!8m2!3d38.8841419!4d-77.0255748!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QZEVsUFMwcDNFQUU","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Interactive look at the history of espionage features more than 600 artifacts & devices used to spy."
"1654891470-456","https://www.google.com/maps/place/Smithsonian+National+Air+and+Space+Museum/@38.920904,-77.0846404,12z/data=!3m1!5s0x89b7b78371c4054d:0xe8c76fea9e5a064b!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b7837b262421:0xf8e7c937dd8ce81b!8m2!3d38.8881601!4d-77.0198679!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEPbmF0aW9uYWxfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZVRSSVJVWlJFQUU","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Free Wi-Fi   Restaurant","null","Museum documenting the history of aviation & space exploration, with displays of vehicles & more."
"1654891409-450","https://www.google.com/maps/place/Washington+Monument/@38.8875144,-77.1764691,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+dc!3m6!1s0x89b7b7a1be0c2e7f:0xe97346828ed0bfb8!8m2!3d38.8894838!4d-77.0352791!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEIbW9udW1lbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRkR05mYTJoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Landmark obelisk rising from the National Mall that honors America's first president."
"1654891389-448","https://www.google.com/maps/place/Commissary/@38.9097862,-77.0685007,14z/data=!4m10!1m2!2m1!1sfood+in+dc!3m6!1s0x89b7b7c1dff26fff:0xcd4f1d035cce59fd!8m2!3d38.909778!4d-77.0334825!10e1!15sCgpmb29kIGluIGRjWgwiCmZvb2QgaW4gZGOSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Bar onsite   High chairs","null","Patrons relax in armchairs & on the patio at popular casual coffeehouse/bar, serving light fare."
"1654891460-455","https://www.google.com/maps/place/National+Mall/@38.8875144,-77.1764691,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+dc!3m5!1s0x89b7b79b5aff3d31:0x3a08ab4ca2062741!8m2!3d38.8875144!4d-77.0363934!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgENbmF0aW9uYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWE4zRnVPWEJSUlJBQg","National Mall","4.8","nps.gov","Washington, DC","null","null","https://lh5.googleusercontent.com/p/AF1QipPxnYUxYJ9daFDB76EPgYC0vGZr51U5ObNN0HTg=w408-h291-k-no","null"
"1654891481-457","https://www.google.com/maps/place/Smithsonian+National+Air+and+Space+Museum/@38.920904,-77.0846404,12z/data=!3m1!5s0x89b7b78371c4054d:0xe8c76fea9e5a064b!4m9!1m2!2m1!1sthings+to+do+in+dc!3m5!1s0x89b7b7837b262421:0xf8e7c937dd8ce81b!8m2!3d38.8881601!4d-77.0198679!15sChJ0aGluZ3MgdG8gZG8gaW4gZGNaFCISdGhpbmdzIHRvIGRvIGluIGRjkgEPbmF0aW9uYWxfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZVRSSVJVWlJFQUU","Smithsonian National Air and Space Museum","4.7","airandspace.si.edu","600 Independence Ave SW, Washington, DC 20560","null","null","https://lh5.googleusercontent.com/p/AF1QipPP1--KfYbch3IAlvaVq3CI6gkJ9UWFTNFqMgXz=w408-h257-k-no","null"
