web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891526-1521","https://www.google.com/maps/place/Viles+Arboretum/@43.6139819,-72.5048863,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb206d0ba156833:0xbf897a65922c807d!8m2!3d44.2997346!4d-69.7656922!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBCWFyYm9yZXR1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNWNUUTJPVnAzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Spacious public park filled with trees & native plants offering educational opportunities."
"1654891485-1517","https://www.google.com/maps/place/Fort+Custer+Recreation+Area/@42.3170028,-89.8224987,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x88178de7ffbbb519:0xbce24d31b4405005!8m2!3d42.3170028!4d-85.3400768!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXdkRTVUVEU5M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Ex-WWII training area now a vast park with camping on farmlike terrain plus biking & hiking trails."
"1654891475-1516","https://www.google.com/maps/place/Margaritas+Mexican+Restaurant/@44.3307719,-69.8186211,13z/data=!4m6!1m2!2m1!1sfood+in+augusta+me!3m2!1s0x4cb203f7fb8fe503:0x782e114cba0f877d!15sChJmb29kIGluIGF1Z3VzdGEgbWVaFCISZm9vZCBpbiBhdWd1c3RhIG1lkgESbWV4aWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU52TWxsaGNYTlJSUkFC","Margaritas Mexican Restaurant","4.1","margs.com","390 Western Ave, Augusta, ME 04330","null","null","https://lh5.googleusercontent.com/p/AF1QipO3y4PFjQWsBW3t2HF4J4KDJBMVi95rnYu40wZH=w421-h240-k-no","null"
"1654891537-1522","https://www.google.com/maps/place/Viles+Arboretum/@43.6139819,-72.5048863,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cb206d0ba156833:0xbf897a65922c807d!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBCWFyYm9yZXR1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNWNUUTJPVnAzRUFF","Viles Arboretum","4.7","vilesarboretum.org","153 Hospital St, Augusta, ME 04330","null","null","https://lh5.googleusercontent.com/p/AF1QipOmBg1w3NEWIp_lub5xJ7oDyvkUel-AFT5IOmmb=w408-h306-k-no","null"
"1654891547-1523","https://www.google.com/maps/place/Old+Fort+Western/@43.6139819,-72.5048863,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb20136fd9021d7:0x3df0ea23eba09d74!8m2!3d44.3160785!4d-69.7710254!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaExXWk1WMmQzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","The oldest surviving wood fort in New England, this 1754 structure houses historic collections."
"1654891495-1518","https://www.google.com/maps/place/Fort+Custer+Recreation+Area/@44.3064398,-74.2607462,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x88178de7ffbbb519:0xbce24d31b4405005!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXdkRTVUVEU5M0VBRQ","Fort Custer Recreation Area","4.6","michigandnr.com","5163 Fort Custer Dr, Augusta, MI 49012","null","null","https://lh5.googleusercontent.com/p/AF1QipNHQTdT81hrpJvKcfGcZ0BRPP-rkw6SrhRrUwBJ=w408-h306-k-no","null"
"1654891464-1515","https://www.google.com/maps/place/Margaritas+Mexican+Restaurant/@44.3171043,-69.8858175,13z/data=!4m10!1m2!2m1!1sfood+in+augusta+me!3m6!1s0x4cb203f7fb8fe503:0x782e114cba0f877d!8m2!3d44.3171043!4d-69.8157797!10e1!15sChJmb29kIGluIGF1Z3VzdGEgbWVaFCISZm9vZCBpbiBhdWd1c3RhIG1lkgESbWV4aWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU52TWxsaGNYTlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Mexican handcrafts decorate this chain serving tacos, enchiladas, margaritas & other classics."
"1654891557-1524","https://www.google.com/maps/place/Old+Fort+Western/@43.6139819,-72.5048863,7z/data=!4m16!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x4cb20136fd9021d7:0x3df0ea23eba09d74!8m2!3d44.3160785!4d-69.7710254!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaExXWk1WMmQzUlJBQg","Old Fort Western","4.6","oldfortwestern.org","16 Cony St, Augusta, ME 04330","null","null","https://lh5.googleusercontent.com/p/AF1QipOMMxyxeHIFU_Ush7JYYi2o72sbT1T2QuQWz3W5=w408-h306-k-no","null"
"1654891516-1520","https://www.google.com/maps/place/Capitol+Park/@42.3912754,-89.8653118,7z/data=!4m13!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cb206ca32dadad9:0x2a7a80014ebb7f10!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnZhamt5WnpOQlJSQUI","Capitol Park","4.5","null","33 Union St, Augusta, ME 04330","null","null","https://lh5.googleusercontent.com/p/AF1QipOsJaxlaUUw811y4AisO0AQc9gGsFJnxt0R3wi9=w426-h240-k-no","null"
"1654891506-1519","https://www.google.com/maps/place/Capitol+Park/@44.3064398,-74.2607462,7z/data=!4m17!1m9!2m8!1sthings+to+do+in+augusta+me!3m6!1sthings+to+do+in+augusta+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb206ca32dadad9:0x2a7a80014ebb7f10!8m2!3d44.3064398!4d-69.7783243!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBtZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnZhamt5WnpOQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Public park with mature trees & extensive lawns standing in the shadow of the Capitol Building."
