web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891693-1527","https://www.google.com/maps/place/Bangor+City+Forest/@44.7855512,-86.7345821,5z/data=!4m17!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cafb44809231e25:0xf469ed4d7ec3cca0!8m2!3d44.8632801!4d-68.7403651!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhNM0EyZGt0bkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","650-acre recreational area featuring hiking & cross-country ski trails & a bog boardwalk."
"1654891672-1525","https://www.google.com/maps/place/Moe's+Original+BBQ+Restaurant+%26+Catering+-+Bangor/@44.8133124,-68.8109528,13z/data=!4m10!1m2!2m1!1sfood+in+bangor+me!3m6!1s0x4cafb4cfa6dd8fff:0xc36fe8936415cb0c!8m2!3d44.8226796!4d-68.7791725!10e1!15sChFmb29kIGluIGJhbmdvciBtZVoTIhFmb29kIGluIGJhbmdvciBtZZIBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Easygoing chain serving Alabama-style pulled pork & other meats smoked in-house."
"1654891724-1530","https://www.google.com/maps/place/Cascade+Park/@44.7855512,-86.7345821,5z/data=!4m16!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x4cafb355c8818d23:0xd98cebf6b6cd9115!8m2!3d44.8113134!4d-68.7458284!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TjJOeWNETm5SUkFC","Cascade Park","4.6","bangorparksandrec.com","600 State St, Bangor, ME 04401","null","null","https://lh5.googleusercontent.com/p/AF1QipM8XIrUif19iYJApWGE8GyP1ryVzysEy-IgMAXd=w426-h240-k-no","null"
"1654891714-1529","https://www.google.com/maps/place/Cascade+Park/@44.7855512,-86.7345821,5z/data=!4m17!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cafb355c8818d23:0xd98cebf6b6cd9115!8m2!3d44.8113134!4d-68.7458284!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TjJOeWNETm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic park featuring a picnic area & fountain, plus trails through a variety of pine trees."
"1654891703-1528","https://www.google.com/maps/place/Bangor+City+Forest/@44.7855512,-86.7345821,5z/data=!4m13!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cafb44809231e25:0xf469ed4d7ec3cca0!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhNM0EyZGt0bkVBRQ","Bangor City Forest","4.8","cityforest.bangorinfo.com","54 Tripp Dr, Bangor, ME 04401","null","null","https://lh5.googleusercontent.com/p/AF1QipOSrAAUIZnHQjSbrbYDeqZuWYfYnYRQAKNokIN1=w408-h306-k-no","null"
"1654891755-1533","https://www.google.com/maps/place/Cole+Land+Transportation+Museum/@44.7855512,-86.7345821,5z/data=!4m17!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cae4b0853b60f85:0x93a131560db9785f!8m2!3d44.7852852!4d-68.8048521!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhhMHB5VFRsM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Quaint gallery with many vintage cars & trucks, including farm equipment & military vehicles."
"1654891683-1526","https://www.google.com/maps/place/Moe's+Original+BBQ+Restaurant+%26+Catering+-+Bangor/@44.8133124,-68.8109528,13z/data=!4m6!1m2!2m1!1sfood+in+bangor+me!3m2!1s0x4cafb4cfa6dd8fff:0xc36fe8936415cb0c!15sChFmb29kIGluIGJhbmdvciBtZVoTIhFmb29kIGluIGJhbmdvciBtZZIBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","Moe's Original BBQ Restaurant & Catering - Bangor","4.6","toasttab.com","650 Broadway, Bangor, ME 04401","null","null","https://lh5.googleusercontent.com/p/AF1QipOoWwhXNxtp60QeaMMFwJG1Gw76A79bxnnk65tk=w408-h506-k-no","null"
"1654891745-1532","https://www.google.com/maps/place/Maine+Discovery+Museum/@44.7855512,-86.7345821,5z/data=!3m1!5s0x4cae4b44b537b1c1:0x9220f6e5388b28a8!4m16!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x4cae4b44b5bd5a7d:0xdc713994df71f9ca!8m2!3d44.8000986!4d-68.7717375!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJuTm1WWFJYcDNSUkFC","Maine Discovery Museum","4.4","mainediscoverymuseum.org","74 Main St, Bangor, ME 04401","null","null","https://lh5.googleusercontent.com/p/AF1QipOzggFiiDrE7j3vQuPPrtLr6sXfS8jjXEPnc2Lz=w408-h277-k-no","null"
"1654891734-1531","https://www.google.com/maps/place/Maine+Discovery+Museum/@44.7855512,-86.7345821,5z/data=!3m1!5s0x4cae4b44b537b1c1:0x9220f6e5388b28a8!4m17!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cae4b44b5bd5a7d:0xdc713994df71f9ca!8m2!3d44.8000986!4d-68.7717375!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJuTm1WWFJYcDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Kids get hands-on learning at this Downtown complex with interactive exhibits on science & the arts."
"1654891767-1534","https://www.google.com/maps/place/Cole+Land+Transportation+Museum/@41.9584366,-96.6284963,5z/data=!4m13!1m9!2m8!1sthings+to+do+in+bangor+me!3m6!1sthings+to+do+in+bangor+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cae4b0853b60f85:0x93a131560db9785f!15sChl0aGluZ3MgdG8gZG8gaW4gYmFuZ29yIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBiYW5nb3IgbWWSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhhMHB5VFRsM1JSQUI","Cole Land Transportation Museum","4.7","colemuseum.org","405 Perry Rd, Bangor, ME 04401","null","null","https://lh5.googleusercontent.com/p/AF1QipNgLmq4fGJPw20AXOm8csyPl94FSkBfSV4kySJ5=w408-h270-k-no","null"
