web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654892039-485","https://www.google.com/maps/place/Joshua+L.+Chamberlain+Museum/@43.8968997,-69.9777323,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+brunswick+me!3m2!1s0x4cad876b1257ee93:0xb8b8f8cc55bfafaf!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxOSFpJUzBkQkVBRQ","Joshua L. Chamberlain Museum","4.5","pejepscothistorical.org","226 Maine St, Brunswick, ME 04011","null","null","https://lh5.googleusercontent.com/p/AF1QipNLF0JfKlmuo0NLSJq-JOtC6cwueMG_2mgU8IFT=w408-h317-k-no","null"
"1654892019-483","https://www.google.com/maps/place/Bowdoin+College+Museum+of+Art/@43.910466,-70.1040257,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+brunswick+me!3m2!1s0x4cad871562152c19:0x846f2acd74118b4d!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhiMGt0ZDFKQkVBRQ","Bowdoin College Museum of Art","4.7","bowdoin.edu","245 Maine St, Brunswick, ME 04011","null","null","https://lh5.googleusercontent.com/p/AF1QipNTmTw-8tJxLOFbKcW9rs-vf4StoriCLyel29hi=w408-h306-k-no","null"
"1654891958-477","https://www.google.com/maps/place/Little+Tokyo+Restaurant/@43.9129741,-69.9840839,13z/data=!4m9!1m2!2m1!1sfood+in+brunswick+me!3m5!1s0x4cad8771d8716fe7:0xbe900ca7452e4073!8m2!3d43.9169918!4d-69.9663824!15sChRmb29kIGluIGJydW5zd2ljayBtZVoWIhRmb29kIGluIGJydW5zd2ljayBtZZIBE2phcGFuZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhhbkJMZUdGM0VBRQ","Little Tokyo Restaurant","4.5","littletokyomaine.com","72 Maine St, Brunswick, ME 04011","null","null","https://lh5.googleusercontent.com/p/AF1QipMGifxpzSvTwc07dpPCwaJy4O9EWxiq7lRU3swK=w408-h240-k-no","null"
"1654892029-484","https://www.google.com/maps/place/Joshua+L.+Chamberlain+Museum/@43.910466,-70.1040257,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+brunswick+me!3m6!1s0x4cad876b1257ee93:0xb8b8f8cc55bfafaf!8m2!3d43.910466!4d-69.96395!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxOSFpJUzBkQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Museum in the grand, restored 1820s residence of Civil War hero, college professor & governor."
"1654891988-480","https://www.google.com/maps/place/Peary-MacMillan+Arctic+Museum/@43.910466,-70.1040257,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+brunswick+me!3m6!1s0x4cad873fde21ce51:0xc5b09af68bd31aa1!8m2!3d43.9074188!4d-69.9629656!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXdiSEo1VnpOblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Free museum at Bowdoin College, with artifacts & photos from Arctic expeditions of the early 1900s."
"1654891978-479","https://www.google.com/maps/place/Skolfield-Whittier+House/@43.910466,-70.1040257,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+brunswick+me!3m5!1s0x4cad876c4e97d5e3:0x42747af09f498825!8m2!3d43.9138827!4d-69.9637149!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bQ","Skolfield-Whittier House","4.3","pejepscothistorical.org","161 Park Row, Brunswick, ME 04011","null","null","https://lh5.googleusercontent.com/p/AF1QipMvdeD3rcYSS1CDV9te1zr6GGYQueY03bqyYmRl=w408-h408-k-no","null"
"1654891998-481","https://www.google.com/maps/place/Peary-MacMillan+Arctic+Museum/@43.910466,-70.1040257,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+brunswick+me!3m5!1s0x4cad873fde21ce51:0xc5b09af68bd31aa1!8m2!3d43.9074188!4d-69.9629656!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXdiSEo1VnpOblJSQUI","Peary-MacMillan Arctic Museum","4.7","bowdoin.edu","9 Campus Rd S, Brunswick, ME 04011","null","null","https://lh5.googleusercontent.com/p/AF1QipOn20TomfHHIh5DLDTnIMB30ONnfwtxlk3_Nd4-=w408-h306-k-no","null"
"1654891968-478","https://www.google.com/maps/place/Skolfield-Whittier+House/@43.910466,-70.1040257,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+brunswick+me!3m6!1s0x4cad876c4e97d5e3:0x42747af09f498825!8m2!3d43.9138827!4d-69.9637149!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bQ","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Community history center celebrating the history of Brunswick, Topsham, & Harpswell, Maine."
"1654892009-482","https://www.google.com/maps/place/Bowdoin+College+Museum+of+Art/@43.910466,-70.1040257,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+brunswick+me!3m6!1s0x4cad871562152c19:0x846f2acd74118b4d!8m2!3d43.9082805!4d-69.9638449!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYnJ1bnN3aWNrIG1lWh4iHHRoaW5ncyB0byBkbyBpbiBicnVuc3dpY2sgbWWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhiMGt0ZDFKQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Free art museum with a comprehensive collection of works from a variety of periods & media."
"1654891948-476","https://www.google.com/maps/place/Little+Tokyo+Restaurant/@43.9169948,-70.0364332,13z/data=!4m10!1m2!2m1!1sfood+in+brunswick+me!3m6!1s0x4cad8771d8716fe7:0xbe900ca7452e4073!8m2!3d43.9169918!4d-69.9663824!10e1!15sChRmb29kIGluIGJydW5zd2ljayBtZVoWIhRmb29kIGluIGJydW5zd2ljayBtZZIBE2phcGFuZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhhbkJMZUdGM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    High chairs","null","Contemporary eatery with some tatami seating serving sushi & other Japanese fare, plus cocktails."
