web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891791-472","https://www.google.com/maps/place/The+Camden+Snow+Bowl/@44.2172685,-69.4148048,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+camden+me!3m6!1s0x4cadd9bacb0378e1:0xa3660b9f7f48b64d!8m2!3d44.2172685!4d-69.1346534!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQpza2lfcmVzb3J0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YY0haSExYZDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Recreation area with summertime mountain biking & lake kayaking, plus winter skiing & snowboarding."
"1654891771-470","https://www.google.com/maps/place/Barrett's+Cove+Public+Beach/@44.2172685,-69.4148048,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+camden+me!3m6!1s0x4cadd810f78ff9e3:0xed94406dea5d3dad!8m2!3d44.245468!4d-69.0881916!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQxwdWJsaWNfYmVhY2iaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnJjM1p0TjBaM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Modest-sized public beach with picnic facilities & a boat launch, plus views Mount Battie."
"1654891730-466","https://www.google.com/maps/place/Boynton-McKay+Food+Co./@44.2060777,-69.074129,16z/data=!4m10!1m2!2m1!1sfood+in+camden+me!3m6!1s0x4cadd70b8561d47f:0x725f2caa12e2af91!8m2!3d44.2105342!4d-69.0650002!10e1!15sChFmb29kIGluIGNhbWRlbiBtZVoTIhFmb29kIGluIGNhbWRlbiBtZZIBBWRpbmVy","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Old-school diner featuring coffee drinks & traditional American breakfast & lunch fare."
"1654891760-469","https://www.google.com/maps/place/Beech+Hill+Preserve/@44.2172685,-69.4148048,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+camden+me!3m5!1s0x4cadd0c19e11c51b:0x770a32480499b65a!8m2!3d44.1659581!4d-69.0978767!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNeTFsY2pGblJSQUI","Beech Hill Preserve","4.8","null","316 Beech Hill Rd, Rockport, ME 04856","null","null","https://lh5.googleusercontent.com/p/AF1QipO7iL006fgWVg73xLJscT_PTUVTR2g1Ks3Ozrz9=w408-h306-k-no","null"
"1654891740-467","https://www.google.com/maps/place/Boynton-McKay+Food+Co./@44.2060777,-69.074129,16z/data=!4m9!1m2!2m1!1sfood+in+camden+me!3m5!1s0x4cadd70b8561d47f:0x725f2caa12e2af91!8m2!3d44.2105342!4d-69.0650002!15sChFmb29kIGluIGNhbWRlbiBtZVoTIhFmb29kIGluIGNhbWRlbiBtZZIBBWRpbmVy","Boynton-McKay Food Co.","4.5","null","30 Main St, Camden, ME 04843","null","null","https://lh5.googleusercontent.com/p/AF1QipN-gboohKo2IKhGCqyATWJ6lof-ufgaYvrRv_Bc=w408-h306-k-no","null"
"1654891750-468","https://www.google.com/maps/place/Beech+Hill+Preserve/@44.2172685,-69.4148048,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+camden+me!3m6!1s0x4cadd0c19e11c51b:0x770a32480499b65a!8m2!3d44.1659581!4d-69.0978767!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNeTFsY2pGblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Lush conservation land featuring 295 acres of forested park with 2 trails to a hilltop summit."
"1654891781-471","https://www.google.com/maps/place/Barrett's+Cove+Public+Beach/@44.2172685,-69.4148048,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+camden+me!3m5!1s0x4cadd810f78ff9e3:0xed94406dea5d3dad!8m2!3d44.245468!4d-69.0881916!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQxwdWJsaWNfYmVhY2iaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnJjM1p0TjBaM0VBRQ","Barrett's Cove Public Beach","4.5","camdenmainevacation.com","104 Beaucaire Ave, Camden, ME 04843","null","null","https://lh5.googleusercontent.com/p/AF1QipPcTHZJ9Lp2rpy55onp9i-I9ZkzTryYlDlwS9tU=w408-h306-k-no","null"
"1654891822-475","https://www.google.com/maps/place/Camden+Hills+State+Park/@44.1739269,-69.2353392,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+camden+me!3m5!1s0x4cae78201821278b:0x808953a1978abfdb!8m2!3d44.2310537!4d-69.0482996!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YVRkeFpVdEJFQUU","Camden Hills State Park","4.7","maine.gov","280 Belfast Rd, Camden, ME 04843","null","null","https://lh5.googleusercontent.com/p/AF1QipP_dbdKjvSLBYhm4nncmE9MFEnflvj5Qj-dclnP=w426-h240-k-no","null"
"1654891811-474","https://www.google.com/maps/place/Camden+Hills+State+Park/@44.1739269,-69.2353392,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+camden+me!3m6!1s0x4cae78201821278b:0x808953a1978abfdb!8m2!3d44.2310537!4d-69.0482996!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YVRkeFpVdEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Mountainous park with a campground & trails offering vistas of Downtown Camden & Penobscot Bay."
"1654891801-473","https://www.google.com/maps/place/The+Camden+Snow+Bowl/@44.1739269,-69.2353392,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+camden+me!3m5!1s0x4cadd9bacb0378e1:0xa3660b9f7f48b64d!8m2!3d44.2172685!4d-69.1346534!15sChl0aGluZ3MgdG8gZG8gaW4gY2FtZGVuIG1lWhsiGXRoaW5ncyB0byBkbyBpbiBjYW1kZW4gbWWSAQpza2lfcmVzb3J0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YY0haSExYZDNSUkFC","The Camden Snow Bowl","4.6","camdensnowbowl.com","20 Barnestown Rd, Camden, ME 04843","null","null","https://lh5.googleusercontent.com/p/AF1QipPnUSfBbzXJlj8eyVFP-a4Jl2IV_NWIucbAMVQ=w425-h240-k-no","null"
