web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654891294-1507","https://www.google.com/maps/place/Maine+Narrow+Gauge+Railroad/@43.6318502,-70.5380986,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb29c4389434423:0x51ce47f13de64d19!8m2!3d43.6603584!4d-70.2464904!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5EZUZwbFRqSkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Coastal rides in a quaint old train, with ocean views & a conductor providing historical info."
"1654891273-1505","https://www.google.com/maps/place/Duckfat/@43.6614295,-70.2752487,15z/data=!4m10!1m2!2m1!1sfood+in+portland+me!3m6!1s0x4cb29c41b9245fb3:0x6bf6e940504b1256!8m2!3d43.6602194!4d-70.2503444!10e1!15sChNmb29kIGluIHBvcnRsYW5kIG1lWhUiE2Zvb2QgaW4gcG9ydGxhbmQgbWWSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs","null","Small European-leaning sandwich shop & cafe known for its duck-fat Belgian fries & milkshakes."
"1654891345-1512","https://www.google.com/maps/place/Portland+Observatory/@43.6318502,-70.5380986,10z/data=!4m13!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cb29c681d75c353:0x2916c7d33344a008!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWYTA5WFgwZEJFQUU","Portland Observatory","4.6","portlandlandmarks.org","138 Congress St, Portland, ME 04101","null","null","https://lh5.googleusercontent.com/p/AF1QipN03D8nbnZ5E1E05p8eX2bRXXlXF-gRy-zeoHE3=w408-h544-k-no","null"
"1654891283-1506","https://www.google.com/maps/place/Duckfat/@43.6614295,-70.2752487,15z/data=!4m6!1m2!2m1!1sfood+in+portland+me!3m2!1s0x4cb29c41b9245fb3:0x6bf6e940504b1256!15sChNmb29kIGluIHBvcnRsYW5kIG1lWhUiE2Zvb2QgaW4gcG9ydGxhbmQgbWWSAQpyZXN0YXVyYW50","Duckfat","4.6","duckfat.com","43 Middle St, Portland, ME 04101","null","null","https://lh5.googleusercontent.com/p/AF1QipPYU8S6f7ZAUjqLtlvp8n79ga6BF9lLHRlGRT_P=w426-h240-k-no","null"
"1654891355-1513","https://www.google.com/maps/place/Portland+Head+Light/@43.6318502,-70.5380986,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb29e051cbaa6f5:0xb050b9cf68d7f03f!8m2!3d43.6230726!4d-70.2078824!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1EVnhSR1ozRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Still operative 1791 lighthouse & navigation museum on rocky, scenic coastline in Ft. Williams Park."
"1654891366-1514","https://www.google.com/maps/place/Portland+Head+Light/@43.6318502,-70.5380986,10z/data=!4m13!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cb29e051cbaa6f5:0xb050b9cf68d7f03f!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1EVnhSR1ozRUFF","Portland Head Light","4.8","portlandheadlight.com","12 Captain Strout Cir, Cape Elizabeth, ME 04107","null","null","https://lh5.googleusercontent.com/p/AF1QipMHxOoA5eYDZlekugr6Cv1VFOPEPJTy6cLNny5l=w408-h306-k-no","null"
"1654891324-1510","https://www.google.com/maps/place/Portland+Museum+of+Art/@43.6318502,-70.5380986,10z/data=!4m13!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m2!1s0x4cb29c1693cb9d5b:0x27ecb4723ce215f1!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1qbHlhVU5uRUFF","Portland Museum of Art","4.6","portlandmuseum.org","7 Congress Sq, Portland, ME 04101","null","null","https://lh5.googleusercontent.com/p/AF1QipP4yInj1_KyGx28ADGqTUwzv3Ogc2dQWd8-UIwJ=w408-h306-k-no","null"
"1654891335-1511","https://www.google.com/maps/place/Portland+Observatory/@43.6318502,-70.5380986,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb29c681d75c353:0x2916c7d33344a008!8m2!3d43.6653837!4d-70.2482744!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWYTA5WFgwZEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Seasonal tours of the only remaining wooden maritime signal tower (built circa 1807) in the U.S."
"1654891314-1509","https://www.google.com/maps/place/Portland+Museum+of+Art/@43.6318502,-70.5380986,10z/data=!4m17!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m6!1s0x4cb29c1693cb9d5b:0x27ecb4723ce215f1!8m2!3d43.6537048!4d-70.2619625!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1qbHlhVU5uRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","I.M. Pei-designed museum known for its paintings by Winslow Homer, Andrew Wyeth & Edward Hopper."
"1654891304-1508","https://www.google.com/maps/place/Maine+Narrow+Gauge+Railroad/@43.6318502,-70.5380986,10z/data=!4m16!1m9!2m8!1sthings+to+do+in+portland+me!3m6!1sthings+to+do+in+portland+me!2sThe+Gerald+Ford+Presidential+Museum,+303+Pearl+St+NW,+Grand+Rapids,+MI+49504!3s0x8819add082d0910d:0xcd27014e7c94a0dd!4m2!1d-85.677254!2d42.9680155!3m5!1s0x4cb29c4389434423:0x51ce47f13de64d19!8m2!3d43.6603584!4d-70.2464904!15sCht0aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgbWVaHSIbdGhpbmdzIHRvIGRvIGluIHBvcnRsYW5kIG1lkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5EZUZwbFRqSkJSUkFC","Maine Narrow Gauge Railroad","4.5","mainenarrowgauge.org","49 Thames St, Portland, ME 04101","null","null","https://lh5.googleusercontent.com/p/AF1QipMamStVa1pF82-7rL7ZXHorDeVQGHvhIf0xJXU4=w506-h240-k-no","null"
