web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890088-385","https://www.google.com/maps/place/Ann+Arbor+Hands-On+Museum/@42.2684394,-83.8713844,11z/data=!3m1!5s0x883cae3e09c6110b:0x143a510404fc8e50!4m9!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m5!1s0x883cae3dfde15383:0x49f3f678c538e26f!8m2!3d42.2822695!4d-83.7466247!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZDI5UWVuRlJSUkFC","Ann Arbor Hands-On Museum","4.7","aahom.org","220 E Ann St, Ann Arbor, MI 48104","null","null","https://lh5.googleusercontent.com/p/AF1QipNALisD-zAm5THgrH4O6MwXcku8P96TUPwf7fWQ=w408-h301-k-no","null"
"1654889996-376","https://www.google.com/maps/place/Fleetwood+Diner/@42.2638962,-83.7715637,14z/data=!4m10!1m2!2m1!1sfood+in+ann+arbor+mi!3m6!1s0x883cae3cee47c793:0x8a5a4bbccadb5b6d!8m2!3d42.2794569!4d-83.7500201!10e1!15sChRmb29kIGluIGFubiBhcmJvciBtaVoWIhRmb29kIGluIGFubiBhcmJvciBtaZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Retro-style venue dishing American classics including its signature ""hippie hash"" 24/7."
"1654890077-384","https://www.google.com/maps/place/Ann+Arbor+Hands-On+Museum/@42.2684394,-83.8713844,11z/data=!3m1!5s0x883cae3e09c6110b:0x143a510404fc8e50!4m10!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m6!1s0x883cae3dfde15383:0x49f3f678c538e26f!8m2!3d42.2822695!4d-83.7466247!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZDI5UWVuRlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Colorful, 4-story space invites children to play & learn through 250+ science-focused exhibits."
"1654890016-378","https://www.google.com/maps/place/Kelsey+Museum+of+Archaeology/@42.2684394,-83.8713844,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m6!1s0x883cae47675c6df3:0x3cf3ae0521160085!8m2!3d42.2768181!4d-83.7411269!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlaMjk2V21SQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Small museum with entry by donation highlights ancient & medieval artifacts with tours & lectures."
"1654890067-383","https://www.google.com/maps/place/University+of+Michigan+Museum+of+Natural+History/@42.2684394,-83.8713844,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m5!1s0x883cae43bf752d87:0x3a018bacb38c7bdf!8m2!3d42.278873!4d-83.7337498!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50TUdORVpWRjNFQUU","University of Michigan Museum of Natural History","4.6","ummnh.org","1105 N University Ave, Ann Arbor, MI 48109","null","null","https://lh5.googleusercontent.com/p/AF1QipMK8dh_GmYYQRdqkxW21m-hmbl1-UkXYndaRRmf=w408-h272-k-no","null"
"1654890026-379","https://www.google.com/maps/place/Kelsey+Museum+of+Archaeology/@42.2684394,-83.8713844,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m5!1s0x883cae47675c6df3:0x3cf3ae0521160085!8m2!3d42.2768181!4d-83.7411269!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlaMjk2V21SQkVBRQ","Kelsey Museum of Archaeology","4.8","lsa.umich.edu","434 S State St, Ann Arbor, MI 48109","null","null","https://lh5.googleusercontent.com/p/AF1QipNi7epCoaDI59l6l8EowlTlMMKT6IVxW5fgcl0=w408-h306-k-no","null"
"1654890047-381","https://www.google.com/maps/place/Matthaei+Botanical+Gardens+%26+Nichols+Arboretum/@42.2684394,-83.8713844,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m5!1s0x883cabe478937947:0x98f029f1869e4017!8m2!3d42.3022338!4d-83.6632035!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YlhKbWQybG5SUkFC","Matthaei Botanical Gardens & Nichols Arboretum","4.8","mbgna.umich.edu","1800 N Dixboro Rd, Ann Arbor, MI 48105","null","null","https://lh5.googleusercontent.com/p/AF1QipMYL1r7v81dDLcblZcc3N7TFGoLAzbMU_TfapDc=w540-h240-k-no","null"
"1654890037-380","https://www.google.com/maps/place/Matthaei+Botanical+Gardens+%26+Nichols+Arboretum/@42.2684394,-83.8713844,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m6!1s0x883cabe478937947:0x98f029f1869e4017!8m2!3d42.3022338!4d-83.6632035!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YlhKbWQybG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Offering sprawling gardens, woods & prairies, plus a visitors center, gift shop & conservatory."
"1654890006-377","https://www.google.com/maps/place/Fleetwood+Diner/@42.2638962,-83.7715637,14z/data=!4m9!1m2!2m1!1sfood+in+ann+arbor+mi!3m5!1s0x883cae3cee47c793:0x8a5a4bbccadb5b6d!8m2!3d42.2794569!4d-83.7500201!15sChRmb29kIGluIGFubiBhcmJvciBtaVoWIhRmb29kIGluIGFubiBhcmJvciBtaZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Fleetwood Diner","4.3","orderfleetwooddiner.com","300 S Ashley St, Ann Arbor, MI 48104","null","null","https://lh5.googleusercontent.com/p/AF1QipNl983PONHH8bAlp2Yojv50wt7G-hpXNu4Crw-J=w408-h306-k-no","null"
"1654890057-382","https://www.google.com/maps/place/University+of+Michigan+Museum+of+Natural+History/@42.2684394,-83.8713844,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ann+arbor+mi!3m6!1s0x883cae43bf752d87:0x3a018bacb38c7bdf!8m2!3d42.278873!4d-83.7337498!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYW5uIGFyYm9yIG1pWh4iHHRoaW5ncyB0byBkbyBpbiBhbm4gYXJib3IgbWmSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50TUdORVpWRjNFQUU","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","University museum known for its exhibits on prehistoric life, popular with children."
