web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890377-1460","https://www.google.com/maps/place/Grand+Rapids+Public+Museum/@42.737188,-85.1016482,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m2!1s0x8819adda6265f7af:0x8d1472a17d7dacb5!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkR1o1U2taM0VBRQ","Grand Rapids Public Museum","4.7","grpm.org","272 Pearl St NW, Grand Rapids, MI 49504","null","null","https://lh5.googleusercontent.com/p/AF1QipP4GvQ9I74sD9gePWuE5cxmtcCUSETrg4kiITmh=w408-h408-k-no","null"
"1654890336-1456","https://www.google.com/maps/place/Grand+Rapids+Children's+Museum/@42.9795078,-86.7107178,9z/data=!3m1!5s0x8819adc6f1d056bb:0xbcd820892c2d7d5b!4m9!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m5!1s0x8819adc6e7459e13:0x110add397917bb6a!8m2!3d42.9636004!4d-85.667191!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5IWjNGZlNsWkJFQUU","Grand Rapids Children's Museum","4.6","grcm.org","11 Sheldon Ave NE, Grand Rapids, MI 49503","null","null","https://lh5.googleusercontent.com/p/AF1QipM2oZmT4OWqeR8LOtNQWGjtKipAFlnYWPnPm0SK=w408-h613-k-no","null"
"1654890315-1454","https://www.google.com/maps/place/The+Gerald+Ford+Presidential+Museum/@42.9795078,-86.7107178,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m5!1s0x8819add082d0910d:0xcd27014e7c94a0dd!8m2!3d42.9680155!4d-85.677254!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhOM1JMYjFaUkVBRQ","The Gerald Ford Presidential Museum","4.7","fordlibrarymuseum.gov","303 Pearl St NW, Grand Rapids, MI 49504","null","null","//lh4.googleusercontent.com/proxy/1eUNjVQG6-VbDiWsqsXhw3NJlpRztpEQ6O8M-DZ_OHKou74xyVyf-lAS3gXiyoosLohACS5HGZHWZenL3h0YExmg6Zm_3ayNDPWeBOyPyZIMDPSL19bxwrI6Dh8Co0kNv_PTrpUMCaIiACj9OnO7mrs_ns-rdE4=w408-h272-k-no","null"
"1654890294-1452","https://www.google.com/maps/place/Butcher's+Union/@42.9569857,-85.7344695,12z/data=!4m9!1m2!2m1!1sfood+in+grandd+raapidds+mis!3m5!1s0x8819add6c334b0bb:0x931d4981cd723735!8m2!3d42.9704738!4d-85.6805025!15sChdmb29kIGluIGdyYW5kIHJhcGlkcyBtaVoZIhdmb29kIGluIGdyYW5kIHJhcGlkcyBtaZIBCnJlc3RhdXJhbnQ","Butcher's Union","4.7","butchersuniongr.com","438 Bridge St NW, Grand Rapids, MI 49504","null","null","https://lh5.googleusercontent.com/p/AF1QipOeA5cH5oYLYsZraRWneErZxoma4LDcxEqSNhW8=w408-h306-k-no","null"
"1654890305-1453","https://www.google.com/maps/place/The+Gerald+Ford+Presidential+Museum/@42.9795078,-86.7107178,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m6!1s0x8819add082d0910d:0xcd27014e7c94a0dd!8m2!3d42.9680155!4d-85.677254!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhOM1JMYjFaUkVBRQ","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum tells Ford's life story using artifacts, interactive exhibits & a replica of the Oval Office."
"1654890325-1455","https://www.google.com/maps/place/Grand+Rapids+Children's+Museum/@42.9795078,-86.7107178,9z/data=!3m1!5s0x8819adc6f1d056bb:0xbcd820892c2d7d5b!4m10!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m6!1s0x8819adc6e7459e13:0x110add397917bb6a!8m2!3d42.9636004!4d-85.667191!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5IWjNGZlNsWkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Hands-on learning space for kids ages 2-10 features a real beehive & workshops like robot building."
"1654890284-1451","https://www.google.com/maps/place/Butcher's+Union/@42.9569857,-85.7344695,12z/data=!4m10!1m2!2m1!1sfood+in+grandd+raapidds+mis!3m6!1s0x8819add6c334b0bb:0x931d4981cd723735!8m2!3d42.9704738!4d-85.6805025!10e1!15sChdmb29kIGluIGdyYW5kIHJhcGlkcyBtaVoZIhdmb29kIGluIGdyYW5kIHJhcGlkcyBtaZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    High chairs   Restroom","null","Modern gastropub with a meat-heavy menu of globally inspired fare, 100+ whiskeys & draft beer."
"1654890356-1458","https://www.google.com/maps/place/Frederik+Meijer+Gardens+%26+Sculpture+Park/@42.9795078,-86.7107178,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m5!1s0x881853239d44fcb9:0x5ee5df4ee49fe7d5!8m2!3d42.9795078!4d-85.5901123!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZnYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhVXRNYjFGQkVBRQ","Frederik Meijer Gardens & Sculpture Park","4.8","meijergardens.org","1000 E Beltline Ave NE, Grand Rapids, MI 49525","null","null","https://lh5.googleusercontent.com/p/AF1QipPNRz4mJrlNWMtcGgLWEEVA9mJgfKMW2fJwqMKz=w408-h349-k-no","null"
"1654890346-1457","https://www.google.com/maps/place/Frederik+Meijer+Gardens+%26+Sculpture+Park/@42.965528,-86.7973205,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m6!1s0x881853239d44fcb9:0x5ee5df4ee49fe7d5!8m2!3d42.9795078!4d-85.5901123!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZnYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhVXRNYjFGQkVBRQ","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   Public restroom","null","Sprawling botanical gardens with diverse sculptures hosts indoor art exhibits & summer concerts."
"1654890366-1459","https://www.google.com/maps/place/Grand+Rapids+Public+Museum/@42.965528,-86.7973205,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+graandd+rapids+mi!3m6!1s0x8819adda6265f7af:0x8d1472a17d7dacb5!8m2!3d42.965528!4d-85.676715!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZ3JhbmQgcmFwaWRzIG1pWiEiH3RoaW5ncyB0byBkbyBpbiBncmFuZCByYXBpZHMgbWmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkR1o1U2taM0VBRQ","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Museum offers 3 floors of history in an ex-flour mill plus exhibits, a 1928 carousel & planetarium."
