web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890169-1449","https://www.google.com/maps/place/Potter+Park+Zoo/@42.7373792,-84.681063,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lansing+mi!3m6!1s0x8822c1f217c4e279:0x279c3d7afdcc781d!8m2!3d42.7178846!4d-84.5277!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSaE1sbElUMFIzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Home to 500 animals from 4 continents including endangered species, plus on-site eatery & snack bar."
"1654890115-1444","https://www.google.com/maps/place/Eli+and+Edythe+Broad+Art+Museum/@42.7373792,-84.681063,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+lansing+mi!3m2!1s0x8822e82a4f7ed4dd:0x388e3637c9c2088e!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVhMWszTjBsQkVBRQ","Eli and Edythe Broad Art Museum","4.1","broadmuseum.msu.edu","547 E Circle Dr, East Lansing, MI 48824","null","null","https://lh5.googleusercontent.com/p/AF1QipOEnydzXt33VSllG2UuKv0fpl_CeB9LN7uim8Uz=w425-h240-k-no","null"
"1654890180-1450","https://www.google.com/maps/place/Potter+Park+Zoo/@42.7373792,-84.681063,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+lansing+mi!3m2!1s0x8822c1f217c4e279:0x279c3d7afdcc781d!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSaE1sbElUMFIzRUFF","Potter Park Zoo","4.5","potterparkzoo.org","1301 S Pennsylvania Ave, Lansing, MI 48912","null","null","https://lh5.googleusercontent.com/p/AF1QipO4QO9mpiEKrs4bpcMhyT_pmfFgE0vdefzKITbY=w426-h240-k-no","null"
"1654890125-1445","https://www.google.com/maps/place/R.E.+Olds+Transportation+Museum/@42.7373792,-84.681063,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lansing+mi!3m6!1s0x8822c1ded732b479:0x7000d9372a9fcd1c!8m2!3d42.7311864!4d-84.5477728!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhkM1pRUlhkUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Museum with vehicles from as early as 1886 plus bicycles, tractors & other forms of transportation."
"1654890104-1443","https://www.google.com/maps/place/Eli+and+Edythe+Broad+Art+Museum/@42.7373792,-84.681063,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lansing+mi!3m6!1s0x8822e82a4f7ed4dd:0x388e3637c9c2088e!8m2!3d42.7327525!4d-84.4766506!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVhMWszTjBsQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Contemporary art exhibits featuring international works against a backdrop of striking architecture."
"1654890084-1441","https://www.google.com/maps/place/Acapulco+Mexican+Grill+Lansing/@42.7306957,-84.6099601,13z/data=!4m10!1m2!2m1!1sfood+in+lansin+mi!3m6!1s0x8822e9e3ee9fd6ad:0xe9cac4e1a7113425!8m2!3d42.7364438!4d-84.5068639!10e1!15sChFmb29kIGluIGxhbnNpbiBtaVoTIhFmb29kIGluIGxhbnNpbiBtaZIBEm1leGljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWVqbDZjbXBuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Familiar Mexican dishes are given typical American makeovers at this relaxed & colorful restaurant."
"1654890094-1442","https://www.google.com/maps/place/Acapulco+Mexican+Grill+Lansing/@42.7306957,-84.6099601,13z/data=!4m6!1m2!2m1!1sfood+in+lansin+mi!3m2!1s0x8822e9e3ee9fd6ad:0xe9cac4e1a7113425!15sChFmb29kIGluIGxhbnNpbiBtaVoTIhFmb29kIGluIGxhbnNpbiBtaZIBEm1leGljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWVqbDZjbXBuUlJBQg","Acapulco Mexican Grill Lansing","4.5","acapulcomexgrill.com","300 N Clippert St #17, Lansing, MI 48912","null","null","https://lh5.googleusercontent.com/p/AF1QipP95SxzO3Cx-KFVuJAPfnibCPSWuenFr34R-Yxk=w426-h240-k-no","null"
"1654890146-1447","https://www.google.com/maps/place/Impression+5+Science+Center/@42.7373792,-84.681063,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lansing+mi!3m6!1s0x8822c1d8cd3ec137:0x5a049bef6b6d761b!8m2!3d42.7325321!4d-84.5481078!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhlVjh0VUdoM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Long-running science center offers hands-on exhibits & more than 150+ educational play activities."
"1654890135-1446","https://www.google.com/maps/place/R.E.+Olds+Transportation+Museum/@42.7373792,-84.681063,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+lansing+mi!3m2!1s0x8822c1ded732b479:0x7000d9372a9fcd1c!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhkM1pRUlhkUlJSQUI","R.E. Olds Transportation Museum","4.7","reoldsmuseum.org","240 Museum Dr, Lansing, MI 48933","null","null","https://lh5.googleusercontent.com/p/AF1QipNzT1FPP8qvqWVk3NV4qVICv9hNAI3zoZvLFURW=w408-h306-k-no","null"
"1654890159-1448","https://www.google.com/maps/place/Impression+5+Science+Center/@42.7373792,-84.681063,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+lansing+mi!3m2!1s0x8822c1d8cd3ec137:0x5a049bef6b6d761b!15sChp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaVocIhp0aGluZ3MgdG8gZG8gaW4gbGFuc2luZyBtaZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhlVjh0VUdoM1JSQUI","Impression 5 Science Center","4.7","impression5.org","200 Museum Dr, Lansing, MI 48933","null","null","https://lh5.googleusercontent.com/p/AF1QipOSwmBZbTes7SyfyA1FIHLFqzE82HMbqWSO1Kyq=w408-h271-k-no","null"
