web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654890229-393","https://www.google.com/maps/place/Great+Lakes+Children's+Museum/@44.8481492,-86.1569714,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m5!1s0x881e2d0cb3cf5127:0xa1f98054728b3ea6!8m2!3d44.7860847!4d-85.6382225!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhiV1ZFU25KM1JSQUI","Great Lakes Children's Museum","3.9","greatlakeskids.org","13240 S W Bay Shore Dr, Traverse City, MI 49684","null","null","https://lh5.googleusercontent.com/p/AF1QipNqguk_xPxbQL33ZrRYQGABh2gt3EN7xfjcA_1-=w408-h306-k-no","null"
"1654890209-391","https://www.google.com/maps/place/Pirate's+Cove+Adventure+Park/@44.8481492,-86.1569714,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m5!1s0x881fcd95974ebda7:0x47aea4ff777fed5a!8m2!3d44.7451249!4d-85.5420085!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBEGFtdXNlbWVudF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhObUZMVVZsM0VBRQ","Pirate's Cove Adventure Park","4.6","piratescove.net","1710 US-31 North, Traverse City, MI 49686","null","null","https://lh5.googleusercontent.com/p/AF1QipPwkOEilct-1Z5-IPhEKpVnk7SNJY8rkoNfNbT5=w408-h271-k-no","null"
"1654890199-390","https://www.google.com/maps/place/Pirate's+Cove+Adventure+Park/@44.8481492,-86.1569714,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m6!1s0x881fcd95974ebda7:0x47aea4ff777fed5a!8m2!3d44.7451249!4d-85.5420085!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBEGFtdXNlbWVudF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhObUZMVVZsM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Two 18-hole mini-golf courses featuring pirate-themed challenges, plus a zipline & water rides."
"1654890240-394","https://www.google.com/maps/place/Clinch+Park/@44.8481492,-86.1569714,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m6!1s0x881e32a08ccf89bf:0xbc5f7fb768ea802e!8m2!3d44.7657814!4d-85.621521!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkJaell6VjBSbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Beach on West Grand Traverse Bay featuring picnic tables, restrooms & seasonal lifeguards."
"1654890168-387","https://www.google.com/maps/place/Grand+Traverse+Pie+Company/@44.7638802,-85.6669326,14z/data=!4m8!1m2!2m1!1sfood+in+traverse+city+mi!3m4!1s0x881e329cea6f0a61:0x3d44ca9e07665b80!8m2!3d44.7638802!4d-85.6319137","Grand Traverse Pie Company","4.7","gtpie.com","525 W Front St, Traverse City, MI 49684","null","null","https://lh5.googleusercontent.com/p/AF1QipNrVrTH5oKYi6fpHROIoxLN1zcpeBmcKuQi4fTu=w408-h271-k-no","null"
"1654890219-392","https://www.google.com/maps/place/Great+Lakes+Children's+Museum/@44.8481492,-86.1569714,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m6!1s0x881e2d0cb3cf5127:0xa1f98054728b3ea6!8m2!3d44.7860847!4d-85.6382225!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhiV1ZFU25KM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Little ones learn about the Great Lakes & more from hands-on activities, including a water table."
"1654890179-388","https://www.google.com/maps/place/City+Opera+House/@44.8481492,-86.1569714,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m6!1s0x881e329f7ae4088f:0x9ad68e82c2357de!8m2!3d44.763857!4d-85.623278!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBC29wZXJhX2hvdXNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5KTW1OVVJYWm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","This Victorian theater is now a 700-seat venue for plays, concerts & films, plus private events."
"1654890158-386","https://www.google.com/maps/place/Grand+Traverse+Pie+Company/@44.7638802,-85.6669326,14z/data=!4m9!1m2!2m1!1sfood+in+traverse+city+mi!3m5!1s0x881e329cea6f0a61:0x3d44ca9e07665b80!8m2!3d44.7638802!4d-85.6319137!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Local chain outlet serving sweet & savory pies, plus classic cafe fare, in cozy surrounds."
"1654890189-389","https://www.google.com/maps/place/City+Opera+House/@44.8481492,-86.1569714,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m5!1s0x881e329f7ae4088f:0x9ad68e82c2357de!8m2!3d44.763857!4d-85.623278!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBC29wZXJhX2hvdXNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5KTW1OVVJYWm5SUkFC","City Opera House","4.6","cityoperahouse.org","106 E Front St, Traverse City, MI 49684","null","null","https://lh5.googleusercontent.com/p/AF1QipPDowicpTapjXnIzlQwYAhIUxKzpUHohIn46ZzJ=w408-h306-k-no","null"
"1654890250-395","https://www.google.com/maps/place/Clinch+Park/@44.8481492,-86.1569714,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+traverse+city+mi!3m5!1s0x881e32a08ccf89bf:0xbc5f7fb768ea802e!8m2!3d44.7657814!4d-85.621521!15sCiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaVoiIiB0aGluZ3MgdG8gZG8gaW4gdHJhdmVyc2UgY2l0eSBtaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkJaell6VjBSbkVBRQ","Clinch Park","4.6","michigan.org","111 E Grandview Pkwy, Traverse City, MI 49684","null","null","https://lh5.googleusercontent.com/p/AF1QipPtxy0fHQnBdchR1ZS7jSU5oQ9krJixc_rQK7Ib=w408-h306-k-no","null"
