web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889775-1424","https://www.google.com/maps/place/Aerial+Lift+Bridge/@46.7859387,-92.4041164,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+duluth+mn!3m2!1s0x52ae52ec55a6c0ad:0xb7092797d58f931e!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQZicmlkZ2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhjWFIxVkZoQkVBRQ","Aerial Lift Bridge","4.8","dot.state.mn.us","601 S Lake Ave, Duluth, MN 55802","null","null","https://lh5.googleusercontent.com/p/AF1QipMR25ROy0o7CyaPTI2xb-WI0MyobyV98d4O_H4L=w408-h306-k-no","null"
"1654889744-1421","https://www.google.com/maps/place/Duluth+Grill/@46.7606683,-92.2000358,13z/data=!4m10!1m2!2m1!1sfood+in+duluth+mn!3m6!1s0x52ae4d9be0c03c2d:0x5f1e0456fbaac627!8m2!3d46.7606683!4d-92.129998!10e1!15sChFmb29kIGluIGR1bHV0aCBtbloTIhFmb29kIGluIGR1bHV0aCBtbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual, enduring eatery providing locally sourced comfort food & an extensive breakfast menu."
"1654889837-1430","https://www.google.com/maps/place/Lake+Superior+Railroad+Museum/@46.7859387,-92.4041164,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+duluth+mn!3m5!1s0x52ae52912b255663:0xe352f357a10fffa6!8m2!3d46.7809816!4d-92.1040301!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQtyYWlsX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE16WnRTRTVuRUFF","Lake Superior Railroad Museum","4.6","lsrm.org","506 W Michigan St, Duluth, MN 55802","null","null","https://lh5.googleusercontent.com/p/AF1QipMVDAGuiyMJ62ALHBcwaZaU9vZd-selc8BGugU=w408-h252-k-no","null"
"1654889816-1428","https://www.google.com/maps/place/Leif+Erikson+Park/@46.7859387,-92.4041164,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+duluth+mn!3m2!1s0x52ae52d74de4e78b:0x3d9fedd0e3b6104!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TjNWNk4waEJFQUU","Leif Erikson Park","4.7","duluthmn.gov","1301 London Rd, Duluth, MN 55805","null","null","https://lh5.googleusercontent.com/p/AF1QipNU8I2uU2kdF7WQPvA8fJQ5qGgGJOeoWvad5CIg=w408-h544-k-no","null"
"1654889826-1429","https://www.google.com/maps/place/Lake+Superior+Railroad+Museum/@46.7859387,-92.4041164,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+duluth+mn!3m6!1s0x52ae52912b255663:0xe352f357a10fffa6!8m2!3d46.7809816!4d-92.1040301!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQtyYWlsX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE16WnRTRTVuRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Exhibits of historic railcars & equipment in a former depot, plus excursions & regional history."
"1654889754-1422","https://www.google.com/maps/place/Duluth+Grill/@46.7894201,-92.1482852,13z/data=!4m9!1m2!2m1!1sfood+in+duluth+mn!3m5!1s0x52ae4d9be0c03c2d:0x5f1e0456fbaac627!8m2!3d46.7606683!4d-92.129998!15sChFmb29kIGluIGR1bHV0aCBtbloTIhFmb29kIGluIGR1bHV0aCBtbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Duluth Grill","4.7","duluthgrill.com","118 S 27th Ave W, Duluth, MN 55806","null","null","https://lh5.googleusercontent.com/p/AF1QipMKHd2jaD8-OCqohz-42pslYyc_u2oIW2XS7pMx=w408-h306-k-no","null"
"1654889796-1426","https://www.google.com/maps/place/Glensheen+Mansion/@46.7859387,-92.4041164,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+duluth+mn!3m2!1s0x52afacb0ac350179:0x243e5759a7818a57!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhhR1kyTWxaUkVBRQ","Glensheen Mansion","4.7","glensheen.org","3300 London Rd, Duluth, MN 55804","null","null","https://lh5.googleusercontent.com/p/AF1QipOQ7zmld4R6XBOjr0fVb1versgF6tf5VFabDvKL=w408-h272-k-no","null"
"1654889806-1427","https://www.google.com/maps/place/Leif+Erikson+Park/@46.7859387,-92.4041164,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+duluth+mn!3m6!1s0x52ae52d74de4e78b:0x3d9fedd0e3b6104!8m2!3d46.7960171!4d-92.0829666!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TjNWNk4waEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular park along the Lakewalk featuring a small stage for events, a rose garden & water views."
"1654889785-1425","https://www.google.com/maps/place/Glensheen+Mansion/@46.7859387,-92.4041164,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+duluth+mn!3m6!1s0x52afacb0ac350179:0x243e5759a7818a57!8m2!3d46.815161!4d-92.051791!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhhR1kyTWxaUkVBRQ","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair rental","Amenities    Good for kids   Restaurant","null","Tours of a historic 39-room mansion with its original furnishings intact, plus extensive grounds."
"1654889765-1423","https://www.google.com/maps/place/Aerial+Lift+Bridge/@46.7859387,-92.4041164,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+duluth+mn!3m6!1s0x52ae52ec55a6c0ad:0xb7092797d58f931e!8m2!3d46.7790114!4d-92.09292!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVsdXRoIG1uWhsiGXRoaW5ncyB0byBkbyBpbiBkdWx1dGggbW6SAQZicmlkZ2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhjWFIxVkZoQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Landmark 1905 steel bridge whose deck can be lifted 135 ft. to allow for the passage of large ships."
