web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889889-373","https://www.google.com/maps/place/Taft+Park/@44.8727344,-93.6056491,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+richfield+mn!3m5!1s0x87f628a500dc0615:0x12350ff4de250960!8m2!3d44.8903086!4d-93.2501913!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMTUhSRVlXMW5SUkFC","Taft Park","4.4","dnr.state.mn.us","6105 Bloomington Ave S, Richfield, MN 55423","null","null","https://lh5.googleusercontent.com/p/AF1QipMAdiSAQ9LwN0muGm49nwqtTyFZfE1FJfFCt3Wf=w408-h240-k-no-pi-0-ya0-ro-0-fo100","null"
"1654889817-366","https://www.google.com/maps/place/Andale+Taqueria/@44.8753402,-93.3000498,14z/data=!4m10!1m2!2m1!1sfood+in+richfield+mn!3m6!1s0x87f625c1e12d61b7:0x21e2cd360c1f87c9!8m2!3d44.863382!4d-93.2787239!10e1!15sChRmb29kIGluIHJpY2hmaWVsZCBtbloWIhRmb29kIGluIHJpY2hmaWVsZCBtbpIBEm1leGljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Tacos, burritos & other Mexican standards are featured at this informal counter-serve establishment."
"1654889899-374","https://www.google.com/maps/place/Wood+Lake+Nature+Center/@44.8727344,-93.6056491,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+richfield+mn!3m6!1s0x87f625d60c61b851:0xf387397ce85473cb!8m2!3d44.8811209!4d-93.2899754!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjViUzFtVmpsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Nature center with various habitats offering wildlife viewing from trails & a floating boardwalk."
"1654889878-372","https://www.google.com/maps/place/Taft+Park/@44.8727344,-93.6056491,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+richfield+mn!3m6!1s0x87f628a500dc0615:0x12350ff4de250960!8m2!3d44.8903086!4d-93.2501913!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMTUhSRVlXMW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","City park offering athletic fields, a walking trail, play equipment, a fishing pier & a hockey rink."
"1654889909-375","https://www.google.com/maps/place/Wood+Lake+Nature+Center/@44.8727344,-93.6056491,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+richfield+mn!3m5!1s0x87f625d60c61b851:0xf387397ce85473cb!8m2!3d44.8811209!4d-93.2899754!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjViUzFtVmpsblJSQUI","Wood Lake Nature Center","4.7","woodlakenaturecenter.org","6710 Lake Shore Dr S, Richfield, MN 55423","null","null","https://lh5.googleusercontent.com/p/AF1QipOUkfEVAYIYJGSY8Dng4p73d-Fy0atgEhLUa-lj=w426-h240-k-no","null"
"1654889848-369","https://www.google.com/maps/place/Veterans+Park/@44.8727344,-93.6056491,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+richfield+mn!3m5!1s0x87f62604a1ccb3b9:0x837799448348bca3!8m2!3d44.888336!4d-93.2659851!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoZG5FemVYQlJSUkFC","Veterans Park","4.6","ci.richfield.mn.us","6335 Portland Ave, Richfield, MN 55423","null","null","https://lh5.googleusercontent.com/p/AF1QipP4UfoKk-6RPlxQzv1mpuRuYRWNpRw-oPzwSroD=w408-h271-k-no","null"
"1654889858-370","https://www.google.com/maps/place/Nickelodeon+Universe/@44.8727344,-93.6056491,10z/data=!3m1!5s0x87f62f6c391abe2b:0xc67197b91cc6e394!4m10!1m2!2m1!1sthings+to+do+in+richfield+mn!3m6!1s0x87f624366fd51ad9:0xe2c5bc99e5482bb5!8m2!3d44.8547397!4d-93.2420255!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQp0aGVtZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TkMxWWJVbEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Store in the Mall of America's Nickelodeon theme park, featuring items from the TV station's shows."
"1654889828-367","https://www.google.com/maps/place/Andale+Taqueria/@44.8753402,-93.3000498,14z/data=!4m9!1m2!2m1!1sfood+in+richfield+mn!3m5!1s0x87f625c1e12d61b7:0x21e2cd360c1f87c9!8m2!3d44.863382!4d-93.2787239!15sChRmb29kIGluIHJpY2hmaWVsZCBtbloWIhRmb29kIGluIHJpY2hmaWVsZCBtbpIBEm1leGljYW5fcmVzdGF1cmFudA","Andale Taqueria","4.4","andaletaqueriaymercado.com","7700 Nicollet Ave, Richfield, MN 55423","null","null","https://lh5.googleusercontent.com/p/AF1QipNIOtW07B2YgapVxvWaaxSJEXcaezivcmRvK9t4=w426-h240-k-no","null"
"1654889838-368","https://www.google.com/maps/place/Veterans+Park/@44.8727344,-93.6056491,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+richfield+mn!3m6!1s0x87f62604a1ccb3b9:0x837799448348bca3!8m2!3d44.888336!4d-93.2659851!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoZG5FemVYQlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular lakefront park featuring an outdoor pool, ice arena, mini-golf course & community events."
"1654889868-371","https://www.google.com/maps/place/Nickelodeon+Universe/@44.8727344,-93.6056491,10z/data=!3m1!5s0x87f62f6c391abe2b:0xc67197b91cc6e394!4m9!1m2!2m1!1sthings+to+do+in+richfield+mn!3m5!1s0x87f624366fd51ad9:0xe2c5bc99e5482bb5!8m2!3d44.8547397!4d-93.2420255!15sChx0aGluZ3MgdG8gZG8gaW4gcmljaGZpZWxkIG1uWh4iHHRoaW5ncyB0byBkbyBpbiByaWNoZmllbGQgbW6SAQp0aGVtZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TkMxWWJVbEJFQUU","Nickelodeon Universe","4.5","nickelodeonuniverse.com","5000 Center Ct, Bloomington, MN 55425","null","null","https://lh5.googleusercontent.com/p/AF1QipNPZ6bntCq-0tm8tuAQNx0kbUSZD6jpX_JTz8nU=w408-h306-k-no","null"
