web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889645-1419","https://www.google.com/maps/place/Como+Park+Zoo+%26+Conservatory/@44.9421325,-93.2775184,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m6!1s0x52b32b10dbc7cde5:0x45abc97da82f5f5a!8m2!3d44.9829878!4d-93.1541126!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWRuRnVWVXgzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Scenic zoo & conservatory housing various animals plus gardens & kid-friendly attractions."
"1654889635-1418","https://www.google.com/maps/place/Minnesota+History+Center/@44.9421325,-93.2775184,11z/data=!3m1!5s0x87f62aae3a09e57f:0xee9aedbddbc48257!4m9!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m5!1s0x87f62aae2e6be037:0xb2e096229c703e25!8m2!3d44.9493041!4d-93.10467!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YTI4eU9HVjNFQUU","Minnesota History Center","4.7","mnhs.org","345 W Kellogg Blvd, St Paul, MN 55102","null","null","https://lh5.googleusercontent.com/p/AF1QipN_MMEbrbY59MdBT1GRLD2xV9703glS2zVafXvP=w426-h240-k-no","null"
"1654889593-1414","https://www.google.com/maps/place/Landmark+Center/@44.9421325,-93.2775184,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m2!1s0x87f7d54cbee12d45:0x823255822e4bb2a6!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhNemRsT0RaUlJSQUI","Landmark Center","4.7","landmarkcenter.org","75 W 5th St, St Paul, MN 55102","null","null","https://lh5.googleusercontent.com/p/AF1QipM408uNK0GHlnLypeLQw-NFLU5rKwrx2SKUnDZA=w408-h328-k-no","null"
"1654889583-1413","https://www.google.com/maps/place/Landmark+Center/@44.9421325,-93.2775184,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m6!1s0x87f7d54cbee12d45:0x823255822e4bb2a6!8m2!3d44.9459607!4d-93.0971383!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhNemRsT0RaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Completed in 1902, this ornate former government building now houses art & history exhibits."
"1654889614-1416","https://www.google.com/maps/place/Wabasha+Street+Caves/@44.9421325,-93.2775184,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m2!1s0x87f7d539ef4c4335:0x765a8688befb11d1!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOamF6aFhNbUZSRUFF","Wabasha Street Caves","4.5","wabashacaves.com","215 Wabasha St S, St Paul, MN 55107","null","null","https://lh5.googleusercontent.com/p/AF1QipNY1sPeSnhK1-a2Pt1ahpiFoo6Jogn-phfX4UHu=w408-h306-k-no","null"
"1654889655-1420","https://www.google.com/maps/place/Como+Park+Zoo+%26+Conservatory/@44.9421325,-93.2775184,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m5!1s0x52b32b10dbc7cde5:0x45abc97da82f5f5a!8m2!3d44.9829878!4d-93.1541126!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWRuRnVWVXgzRUFF","Como Park Zoo & Conservatory","4.6","comozooconservatory.org","1225 Estabrook Dr, St Paul, MN 55103","null","null","https://lh5.googleusercontent.com/p/AF1QipNV_n7gmr4DLwPqkbfKeYeWocAqIW6ttSLPZK28=w408-h544-k-no","null"
"1654889563-1411","https://www.google.com/maps/place/Davanni's+Pizza+%26+Hot+Hoagies/@44.9399906,-93.2575576,13z/data=!4m9!1m2!2m1!1sfood+in+st+paul+mn!3m5!1s0x87f629f27095263f:0xf43044d345c3f08e!8m2!3d44.9399976!4d-93.1875232!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Regional chain with a long menu of pizzas, hoagies & more, ordered at the counter or for delivery."
"1654889624-1417","https://www.google.com/maps/place/Minnesota+History+Center/@44.9421325,-93.2775184,11z/data=!3m1!5s0x87f62aae3a09e57f:0xee9aedbddbc48257!4m10!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m6!1s0x87f62aae2e6be037:0xb2e096229c703e25!8m2!3d44.9493041!4d-93.10467!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YTI4eU9HVjNFQUU","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Music recordings, a simulated tornado & other interactive exhibits featured at state history museum."
"1654889604-1415","https://www.google.com/maps/place/Wabasha+Street+Caves/@44.9421325,-93.2775184,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+paul+mn!3m6!1s0x87f7d539ef4c4335:0x765a8688befb11d1!8m2!3d44.9357781!4d-93.086942!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtblocIhp0aGluZ3MgdG8gZG8gaW4gc3QgcGF1bCBtbpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOamF6aFhNbUZSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Banquet, convention & event space set in a sprawling, subterranean cave network, with guided tours."
"1654889573-1412","https://www.google.com/maps/place/Davanni's+Pizza+%26+Hot+Hoagies/@44.9467597,-93.1654496,13z/data=!4m8!1m2!2m1!1sfood+in+st+paul+mn!3m4!1s0x87f629f27095263f:0xf43044d345c3f08e!8m2!3d44.9399976!4d-93.1875232","Davanni's Pizza & Hot Hoagies","4.4","davannis.com","41 Cleveland Ave S, St Paul, MN 55105","null","null","https://lh5.googleusercontent.com/p/AF1QipObcimhVrZl9eKY_u_L5XWg9vdZGKJTZCsm_Yl6=w408-h256-k-no","null"
