web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888489-317","https://www.google.com/maps/place/Shelter+Gardens/@38.6235596,-91.3884735,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m5!1s0x87dcb61bb9d9390f:0xca2634509abf1233!8m2!3d38.9565118!4d-92.3681491!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEQYm90YW5pY2FsX2dhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGJqZFRPVzVCUlJBQg","Shelter Gardens","4.8","shelterinsurance.com","1817 W Broadway, Columbia, MO 65218","null","null","https://lh5.googleusercontent.com/p/AF1QipOFbuMJ6tHud4WHuLovvjotJcQ11GIblnTallj2=w408-h725-k-no","null"
"1654888469-315","https://www.google.com/maps/place/Rock+Bridge+Memorial+State+Park/@38.9565118,-94.60936,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m5!1s0x87dcb0981ca2c179:0x1abbf27a1d9f3e8e!8m2!3d38.8710185!4d-92.3151548!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEKc3RhdGVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGVpMUlObWxCUlJBQg","Rock Bridge Memorial State Park","4.8","mostateparks.com","5901 South Highway 163, Columbia, MO 65203","null","null","https://lh5.googleusercontent.com/p/AF1QipP5DUmauBUTCvRTnIS8kAOmHYmgJSGGxM5EiUX0=w408-h306-k-no","null"
"1654888418-310","https://www.google.com/maps/place/Grindstone+Nature+Area/@38.9565118,-94.60936,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m6!1s0x87dcb79c45525a99:0x3ab328a36d37d634!8m2!3d38.926064!4d-92.3117366!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONU0zWjZXbUZCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","199-acre park featuring nature trails & scenic overlooks, plus picnicking & a leash-free dog area."
"1654888398-308","https://www.google.com/maps/place/Cheddar's+Scratch+Kitchen/@38.9644476,-92.4241892,13z/data=!4m10!1m2!2m1!1sfood+in+columbia+mo!3m6!1s0x87dcc9d87d3f4cef:0xe2f29c1df5062023!8m2!3d38.9644476!4d-92.3541514!10e1!15sChNmb29kIGluIGNvbHVtYmlhIG1vWhUiE2Zvb2QgaW4gY29sdW1iaWEgbW-SASJ0cmFkaXRpb25hbF91c19hbWVyaWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5TTNBemEyRlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Family-friendly chain serving American comfort food with a Texas twist, plus cocktails."
"1654888459-314","https://www.google.com/maps/place/Rock+Bridge+Memorial+State+Park/@38.9565118,-94.60936,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m6!1s0x87dcb0981ca2c179:0x1abbf27a1d9f3e8e!8m2!3d38.8710185!4d-92.3151548!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEKc3RhdGVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGVpMUlObWxCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Popular for its hiking & biking trails, this park boasts a large cave system & a rock bridge."
"1654888449-313","https://www.google.com/maps/place/Stephens+Lake+Park/@38.9565118,-94.60936,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m5!1s0x87dcb7f692365743:0xa90920e4da55de6c!8m2!3d38.9508524!4d-92.3057872!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZVV4cU5YSm5SUkFC","Stephens Lake Park","4.7","como.gov","2001 E Broadway, Columbia, MO 65201","null","null","https://lh5.googleusercontent.com/p/AF1QipO_g1NWWDgV-fgoOrl78lxB7RKdlC4u9VghVFKG=w408-h306-k-no","null"
"1654888479-316","https://www.google.com/maps/place/Shelter+Gardens/@38.9565118,-94.60936,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m6!1s0x87dcb61bb9d9390f:0xca2634509abf1233!8m2!3d38.9565118!4d-92.3681491!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEQYm90YW5pY2FsX2dhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGJqZFRPVzVCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","5-acre botanic garden with a veterans' memorial, seating & a sensory plot for the visually impaired."
"1654888408-309","https://www.google.com/maps/place/Cheddar's+Scratch+Kitchen/@38.941161,-92.3623516,13z/data=!4m9!1m2!2m1!1sfood+in+columbia+mo!3m5!1s0x87dcc9d87d3f4cef:0xe2f29c1df5062023!8m2!3d38.9644476!4d-92.3541514!15sChNmb29kIGluIGNvbHVtYmlhIG1vWhUiE2Zvb2QgaW4gY29sdW1iaWEgbW-SASJ0cmFkaXRpb25hbF91c19hbWVyaWNhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5TTNBemEyRlJFQUU","Cheddar's Scratch Kitchen","4.2","cheddars.com","1010 Interstate 70 Dr SW, Columbia, MO 65203","null","null","https://lh5.googleusercontent.com/p/AF1QipM_o59TXkr4fsDoN3iLqu5FDU1oKgZnkauScrhb=w408-h336-k-no","null"
"1654888438-312","https://www.google.com/maps/place/Stephens+Lake+Park/@38.9565118,-94.60936,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m6!1s0x87dcb7f692365743:0xa90920e4da55de6c!8m2!3d38.9508524!4d-92.3057872!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZVV4cU5YSm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Big park with a lakefront boardwalk & several picnic shelters, plus trails, playgrounds & free WiFi."
"1654888428-311","https://www.google.com/maps/place/Grindstone+Nature+Area/@38.9565118,-94.60936,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+missouri!3m5!1s0x87dcb79c45525a99:0x3ab328a36d37d634!8m2!3d38.926064!4d-92.3117366!15sCiF0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgbWlzc291cmlaIyIhdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIG1pc3NvdXJpkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONU0zWjZXbUZCRUFF","Grindstone Nature Area","4.7","gocolumbiamo.com","2011 Old 63 S, Columbia, MO 65201","null","null","https://lh5.googleusercontent.com/p/AF1QipPKyLwCT0xnG3ta-WC4kAQmi0FzWwPq2LZWwRic=w408-h306-k-no","null"
