web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654887829-295","https://www.google.com/maps/place/National+Frontier+Trails+Museum/@39.0914242,-94.7253875,10.23z/data=!4m9!1m2!2m1!1sthings+to+do+in+independence+missouri!3m5!1s0x87c0fd3f34344db7:0xcdb4d04f6940699d!8m2!3d39.086769!4d-94.419427!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFFdFVTVVJCRUFF","National Frontier Trails Museum","4.5","frontiertrailsmuseum.org","318 W Pacific Ave, Independence, MO 64050","null","null","https://lh5.googleusercontent.com/p/AF1QipPCxOeq0xAnXlJpDr0uQ7uszBsSuU0pk-TiiKkH=w408-h306-k-no","null"
"1654887799-292","https://www.google.com/maps/place/Harry+S+Truman+National+Historic+Site/@39.0914242,-94.7253875,10.23z/data=!4m10!1m2!2m1!1sthings+to+do+in+independence+missouri!3m6!1s0x87c0e70953fdd2a1:0x8a4615cefef48c06!8m2!3d39.0937114!4d-94.4233881!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYVV0VFVuTlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Former home of U.S. president Harry Truman, with personal artifacts, furniture & photographs."
"1654887809-293","https://www.google.com/maps/place/Harry+S+Truman+National+Historic+Site/@39.0914242,-94.7253875,10.23z/data=!4m6!1m2!2m1!1sthings+to+do+in+independence+missouri!3m2!1s0x87c0e70953fdd2a1:0x8a4615cefef48c06!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYVV0VFVuTlJSUkFC","Harry S Truman National Historic Site","4.7","nps.gov","223 N Main St, Independence, MO 64050","null","null","https://lh5.googleusercontent.com/p/AF1QipODakotgmlYZlBjjsLumXsXOJsKtRJge6xD9k5q=w408-h306-k-no","null"
"1654887840-296","https://www.google.com/maps/place/Vaile+Mansion/@39.0914242,-94.7253875,10.23z/data=!4m10!1m2!2m1!1sthings+to+do+in+independence+missouri!3m6!1s0x87c0fd74a294bbcd:0xebdf7b97ede9b1ef!8m2!3d39.1075972!4d-94.4171222!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBkVTlNVWxCQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum in an ornate 31-room Victorian home, built in 1881, with historic furnishings."
"1654887768-289","https://www.google.com/maps/place/Thai+Spice/@39.0654108,-94.4407298,13z/data=!4m9!1m2!2m1!1sfood+in+independence+mo!3m5!1s0x87c11cffcf35afed:0x3fdb526e48353b49!8m2!3d39.0337017!4d-94.3554648!15sChdmb29kIGluIGluZGVwZW5kZW5jZSBtb1oZIhdmb29kIGluIGluZGVwZW5kZW5jZSBtb5IBD3RoYWlfcmVzdGF1cmFudA","Thai Spice","4.4","thaispicemk.com","18931 E Valley View Pkwy ste d, Independence, MO 64055","null","null","https://lh5.googleusercontent.com/p/AF1QipMPcid4cyrZztUmTuQ49CWPFxRAiDopcHntFM2m=w408-h306-k-no","null"
"1654887758-288","https://www.google.com/maps/place/Thai+Spice/@39.0654108,-94.4407298,13z/data=!4m10!1m2!2m1!1sfood+in+independence+mo!3m6!1s0x87c11cffcf35afed:0x3fdb526e48353b49!8m2!3d39.0337017!4d-94.3554648!10e1!15sChdmb29kIGluIGluZGVwZW5kZW5jZSBtb1oZIhdmb29kIGluIGluZGVwZW5kZW5jZSBtb5IBD3RoYWlfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Unassuming strip-mall kitchen offering Thai curries, noodle dishes & weekday lunch specials."
"1654887789-291","https://www.google.com/maps/place/1859+Jail+Museum/@39.0914242,-94.7253875,10.23z/data=!4m9!1m2!2m1!1sthings+to+do+in+independence+missouri!3m5!1s0x87c0fd6a5bf13721:0xc9d3731e9a3db972!8m2!3d39.093417!4d-94.4155137!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNRnBVTVhWUlJSQUI","1859 Jail Museum","4.5","jchs.org","217 N Main St, Independence, MO 64050","null","null","https://lh5.googleusercontent.com/p/AF1QipMXbn6MsazyRVvkTtrD5AqAvfBNbWcty_7gAtwK=w408-h306-k-no","null"
"1654887819-294","https://www.google.com/maps/place/National+Frontier+Trails+Museum/@39.0914242,-94.7253875,10.23z/data=!4m10!1m2!2m1!1sthings+to+do+in+independence+missouri!3m6!1s0x87c0fd3f34344db7:0xcdb4d04f6940699d!8m2!3d39.086769!4d-94.419427!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFFdFVTVVJCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum & interpretive center exploring the history of the settlement of the American West."
"1654887779-290","https://www.google.com/maps/place/1859+Jail+Museum/@39.0914242,-94.7253875,10.23z/data=!4m10!1m2!2m1!1sthings+to+do+in+independence+missouri!3m6!1s0x87c0fd6a5bf13721:0xc9d3731e9a3db972!8m2!3d39.093417!4d-94.4155137!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNRnBVTVhWUlJSQUI","null","null","null","null","null","Amenities    Gender-neutral restroom   Good for kids   Restroom","null","Limestone cellblock where the outlaw Frank James did time, next to the town marshal's former home."
"1654887850-297","https://www.google.com/maps/place/Vaile+Mansion/@39.0914242,-94.7253875,10.23z/data=!4m9!1m2!2m1!1sthings+to+do+in+independence+missouri!3m5!1s0x87c0fd74a294bbcd:0xebdf7b97ede9b1ef!8m2!3d39.1075972!4d-94.4171222!15sCiV0aGluZ3MgdG8gZG8gaW4gaW5kZXBlbmRlbmNlIG1pc3NvdXJpWiciJXRoaW5ncyB0byBkbyBpbiBpbmRlcGVuZGVuY2UgbWlzc291cmmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBkVTlNVWxCQkVBRQ","Vaile Mansion","4.6","vailemansion.org","1500 N Liberty St, Independence, MO 64050","null","null","https://lh5.googleusercontent.com/p/AF1QipNWYG8bzRkpyhhdUKl0qR6Eva8x1NuLrFYS4YUY=w408-h544-k-no","null"
