web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888773-1380","https://www.google.com/maps/place/Missouri+State+Museum/@38.5733751,-92.2569948,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m5!1s0x87db5e450dba7163:0xad404f4191743734!8m2!3d38.5789354!4d-92.1732531!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYZGpsaGEzbDNSUkFC","Missouri State Museum","4.7","mostateparks.com","201 W Capitol Ave, Jefferson City, MO 65101","null","null","https://lh5.googleusercontent.com/p/AF1QipMKYjevw8NjFQxMEWsBVf_DS10EIvv68W9xWuq-=w408-h614-k-no","null"
"1654888701-1373","https://www.google.com/maps/place/Sawaddee+Thai+Cuisine/@38.5654858,-92.2606677,13z/data=!3m1!5s0x87db5e44f7c8f907:0x672f7305b8e82174!4m10!1m2!2m1!1sfood+in+jefferson+city+mo!3m6!1s0x87db5e44f6bfb56f:0x5c5351fd186a3b30!8m2!3d38.5769033!4d-92.1720912!10e1!15sChlmb29kIGluIGplZmZlcnNvbiBjaXR5IG1vWhsiGWZvb2QgaW4gamVmZmVyc29uIGNpdHkgbW-SAQ90aGFpX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Curries, stir-fries & other Thai specialties served in a small, comfy bistro with sidewalk seats."
"1654888783-1381","https://www.google.com/maps/place/Missouri+State+Penitentiary/@38.5733751,-92.2569948,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m6!1s0x87db5e3cfea2cf9b:0xbd688df71a923be1!8m2!3d38.5737273!4d-92.161871!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15Y2padExXNW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Imposing prison complex dating to the 1800s, with tours of its cell blocks, yard & gas chamber."
"1654888793-1382","https://www.google.com/maps/place/Missouri+State+Penitentiary/@38.5733751,-92.2569948,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m5!1s0x87db5e3cfea2cf9b:0xbd688df71a923be1!8m2!3d38.5737273!4d-92.161871!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15Y2padExXNW5SUkFC","Missouri State Penitentiary","4.7","missouripentours.com","115 Lafayette St, Jefferson City, MO 65101","null","null","https://lh5.googleusercontent.com/p/AF1QipMbXs9o8yGTKz1BwvNSOhFN_fB8XBW_Avq2ufzi=w408-h306-k-no","null"
"1654888762-1379","https://www.google.com/maps/place/Missouri+State+Museum/@38.5733751,-92.2569948,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m6!1s0x87db5e450dba7163:0xad404f4191743734!8m2!3d38.5789354!4d-92.1732531!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYZGpsaGEzbDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","History museum in the state capitol showing Missouri's natural & cultural development."
"1654888752-1378","https://www.google.com/maps/place/Cole+County+Historical+Museum/@38.5733751,-92.2569948,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m5!1s0x87db5e4684e522ab:0x83b91bc93fce4113!8m2!3d38.577473!4d-92.1693307!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk5PWEJmVW1KUkVBRQ","Cole County Historical Museum","4.5","colecohistsoc.org","109 Madison St, Jefferson City, MO 65101","null","null","https://lh5.googleusercontent.com/p/AF1QipP3WakyX9sqk0qzVX1KZqjM0oON5u0q318tezQZ=w426-h240-k-no","null"
"1654888742-1377","https://www.google.com/maps/place/Cole+County+Historical+Museum/@38.5733751,-92.2569948,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m6!1s0x87db5e4684e522ab:0x83b91bc93fce4113!8m2!3d38.577473!4d-92.1693307!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk5PWEJmVW1KUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Preserved rooms & permanent history galleries are spread over 3 floors at this historic mansion."
"1654888711-1374","https://www.google.com/maps/place/Sawaddee+Thai+Cuisine/@38.5654858,-92.2606677,13z/data=!3m1!5s0x87db5e44f7c8f907:0x672f7305b8e82174!4m9!1m2!2m1!1sfood+in+jefferson+city+mo!3m5!1s0x87db5e44f6bfb56f:0x5c5351fd186a3b30!8m2!3d38.5769033!4d-92.1720912!15sChlmb29kIGluIGplZmZlcnNvbiBjaXR5IG1vWhsiGWZvb2QgaW4gamVmZmVyc29uIGNpdHkgbW-SAQ90aGFpX3Jlc3RhdXJhbnQ","Sawaddee Thai Cuisine","4.6","servicenoodle.com","103 E High St, Jefferson City, MO 65101","null","null","https://lh5.googleusercontent.com/p/AF1QipOkTwAT3rarLriUdtoU5XT-_RJDPTg-7Nb_qd6z=w408-h544-k-no","null"
"1654888721-1375","https://www.google.com/maps/place/Binder+Park/@38.5950447,-92.4412898,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m6!1s0x87db57874386ca2b:0x8c3fd5fc56acdd0c!8m2!3d38.5950447!4d-92.3012141!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YjBwSVZHOW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Fishing, boating, picnicking & softball fields featured in a 644-acre preserve with a lake."
"1654888731-1376","https://www.google.com/maps/place/Binder+Park/@38.5733751,-92.2569948,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jefferson+city+mo!3m5!1s0x87db57874386ca2b:0x8c3fd5fc56acdd0c!8m2!3d38.5950447!4d-92.3012141!15sCiF0aGluZ3MgdG8gZG8gaW4gamVmZmVyc29uIGNpdHkgbW9aIyIhdGhpbmdzIHRvIGRvIGluIGplZmZlcnNvbiBjaXR5IG1vkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YjBwSVZHOW5SUkFC","Binder Park","4.6","jcparks.com","5840 Rainbow Dr, Jefferson City, MO 65109","null","null","https://lh5.googleusercontent.com/p/AF1QipMW2xlAXHTGIzGuALITWfOn20F3Kf2He9TOWC80=w427-h240-k-no","null"
