web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888583-1371","https://www.google.com/maps/place/Wonders+Of+Wildlife+National+Museum+%26+Aquarium/@37.2028156,-93.4582502,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m6!1s0x87cf637670a0e9b3:0x5f9b3143bc828a7e!8m2!3d37.1817079!4d-93.2961738!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMYW1KRVZIcFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Sprawling conservation-focused complex featuring wildlife exhibits & an aquarium with huge tanks."
"1654888521-1365","https://www.google.com/maps/place/Route+66+Car+Museum/@37.2028156,-93.4582502,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m6!1s0x87cf624ca95c8323:0x8f342cd60f6fd89e!8m2!3d37.2079801!4d-93.313708!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGEzQklSazluRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Over 60 classic & sports cars from America & Europe in a garage-style space with a gift shop"
"1654888541-1367","https://www.google.com/maps/place/Pythian+Castle/@37.2028156,-93.4582502,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m6!1s0x87cf62c55e138db9:0xbfd9e52082e51c1c!8m2!3d37.221432!4d-93.268679!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGFVeGlXazEzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","History & ghost tours are offered at this historic castle that also hosts murder mysteries & events."
"1654888510-1364","https://www.google.com/maps/place/Black+Sheep+Burgers+and+Shakes/@37.1890346,-93.3411356,12z/data=!4m6!1m2!2m1!1sfood+in+springfield+dmo!3m2!1s0x87cf630243bdc145:0xc1ba8478ad626bdd!15sChdmb29kIGluIHNwcmluZ2ZpZWxkIGRtb1oZIhdmb29kIGluIHNwcmluZ2ZpZWxkIGRtb5IBFGhhbWJ1cmdlcl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50YzJGcFpXaDNSUkFC","Black Sheep Burgers and Shakes","4.7","blaaacksheep.com","209 E Walnut St, Springfield, MO 65806","null","null","https://lh5.googleusercontent.com/p/AF1QipN_YPVGCijuAg19KY2COItmadte8gAVQhDxLK6c=w408-h306-k-no","null"
"1654888562-1369","https://www.google.com/maps/place/Dickerson+Park+Zoo/@37.2028156,-93.4582502,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m6!1s0x87c589d7e7c8519f:0x2c716f68ef824e3a!8m2!3d37.2541466!4d-93.3064575!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWVEbEhWbHBCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Wildlife park featuring exotic animal exhibits, a petting zoo, train rides & more"
"1654888500-1363","https://www.google.com/maps/place/Black+Sheep+Burgers+and+Shakes/@37.1890346,-93.3411356,12z/data=!4m10!1m2!2m1!1sfood+in+springfield+dmo!3m6!1s0x87cf630243bdc145:0xc1ba8478ad626bdd!8m2!3d37.2072652!4d-93.2918855!10e1!15sChdmb29kIGluIHNwcmluZ2ZpZWxkIGRtb1oZIhdmb29kIGluIHNwcmluZ2ZpZWxkIGRtb5IBFGhhbWJ1cmdlcl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50YzJGcFpXaDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Trendy, brick-walled bar & eatery serving gourmet burgers, creative sides & adult shakes."
"1654888573-1370","https://www.google.com/maps/place/Dickerson+Park+Zoo/@37.2028156,-93.4582502,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m5!1s0x87c589d7e7c8519f:0x2c716f68ef824e3a!8m2!3d37.2541466!4d-93.3064575!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWVEbEhWbHBCRUFF","Dickerson Park Zoo","4.5","dickersonparkzoo.org","1401 W Norton Rd, Springfield, MO 65803","null","null","https://lh5.googleusercontent.com/p/AF1QipNKiWkeNGjpDMda4nuZRSBK0EMvK9OUY93FhlXn=w408-h404-k-no","null"
"1654888531-1366","https://www.google.com/maps/place/Route+66+Car+Museum/@37.2028156,-93.4582502,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m2!1s0x87cf624ca95c8323:0x8f342cd60f6fd89e!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGEzQklSazluRUFF","Route 66 Car Museum","4.6","66carmuseum.com","1634 W College St, Springfield, MO 65806","null","null","https://lh5.googleusercontent.com/p/AF1QipMeo4woOd5cmgizuZK6Y5LvWdYgpc9eRIB6t7w=w408-h309-k-no","null"
"1654888552-1368","https://www.google.com/maps/place/Pythian+Castle/@37.2028156,-93.4582502,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m5!1s0x87cf62c55e138db9:0xbfd9e52082e51c1c!8m2!3d37.221432!4d-93.268679!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGFVeGlXazEzRUFF","Pythian Castle","4.1","pythiancastle.com","1451 E Pythian St, Springfield, MO 65802","null","null","https://lh5.googleusercontent.com/p/AF1QipOephjApZO_AhOEB7EsjyV-lPFOUrvwO3edlDo=w408-h546-k-no","null"
"1654888593-1372","https://www.google.com/maps/place/Wonders+Of+Wildlife+National+Museum+%26+Aquarium/@37.2028156,-93.4582502,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+sprinfield+mo!3m2!1s0x87cf637670a0e9b3:0x5f9b3143bc828a7e!15sCh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb1ofIh10aGluZ3MgdG8gZG8gaW4gc3ByaW5maWVsZCBtb5IBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMYW1KRVZIcFJSUkFC","Wonders Of Wildlife National Museum & Aquarium","4.8","wondersofwildlife.org","500 W Sunshine St, Springfield, MO 65807","null","null","https://lh5.googleusercontent.com/p/AF1QipPg_sACUu19hPoV-jVDuX6VbvhzfuYLIHWKZXkA=w408-h272-k-no","null"
