web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888595-319","https://www.google.com/maps/place/Bully's+Soul+Food+Restaurant/@32.3428241,-90.2404714,12z/data=!4m9!1m2!2m1!1sfood+in+jackson+ms!3m5!1s0x8628333b1d004fe7:0x53d7ce54d9b6081c!8m2!3d32.3418039!4d-90.1979543!15sChJmb29kIGluIGphY2tzb24gbXNaFCISZm9vZCBpbiBqYWNrc29uIG1zkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","Bully's Soul Food Restaurant","4.4","Identifies as Black-owned","3118 Livingston Rd, Jackson, MS 39213","null","null","https://lh5.googleusercontent.com/p/AF1QipMTK5RhaxrXSga8BM9PBMRN-gtRpA9sVqLtkhHF=w532-h240-k-no","null"
"1654888585-318","https://www.google.com/maps/place/Bully's+Soul+Food+Restaurant/@32.3418039,-90.3380309,12z/data=!4m10!1m2!2m1!1sfood+in+jackson+ms!3m6!1s0x8628333b1d004fe7:0x53d7ce54d9b6081c!8m2!3d32.3418039!4d-90.1979543!10e1!15sChJmb29kIGluIGphY2tzb24gbXNaFCISZm9vZCBpbiBqYWNrc29uIG1zkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Hearty Southern eats, from beef ribs to fried chicken & catfish, in unpretentious surroundings."
"1654888606-320","https://www.google.com/maps/place/Mississippi+Agriculture+and+Forestry+Museum/@32.3151184,-90.2696589,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+ms!3m6!1s0x862832a2bb3321e3:0x6aae166585ca255e!8m2!3d32.3366165!4d-90.1577225!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdmNYUXpXRzFuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","A living-history farm, a recreated 1920s cotton-economy-era town & local historical artifacts."
"1654888616-321","https://www.google.com/maps/place/Mississippi+Agriculture+and+Forestry+Museum/@32.3151184,-90.2696589,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+ms!3m5!1s0x862832a2bb3321e3:0x6aae166585ca255e!8m2!3d32.3366165!4d-90.1577225!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdmNYUXpXRzFuUlJBQg","Mississippi Agriculture and Forestry Museum","4.5","msagmuseum.org","1150 Lakeland Dr, Jackson, MS 39216","null","null","https://lh5.googleusercontent.com/p/AF1QipMu1cPgx4dozjdVjwoDImNg6R8MwxLqb2naLdhj=w408-h273-k-no","null"
"1654888646-324","https://www.google.com/maps/place/Mississippi+Children's+Museum/@32.3151184,-90.2696589,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+ms!3m6!1s0x8628329996caf27d:0x82db3309f9e8cf13!8m2!3d32.3289433!4d-90.1571931!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhhbDlmT0dWM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Interactive exhibits, activities & programs for kids focusing on arts, history, health & science."
"1654888677-327","https://www.google.com/maps/place/Mississippi+Museum+of+Natural+Science/@32.3151184,-90.2696589,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+ms!3m5!1s0x862832903f5ea507:0x7fc49c24328af875!8m2!3d32.3249191!4d-90.1572274!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE9FeHFSVUZuRUFF","Mississippi Museum of Natural Science","4.7","mdwfp.com","2148 Riverside Dr, Jackson, MS 39202","null","null","https://lh5.googleusercontent.com/p/AF1QipPiYTVKUqGCY51BoDEfl0Q6hvuOcvfTfVvKLglZ=w408-h272-k-no","null"
"1654888667-326","https://www.google.com/maps/place/Mississippi+Museum+of+Natural+Science/@32.3151184,-90.2696589,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+ms!3m6!1s0x862832903f5ea507:0x7fc49c24328af875!8m2!3d32.3249191!4d-90.1572274!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE9FeHFSVUZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Indoor/outdoor natural science museum in a state park with an aquarium, greenhouse, exhibits & more."
"1654888657-325","https://www.google.com/maps/place/Mississippi+Children's+Museum/@32.3151184,-90.2696589,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+ms!3m5!1s0x8628329996caf27d:0x82db3309f9e8cf13!8m2!3d32.3289433!4d-90.1571931!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhhbDlmT0dWM0VBRQ","Mississippi Children's Museum","4.7","mschildrensmuseum.org","2145 Museum Blvd, Jackson, MS 39202","null","null","https://lh5.googleusercontent.com/p/AF1QipP-xyP0_GxvYQCDe6wGf_uu5aqHujHPUdAEXgNE=w426-h240-k-no","null"
"1654888626-322","https://www.google.com/maps/place/Mississippi+Museum+of+Art/@32.3151184,-90.2696589,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+jackson+ms!3m6!1s0x8628324d37bbca2f:0x6d4af58a9fde73cd!8m2!3d32.2963215!4d-90.1850341!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhlamRpTFU1M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","State's largest art museum with galleries, cafe, outdoor garden, performance stage & free admission."
"1654888636-323","https://www.google.com/maps/place/Mississippi+Museum+of+Art/@32.3151184,-90.2696589,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+jackson+ms!3m5!1s0x8628324d37bbca2f:0x6d4af58a9fde73cd!8m2!3d32.2963215!4d-90.1850341!15sChp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc1ocIhp0aGluZ3MgdG8gZG8gaW4gamFja3NvbiBtc5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhlamRpTFU1M0VBRQ","Mississippi Museum of Art","4.7","msmuseumart.org","380 S Lamar St, Jackson, MS 39201","null","null","https://lh5.googleusercontent.com/p/AF1QipP0jC-8x712WtlvDxTry0dnJ62R1HRMUVPf3RQI=w408-h544-k-no","null"
