web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889037-340","https://www.google.com/maps/place/Highland+Park/@32.3032038,-88.8800871,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+meridian+ms!3m6!1s0x88847e724696f9fb:0xe6b65df367628563!8m2!3d32.375275!4d-88.7190243!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGR6ZHFYM1ZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Anchored by a large pool, this city park also has a carousel, ball fields & a country-music museum."
"1654889098-346","https://www.google.com/maps/place/Mississippi+Industrial+Heritage+Museum/@32.3032038,-88.8800871,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+meridian+ms!3m6!1s0x88847d95ece2d1bd:0x859824ab09f5bfcf!8m2!3d32.3655194!4d-88.6961323!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0Ym1WUU4xbG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","The country's last, intact steam engine factory offers guided tours, yearly events & demonstrations."
"1654889027-339","https://www.google.com/maps/place/Harvest+Grill/@32.3847149,-88.7437337,13z/data=!4m9!1m2!2m1!1sfood+in+meridian+ms!3m5!1s0x88847def69c06005:0x2d655f96b083b5a5!8m2!3d32.3647456!4d-88.700159!15sChNmb29kIGluIG1lcmlkaWFuIG1zWhUiE2Zvb2QgaW4gbWVyaWRpYW4gbXOSARNhbWVyaWNhbl9yZXN0YXVyYW50","Harvest Grill","4.5","harvestgrillms.com","618 22nd Ave, Meridian, MS 39301","null","null","https://lh5.googleusercontent.com/p/AF1QipNJJu1AEwENEk_IEKMpertCSSCuh_oG8RuqS8_0=w408-h306-k-no","null"
"1654889058-342","https://www.google.com/maps/place/Meridian+Museum+of+Art/@32.3032038,-88.8800871,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+meridian+ms!3m6!1s0x88847de5a8d95b25:0x2436513d9bd203c2!8m2!3d32.3638975!4d-88.7031962!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEGbXVzZXVt","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Paintings, prints & other works by local artists showcased in a former 1900s library building."
"1654889017-338","https://www.google.com/maps/place/Harvest+Grill/@32.3847149,-88.7437337,13z/data=!4m10!1m2!2m1!1sfood+in+meridian+ms!3m6!1s0x88847def69c06005:0x2d655f96b083b5a5!8m2!3d32.3647456!4d-88.700159!10e1!15sChNmb29kIGluIG1lcmlkaWFuIG1zWhUiE2Zvb2QgaW4gbWVyaWRpYW4gbXOSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    High chairs","null","Casual, family-friendly grill serving American standards plus a bar with cocktails, wine & beer."
"1654889109-347","https://www.google.com/maps/place/Mississippi+Industrial+Heritage+Museum/@32.3032038,-88.8800871,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+meridian+ms!3m5!1s0x88847d95ece2d1bd:0x859824ab09f5bfcf!8m2!3d32.3655194!4d-88.6961323!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0Ym1WUU4xbG5FQUU","Mississippi Industrial Heritage Museum","4.7","industrialheritagemuseum.com","1808 4th St, Meridian, MS 39301","null","null","https://lh5.googleusercontent.com/p/AF1QipMxTUwHLvPsAt8GwbFW_eiAs40CysO6tCdnEXe0=w408-h306-k-no","null"
"1654889078-344","https://www.google.com/maps/place/Bonita+Lakes+Park/@32.3032038,-88.8800871,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+meridian+ms!3m6!1s0x88847d7108309ed1:0x601c4ffdcc1547ce!8m2!3d32.3634316!4d-88.6653935!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE9IWmxNVGhCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Three lakes anchor this scenic 3,300-acre park, which offers fishing, hiking & horseback riding."
"1654889088-345","https://www.google.com/maps/place/Bonita+Lakes+Park/@32.3032038,-88.8800871,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+meridian+ms!3m5!1s0x88847d7108309ed1:0x601c4ffdcc1547ce!8m2!3d32.3634316!4d-88.6653935!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE9IWmxNVGhCUlJBQg","Bonita Lakes Park","4.6","meridianms.org","Bonita Reservoir Rd, Meridian, MS 39301","null","null","https://lh5.googleusercontent.com/p/AF1QipO08X7VzwtNR2bwKpiHvqEUv6_Bqis4XoVbjg8p=w408-h544-k-no","null"
"1654889047-341","https://www.google.com/maps/place/Highland+Park/@32.3032038,-88.8800871,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+meridian+ms!3m5!1s0x88847e724696f9fb:0xe6b65df367628563!8m2!3d32.375275!4d-88.7190243!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGR6ZHFYM1ZCUlJBQg","Highland Park","3.9","meridianms.org","1720 Jimmie Rogers Memorial Dr, Meridian, MS 39307","null","null","https://lh5.googleusercontent.com/p/AF1QipNP9r5G4og0ZhNdQ7fhaMttTI6GqG-1c6-4ePqU=w412-h240-k-no","null"
"1654889068-343","https://www.google.com/maps/place/Meridian+Museum+of+Art/@32.3032038,-88.8800871,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+meridian+ms!3m5!1s0x88847de5a8d95b25:0x2436513d9bd203c2!8m2!3d32.3638975!4d-88.7031962!15sCht0aGluZ3MgdG8gZG8gaW4gbWVyaWRpYW4gbXNaHSIbdGhpbmdzIHRvIGRvIGluIG1lcmlkaWFuIG1zkgEGbXVzZXVt","Meridian Museum of Art","4.7","meridianmuseum.org","628 25th Ave, Meridian, MS 39301","null","null","https://lh5.googleusercontent.com/p/AF1QipNwFcVXXdUiqHRHoJozaR8GHNz3NJi6WX6sfpI1=w408-h408-k-no","null"
