web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888902-335","https://www.google.com/maps/place/BankPlus+Amphitheater+at+Snowden+Grove/@35.0349062,-90.2272904,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+south+haven+ms!3m5!1s0x887f89579486d057:0x2bbd1687d831c11a!8m2!3d34.9513065!4d-89.9341053!15sChx0aGluZ3MgdG8gZG8gaW4gc291dGhhdmVuIG1zWh4iHHRoaW5ncyB0byBkbyBpbiBzb3V0aGF2ZW4gbXOSAQxhbXBoaXRoZWF0cmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNPRTV4YmtKQkVBRQ","BankPlus Amphitheater at Snowden Grove","4.3","null","6285 Snowden Ln, Southaven, MS 38672","null","null","https://lh5.googleusercontent.com/p/AF1QipPp-AJxifVrQ0HoSHHW2ZsVBuAwYF-DPpv0ysHv=w426-h240-k-no","null"
"1654888922-337","https://www.google.com/maps/place/Snowden+Grove+Park/@35.0349062,-90.2272904,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+south+haven+ms!3m5!1s0x887f895624d5dd09:0x8744bc52aab603cc!8m2!3d34.9527622!4d-89.9343422!15sChx0aGluZ3MgdG8gZG8gaW4gc291dGhhdmVuIG1zWh4iHHRoaW5ncyB0byBkbyBpbiBzb3V0aGF2ZW4gbXOSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TVU1WFowTjNFQUU","Snowden Grove Park","4.6","snowdengrovebaseball.com","6450 Getwell Rd, Southaven, MS 38672","null","null","https://lh5.googleusercontent.com/p/AF1QipOTWJ6Wu1FZXGLR6L-Ogz6G6D8-kaGTyj3b6QKI=w408-h725-k-no","null"
"1654888912-336","https://www.google.com/maps/place/Snowden+Grove+Park/@35.0349062,-90.2272904,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+south+haven+ms!3m6!1s0x887f895624d5dd09:0x8744bc52aab603cc!8m2!3d34.9527622!4d-89.9343422!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc291dGhhdmVuIG1zWh4iHHRoaW5ncyB0byBkbyBpbiBzb3V0aGF2ZW4gbXOSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TVU1WFowTjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This baseball-only facility boasts over 15 fields, plus a concession area & gift shop."
"1654888830-328","https://www.google.com/maps/place/Dale's/@34.9641055,-90.0564903,13z/data=!4m10!1m2!2m1!1sfood+in+south+havenms!3m6!1s0x87d56263ab12996d:0x2855afb8bb934433!8m2!3d34.992151!4d-90.011735!10e1!15sChRmb29kIGluIHNvdXRoYXZlbiBtc1oWIhRmb29kIGluIHNvdXRoYXZlbiBtc5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Longtime family-friendly restaurant serves American eats in big, digs with booths & quaint touches."
"1654888861-331","https://www.google.com/maps/place/Tanger+Outlets+Southaven/@35.0486516,-90.589117,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+south+haven+mississippi!3m5!1s0x887f8a0e3727f35f:0x40f3b50b18acfa18!8m2!3d34.9362621!4d-89.9915995!15sCid0aGluZ3MgdG8gZG8gaW4gc291dGggaGF2ZW4gbWlzc2lzc2lwcGlaKSIndGhpbmdzIHRvIGRvIGluIHNvdXRoIGhhdmVuIG1pc3Npc3NpcHBpkgELb3V0bGV0X21hbGyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXliRkJYY2toUkVBRQ","Tanger Outlets Southaven","4.5","tangeroutlet.com","5205 Airways Blvd, Southaven, MS 38671","null","null","https://lh5.googleusercontent.com/p/AF1QipOMOiLALtNpkFba41gknNPgCYdEuZZtdK2yU_o=w408-h331-k-no","null"
"1654888881-333","https://www.google.com/maps/place/Latimer+Lake+Park/@35.0486516,-90.589117,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+south+haven+mississippi!3m5!1s0x87d5617bc97a015f:0x2b8634703760f4b4!8m2!3d34.9427489!4d-90.0445565!15sCid0aGluZ3MgdG8gZG8gaW4gc291dGggaGF2ZW4gbWlzc2lzc2lwcGlaKSIndGhpbmdzIHRvIGRvIGluIHNvdXRoIGhhdmVuIG1pc3Npc3NpcHBpkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VScGVVOUlSVlIzRUFF","Latimer Lake Park","4.5","hornlakeparks.com","5633 Tulane Rd, Horn Lake, MS 38637","null","null","https://lh5.googleusercontent.com/p/AF1QipOk15jiMFEQfSuBwCfgReizGMOCkWgTR-oBKxSB=w408-h306-k-no","null"
"1654888851-330","https://www.google.com/maps/place/Tanger+Outlets+Southaven/@35.0486516,-90.589117,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+south+haven+mississippi!3m6!1s0x887f8a0e3727f35f:0x40f3b50b18acfa18!8m2!3d34.9362621!4d-89.9915995!10e1!15sCid0aGluZ3MgdG8gZG8gaW4gc291dGggaGF2ZW4gbWlzc2lzc2lwcGlaKSIndGhpbmdzIHRvIGRvIGluIHNvdXRoIGhhdmVuIG1pc3Npc3NpcHBpkgELb3V0bGV0X21hbGyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXliRkJYY2toUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair rental","Amenities    Public restroom   Free Wi-Fi","null","Shopping-mall chain featuring a variety of brand-name & designer outlet stores."
"1654888891-334","https://www.google.com/maps/place/BankPlus+Amphitheater+at+Snowden+Grove/@35.0349062,-90.2272904,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+south+haven+ms!3m6!1s0x887f89579486d057:0x2bbd1687d831c11a!8m2!3d34.9513065!4d-89.9341053!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc291dGhhdmVuIG1zWh4iHHRoaW5ncyB0byBkbyBpbiBzb3V0aGF2ZW4gbXOSAQxhbXBoaXRoZWF0cmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNPRTV4YmtKQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Set in a park, this 7-acre outdoor music venue has both fixed & lawn seating, food options & more."
"1654888871-332","https://www.google.com/maps/place/Latimer+Lake+Park/@35.0486516,-90.589117,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+south+haven+mississippi!3m6!1s0x87d5617bc97a015f:0x2b8634703760f4b4!8m2!3d34.9427489!4d-90.0445565!10e1!15sCid0aGluZ3MgdG8gZG8gaW4gc291dGggaGF2ZW4gbWlzc2lzc2lwcGlaKSIndGhpbmdzIHRvIGRvIGluIHNvdXRoIGhhdmVuIG1pc3Npc3NpcHBpkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VScGVVOUlSVlIzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Recreation area with fishing & trails, plus tennis courts, baseball fields & a disc-golf course."
"1654888840-329","https://www.google.com/maps/place/Dale's/@34.9641055,-90.0564903,13z/data=!4m9!1m2!2m1!1sfood+in+south+havenms!3m5!1s0x87d56263ab12996d:0x2855afb8bb934433!8m2!3d34.992151!4d-90.011735!15sChRmb29kIGluIHNvdXRoYXZlbiBtc1oWIhRmb29kIGluIHNvdXRoYXZlbiBtc5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Dale's","4.2","null","1226 Main St, Southaven, MS 38671","null","null","https://lh5.googleusercontent.com/p/AF1QipNOEtgFvR2PgR3y_1xO-BwgeUBTTuHLyhjaM40n=w408-h306-k-no","null"
