web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889154-1399","https://www.google.com/maps/place/Vicksburg+National+Military+Park/@32.3653796,-90.9395512,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m6!1s0x8628e1dbb2d1e605:0x47a0df70bc77d383!8m2!3d32.3548532!4d-90.8452588!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yYjJGVFRubG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park marking the Civil War's Vicksburg Campaign includes sites, exhibits & the U.S.S. Cairo museum."
"1654889103-1394","https://www.google.com/maps/place/Biedenharn+Coca-Cola+Museum/@32.3653796,-90.9395512,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m5!1s0x8628e02749e8952b:0x4154431a45024da2!8m2!3d32.3516777!4d-90.8817522!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRlRnAyYWxGbkVBRQ","Biedenharn Coca-Cola Museum","4.0","biedenharncoca-colamuseum.com","1107 Washington St, Vicksburg, MS 39183","null","null","https://lh5.googleusercontent.com/p/AF1QipOg8Z7yranpVv7-5lYq8Uv2LixXrgT1_hxbSXgq=w426-h240-k-no","null"
"1654889072-1391","https://www.google.com/maps/place/Walnut+Hills/@32.350002,-90.9126249,14z/data=!4m10!1m2!2m1!1sfood+in+vicksburg+ms!3m6!1s0x8628e026320b744d:0x89bd11cbfc1d0c89!8m2!3d32.3499836!4d-90.8775293!10e1!15sChRmb29kIGluIHZpY2tzYnVyZyBtc1oWIhRmb29kIGluIHZpY2tzYnVyZyBtc5IBEWZhbWlseV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Southern eats served round table-style (lunch only) or à la carte
in a historic house with patio."
"1654889093-1393","https://www.google.com/maps/place/Biedenharn+Coca-Cola+Museum/@32.3653796,-90.9395512,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m6!1s0x8628e02749e8952b:0x4154431a45024da2!8m2!3d32.3516777!4d-90.8817522!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRlRnAyYWxGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Restored building where Coca-Cola was first bottled in 1894, with a soda fountain & memorabilia."
"1654889134-1397","https://www.google.com/maps/place/Lower+Mississippi+River+Museum/@32.3653796,-90.9395512,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m6!1s0x86291fd8b1666aa9:0xb6432119adfca4bb!8m2!3d32.3533315!4d-90.8816505!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdPQzF1UWpsQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Interactive exhibits on the Mississippi River & US Army Corps of Engineers, plus a boat to explore."
"1654889082-1392","https://www.google.com/maps/place/Walnut+Hills/@32.3349779,-90.8736836,14z/data=!4m6!1m2!2m1!1sfood+in+vicksburg+ms!3m2!1s0x8628e026320b744d:0x89bd11cbfc1d0c89!15sChRmb29kIGluIHZpY2tzYnVyZyBtc1oWIhRmb29kIGluIHZpY2tzYnVyZyBtc5IBEWZhbWlseV9yZXN0YXVyYW50","Walnut Hills","4.5","walnuthillsms.com","1214 Adams St, Vicksburg, MS 39180","null","null","https://lh5.googleusercontent.com/p/AF1QipMuGCS2IZlVOn-N605GZBdQffUeVGDMqxAmfcM=w408-h306-k-no","null"
"1654889113-1395","https://www.google.com/maps/place/The+Old+Depot+Museum/@32.3653796,-90.9395512,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m6!1s0x8628e02097e77aa1:0xf7d77dceba71f7c5!8m2!3d32.3525271!4d-90.882682!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOazlIVW5kM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","A miniature replica of Vicksburg battlefield, railroad memorabilia & local history in an old depot."
"1654889124-1396","https://www.google.com/maps/place/The+Old+Depot+Museum/@32.3653796,-90.9395512,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m2!1s0x8628e02097e77aa1:0xf7d77dceba71f7c5!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOazlIVW5kM1JSQUI","The Old Depot Museum","4.5","theolddepot.net","1010 Levee St, Vicksburg, MS 39183","null","null","https://lh5.googleusercontent.com/p/AF1QipM7d7j_JfgGvnm-8r2jwREDGNC4K1LORbd-5j8t=w408-h306-k-no","null"
"1654889165-1400","https://www.google.com/maps/place/Vicksburg+National+Military+Park/@32.3653796,-90.9395512,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m5!1s0x8628e1dbb2d1e605:0x47a0df70bc77d383!8m2!3d32.3548532!4d-90.8452588!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQ1uYXRpb25hbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yYjJGVFRubG5SUkFC","Vicksburg National Military Park","4.7","nps.gov","3201 Clay St, Vicksburg, MS 39183","null","null","https://lh5.googleusercontent.com/p/AF1QipNgyUDsv-llrsVMoxReR6RdH7cUPxErlJEdmTyU=w408-h271-k-no","null"
"1654889144-1398","https://www.google.com/maps/place/Lower+Mississippi+River+Museum/@32.3653796,-90.9395512,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+vicksburg+ms!3m5!1s0x86291fd8b1666aa9:0xb6432119adfca4bb!8m2!3d32.3533315!4d-90.8816505!15sChx0aGluZ3MgdG8gZG8gaW4gdmlja3NidXJnIG1zWh4iHHRoaW5ncyB0byBkbyBpbiB2aWNrc2J1cmcgbXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdPQzF1UWpsQlJSQUI","Lower Mississippi River Museum","4.6","lmrm.org","910 Washington St, Vicksburg, MS 39183","null","null","https://lh5.googleusercontent.com/p/AF1QipOdiwHzqSA-UJI2YmwI5gS3flgdM7ZF0ur-tytn=w408-h544-k-no","null"
