web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654886750-265","https://www.google.com/maps/place/American+Computer+%26+Robotics+Museum/@45.679657,-113.2834059,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m6!1s0x534545102e2d93f3:0xe68cb78b0ad58e7c!8m2!3d45.6592806!4d-111.0549639!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlObkJNUlROM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","From Babylonian tablets to sci-fi robots, this museum traces the history of computing technologies."
"1654886760-266","https://www.google.com/maps/place/American+Computer+%26+Robotics+Museum/@45.679657,-113.2834059,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m5!1s0x534545102e2d93f3:0xe68cb78b0ad58e7c!8m2!3d45.6592806!4d-111.0549639!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlObkJNUlROM1JSQUI","American Computer & Robotics Museum","4.8","null","2023 Stadium Dr #1A, Bozeman, MT 59715","null","null","https://lh5.googleusercontent.com/p/AF1QipMPjtdpHC3otqDzXlgmHJjHWgU8sWXKbC1xhwUU=w430-h240-k-no","null"
"1654886808-270","https://www.google.com/maps/place/Gallatin+History+Museum/@45.7266636,-109.8856458,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m5!1s0x5345445108c91549:0x8a65964c9fa13a3b!8m2!3d45.679657!4d-111.042195!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJOV1F0UTJwblJSQUI","Gallatin History Museum","4.7","gallatinhistorymuseum.org","317 W Main St, Bozeman, MT 59715","null","null","https://lh5.googleusercontent.com/p/AF1QipNxT0fFfzHbIIUb-fkT6F6E37nQ8jqQz4xXX9Y=w408-h306-k-no","null"
"1654886791-269","https://www.google.com/maps/place/Gallatin+History+Museum/@45.679657,-113.2834059,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m6!1s0x5345445108c91549:0x8a65964c9fa13a3b!8m2!3d45.679657!4d-111.042195!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJOV1F0UTJwblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Museum of regional history with Native American exhibits, battlefield artifacts & a photo archive."
"1654886720-262","https://www.google.com/maps/place/Sidewinders+American+Grill/@45.6819536,-111.0826271,14z/data=!4m9!1m2!2m1!1sfood+in+bozeman+mt!3m5!1s0x534545886216004b:0x94e0fadd956f90b8!8m2!3d45.6717005!4d-111.1010603!15sChJmb29kIGluIGJvemVtYW4gbXRaFCISZm9vZCBpbiBib3plbWFuIG10kgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGRsQTJNbk4zUlJBQg","Sidewinders American Grill","4.4","sidewinderstavern.com","780 Boardwalk Ave, Bozeman, MT 59718","null","null","https://lh5.googleusercontent.com/p/AF1QipOzQUk53m60_fv8m5sSseSnB68IdTwmLhse9MVw=w408-h306-k-no","null"
"1654886709-261","https://www.google.com/maps/place/Sidewinders+American+Grill/@45.6716548,-111.1360633,14z/data=!4m10!1m2!2m1!1sfood+in+bozeman+mt!3m6!1s0x534545886216004b:0x94e0fadd956f90b8!8m2!3d45.6717005!4d-111.1010603!10e1!15sChJmb29kIGluIGJvemVtYW4gbXRaFCISZm9vZCBpbiBib3plbWFuIG10kgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGRsQTJNbk4zUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Contemporary grill for American comfort food, with outdoor seats, a bar & military-themed decor."
"1654886730-263","https://www.google.com/maps/place/Montana+Science+Center/@45.679657,-113.2834059,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m6!1s0x534544573b6d0d25:0xaa96e1f4efe77aa!8m2!3d45.6721805!4d-111.0744063!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1GbE1TazUzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Interactive, educational exhibits including craft tables, a bubble wall & a 110-gallon aquarium."
"1654886771-267","https://www.google.com/maps/place/Museum+of+the+Rockies/@45.679657,-113.2834059,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m6!1s0x5345451b69b8bbd5:0x53ba18ef074a0758!8m2!3d45.6586239!4d-111.0451215!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhNRXAxWlZSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Free Wi-Fi   Restaurant","null","Venue with a vast collection of dinosaur fossils, along with exhibits of regional & native history."
"1654886781-268","https://www.google.com/maps/place/Museum+of+the+Rockies/@45.679657,-113.2834059,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m5!1s0x5345451b69b8bbd5:0x53ba18ef074a0758!8m2!3d45.6586239!4d-111.0451215!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhNRXAxWlZSUkVBRQ","Museum of the Rockies","4.8","museumoftherockies.org","600 W Kagy Blvd, Bozeman, MT 59717","null","null","https://lh5.googleusercontent.com/p/AF1QipPevtnosVsUhgIhn4CWtN6KCMwm6gnqRCX-VcY_=w408-h306-k-no","null"
"1654886740-264","https://www.google.com/maps/place/Montana+Science+Center/@45.679657,-113.2834059,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bozeman+montana!3m5!1s0x534544573b6d0d25:0xaa96e1f4efe77aa!8m2!3d45.6721805!4d-111.0744063!15sCh90aGluZ3MgdG8gZG8gaW4gYm96ZW1hbiBtb250YW5hWiEiH3RoaW5ncyB0byBkbyBpbiBib3plbWFuIG1vbnRhbmGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1GbE1TazUzRUFF","Montana Science Center","4.4","montanasciencecenter.org","2744 W Main St, Bozeman, MT 59718","null","null","https://lh5.googleusercontent.com/p/AF1QipPVqE4LfPHUwoKEfxivXhzBD_hhvbNGQZwlYCEG=w408-h272-k-no","null"
