web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654888372-1360","https://www.google.com/maps/place/The+Lewis+and+Clark+Interpretive+Center/@46.8665942,-116.2739155,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m2!1s0x53423757fe04f8f5:0xb4c9d236d5d8d092!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oY21ObFlXeEJSUkFC","The Lewis and Clark Interpretive Center","4.7","fs.usda.gov","4201 Giant Springs Rd, Great Falls, MT 59405","null","null","https://lh5.googleusercontent.com/p/AF1QipOFalo-B82dhZc5dCsd4lJlyQVWEwtdDLTDWmJA=w408-h306-k-no","null"
"1654888341-1357","https://www.google.com/maps/place/Paris+Gibson+Square+Museum+of+Art/@46.8665942,-116.2739155,7z/data=!3m1!5s0x53423790c0b13e75:0xaad3838861ae6ea5!4m10!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m6!1s0x53423790ec20118f:0x4916e9f76a2ce8b5!8m2!3d47.5060507!4d-111.282449!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJSTVRaeFpIbG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Art shows in an 1896 building, displaying the work of current & historic Northwest artists."
"1654888362-1359","https://www.google.com/maps/place/The+Lewis+and+Clark+Interpretive+Center/@46.8665942,-116.2739155,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m6!1s0x53423757fe04f8f5:0xb4c9d236d5d8d092!8m2!3d47.5293869!4d-111.2354907!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oY21ObFlXeEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Exhibits follow the adventurers' path at this spacious museum that also offers walking trails."
"1654888393-1362","https://www.google.com/maps/place/C.+M.+Russell+Museum/@46.8665942,-116.2739155,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m2!1s0x5342378f952c558b:0xa169e4f1dd9ae536!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0ZGpkNlYzVm5SUkFC","C. M. Russell Museum","4.7","cmrussell.org","400 13th St N, Great Falls, MT 59401","null","null","https://lh5.googleusercontent.com/p/AF1QipNCDkwQP5hHrZjlJ88Jao3hoqnhpS2UCGyG_TY_=w408-h255-k-no","null"
"1654888351-1358","https://www.google.com/maps/place/Paris+Gibson+Square+Museum+of+Art/@46.8665942,-116.2739155,7z/data=!3m1!5s0x53423790c0b13e75:0xaad3838861ae6ea5!4m9!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m5!1s0x53423790ec20118f:0x4916e9f76a2ce8b5!8m2!3d47.5060507!4d-111.282449!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJSTVRaeFpIbG5SUkFC","Paris Gibson Square Museum of Art","4.6","the-square.org","1400 1st Ave N, Great Falls, MT 59401","null","null","https://lh5.googleusercontent.com/p/AF1QipNEsXL-oL5kFU4epBMwMmDGKo-uIAP-ghABsJGp=w408-h306-k-no","null"
"1654888320-1355","https://www.google.com/maps/place/Giant+Springs+State+Park/@46.8665942,-116.2739155,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m6!1s0x53423a95c026cc33:0x5f5ad0f78197359b!8m2!3d47.534446!4d-111.228842!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE0yOWhObUpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Home to one of the largest freshwater springs in North America, the Rainbow Dam & 30 miles of trail."
"1654888383-1361","https://www.google.com/maps/place/C.+M.+Russell+Museum/@46.8665942,-116.2739155,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m6!1s0x5342378f952c558b:0xa169e4f1dd9ae536!8m2!3d47.5101885!4d-111.2862464!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0ZGpkNlYzVm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Showcase for a huge collection of works by the renowned Western artist, plus his home & log studio."
"1654888310-1354","https://www.google.com/maps/place/Fuddruckers/@47.5034224,-111.3290675,13z/data=!4m6!1m2!2m1!1sfood+in+great+falls+mt!3m2!1s0x5342370673ae6959:0x4da569ac0bd919fe!15sChZmb29kIGluIGdyZWF0IGZhbGxzIG10WhgiFmZvb2QgaW4gZ3JlYXQgZmFsbHMgbXSSARRoYW1idXJnZXJfcmVzdGF1cmFudA","Fuddruckers","4.4","fuddruckers.com","3315 10th Ave S, Great Falls, MT 59405","null","null","https://lh5.googleusercontent.com/p/AF1QipOeeDdpI_Y174Y3ORKMwf6mIHmNYto-Btf0aTgk=w426-h240-k-no","null"
"1654888331-1356","https://www.google.com/maps/place/Giant+Springs+State+Park/@46.8665942,-116.2739155,7z/data=!3m1!5s0x53423790c0b13e75:0xaad3838861ae6ea5!4m6!1m2!2m1!1sthings+to+do+in+great+falls+mt!3m2!1s0x53423a95c026cc33:0x5f5ad0f78197359b!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JlYXQgZmFsbHMgbXRaICIedGhpbmdzIHRvIGRvIGluIGdyZWF0IGZhbGxzIG10kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE0yOWhObUpSRUFF","Giant Springs State Park","4.8","stateparks.mt.gov","4803 Giant Springs Rd, Great Falls, MT 59405","null","null","https://lh5.googleusercontent.com/p/AF1QipM-Ehy9QlPI3-qIVgsrIrQxSniCyugi2z3Ot946=w408-h306-k-no","null"
"1654888299-1353","https://www.google.com/maps/place/Fuddruckers/@47.5034224,-111.3290675,13z/data=!4m10!1m2!2m1!1sfood+in+great+falls+mt!3m6!1s0x5342370673ae6959:0x4da569ac0bd919fe!8m2!3d47.4943809!4d-111.2490302!10e1!15sChZmb29kIGluIGdyZWF0IGZhbGxzIG10WhgiFmZvb2QgaW4gZ3JlYXQgZmFsbHMgbXSSARRoYW1idXJnZXJfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Family-friendly chain for burgers on housemade sesame seed buns, plus salads & shakes."
