web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654887460-280","https://www.google.com/maps/place/ExplorationWorks/@46.5848176,-112.6035721,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+helena+montana!3m6!1s0x534354e25e8129eb:0x3340329f81add67a!8m2!3d46.5977165!4d-112.0361405!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRTVxVlhGblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant","null","Contemporary museum featuring a variety of science-related exhibits & educational programs."
"1654887450-279","https://www.google.com/maps/place/Shellie's+Country+Cafe/@46.6024611,-112.033607,14z/data=!4m9!1m2!2m1!1sfood+in+helena+mt!3m5!1s0x534355a803b9589f:0xbd132570ba2e238f!8m2!3d46.5917521!4d-111.984511!15sChFmb29kIGluIGhlbGVuYSBtdFoTIhFmb29kIGluIGhlbGVuYSBtdJIBCnJlc3RhdXJhbnQ","Shellie's Country Cafe","4.6","shelliescountrycafe.com","3122 US-12, Helena, MT 59601","null","null","https://lh5.googleusercontent.com/p/AF1QipNNXXHAbe-7477zNK5kqnJEBYkZbTE4OrM7adZ8=w408-h408-k-no","null"
"1654887516-285","https://www.google.com/maps/place/Cathedral+of+Saint+Helena/@46.5848176,-112.6035721,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+helena+montana!3m5!1s0x5343551bdf88ca43:0x373d289f36543e0a!8m2!3d46.5901065!4d-112.0337449!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgESY2F0aG9saWNfY2F0aGVkcmFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTmtwaFRreG5FQUU","Cathedral of Saint Helena","4.8","sthelenas.org","530 N Ewing St, Helena, MT 59601","null","null","https://lh5.googleusercontent.com/p/AF1QipNmjsYDqyDFEvLwsSF4S56Zze_eeS2phYnZldSN=w408-h475-k-no","null"
"1654887496-283","https://www.google.com/maps/place/Great+Northern+Carousel/@46.5848176,-112.6035721,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+helena+montana!3m5!1s0x534354e25ca0871d:0x1fbda381e1f4b5a1!8m2!3d46.5975739!4d-112.0367448!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgEQYW11c2VtZW50X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGJEbHVaMHAzRUFF","Great Northern Carousel","4.5","gncarousel.com","989 Carousel Way, Helena, MT 59601","null","null","https://lh5.googleusercontent.com/p/AF1QipMoOIj0SNvaaQhHP1Cplf_Wn_SkYGWs6cjTNHZg=w408-h287-k-no","null"
"1654887526-286","https://www.google.com/maps/place/Reeder's+Alley/@46.5848176,-112.6035721,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+helena+montana!3m6!1s0x534355234e86bb65:0xf884fd61c81b858f!8m2!3d46.5848176!4d-112.0432694!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMk56VmxVMGhCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Historic brick complex built in the 1870s to house local miners, open for tours & events."
"1654887506-284","https://www.google.com/maps/place/Cathedral+of+Saint+Helena/@46.5848176,-112.6035721,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+helena+montana!3m6!1s0x5343551bdf88ca43:0x373d289f36543e0a!8m2!3d46.5901065!4d-112.0337449!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgESY2F0aG9saWNfY2F0aGVkcmFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTmtwaFRreG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Ornate 1914 cathedral with soaring twin spires inspired by the Votive Church in Vienna, Austria."
"1654887440-278","https://www.google.com/maps/place/Shellie's+Country+Cafe/@46.6024611,-112.033607,14z/data=!4m10!1m2!2m1!1sfood+in+helena+mt!3m6!1s0x534355a803b9589f:0xbd132570ba2e238f!8m2!3d46.5917521!4d-111.984511!10e1!15sChFmb29kIGluIGhlbGVuYSBtdFoTIhFmb29kIGluIGhlbGVuYSBtdJIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Family-style American meals in a 24/7 roadside joint, plus all-day breakfast & housemade pies."
"1654887485-282","https://www.google.com/maps/place/Great+Northern+Carousel/@46.5848176,-112.6035721,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+helena+montana!3m6!1s0x534354e25ca0871d:0x1fbda381e1f4b5a1!8m2!3d46.5975739!4d-112.0367448!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgEQYW11c2VtZW50X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGJEbHVaMHAzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Kids of all ages can ride this artful carousel featuring 37 hand-carved animals found in Montana."
"1654887537-287","https://www.google.com/maps/place/Reeder's+Alley/@46.6602061,-112.2409533,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+helena+montana!3m5!1s0x534355234e86bb65:0xf884fd61c81b858f!8m2!3d46.5848176!4d-112.0432694!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMk56VmxVMGhCRUFF","Reeder's Alley","4.5","reedersalley.com","212 S Park Ave, Helena, MT 59601","null","null","https://lh5.googleusercontent.com/p/AF1QipOHQqPhPOa9VJgUkJs0RjhaKZtL2XeOSvr4tW8w=w408-h272-k-no","null"
"1654887474-281","https://www.google.com/maps/place/ExplorationWorks/@46.5848176,-112.6035721,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+helena+montana!3m5!1s0x534354e25e8129eb:0x3340329f81add67a!8m2!3d46.5977165!4d-112.0361405!15sCh50aGluZ3MgdG8gZG8gaW4gaGVsZW5hIG1vbnRhbmFaICIedGhpbmdzIHRvIGRvIGluIGhlbGVuYSBtb250YW5hkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRTVxVlhGblJSQUI","ExplorationWorks","4.5","explorationworks.org","995 Carousel Way, Helena, MT 59601","null","null","https://lh5.googleusercontent.com/p/AF1QipMtzHjzQyK6ukHh_Vq_ZKPJVDGoqKmI6vZEVVVz=w408-h306-k-no","null"
