web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878836-1140","https://www.google.com/maps/place/Freedom+Park/@35.1914488,-83.0846517,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+charlottesc!3m5!1s0x88569fa49997c527:0xf938421ff56aab1c!8m2!3d35.1914488!4d-80.8434408!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TTJJM2FXUm5FQUU","Freedom Park","4.8","mecknc.gov","1908 East Blvd, Charlotte, NC 28203","null","null","https://lh5.googleusercontent.com/p/AF1QipMSP5NkVL1yvut8e7o2pF1pITRXobazs5HMQH_G=w408-h306-k-no","null"
"1654878764-1133","https://www.google.com/maps/place/Midwood+Smokehouse/@35.1899779,-80.9008717,12z/data=!4m10!1m2!2m1!1sfood+in+charlotte+sc!3m6!1s0x8856a0015da0d46b:0x6b18dec9e58a4c8f!8m2!3d35.2210244!4d-80.8148537!10e1!15sChRmb29kIGluIGNoYXJsb3R0ZSBzY1oWIhRmb29kIGluIGNoYXJsb3R0ZSBzY5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Regional BBQ specialties are served up in a roadhouselike setting with a rooftop deck."
"1654878785-1135","https://www.google.com/maps/place/Romare+Bearden+Park/@35.1914488,-83.0846517,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+charlottesc!3m6!1s0x8856a02e8c5314ab:0x4d021414d3cb6d55!8m2!3d35.2270361!4d-80.847825!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJCTW1SdFJFTm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This public green space is often host to fitness & cultural arts programs, including live music."
"1654878774-1134","https://www.google.com/maps/place/Midwood+Smokehouse/@35.1899779,-80.9008717,12z/data=!4m9!1m2!2m1!1sfood+in+charlotte+sc!3m5!1s0x8856a0015da0d46b:0x6b18dec9e58a4c8f!8m2!3d35.2210244!4d-80.8148537!15sChRmb29kIGluIGNoYXJsb3R0ZSBzY1oWIhRmb29kIGluIGNoYXJsb3R0ZSBzY5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","Midwood Smokehouse","4.6","midwoodsmokehouse.com","1401 Central Ave, Charlotte, NC 28205","null","null","https://lh5.googleusercontent.com/p/AF1QipOVsZ20AdrANvrXDx0n-wgt-jjmZEj7JK-5rlAv=w408-h272-k-no","null"
"1654878826-1139","https://www.google.com/maps/place/Freedom+Park/@35.1914488,-83.0846517,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+charlottesc!3m6!1s0x88569fa49997c527:0xf938421ff56aab1c!8m2!3d35.1914488!4d-80.8434408!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0TTJJM2FXUm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A lakeside bandshell anchors this large park, which also has sports fields, a playground & trails."
"1654878795-1136","https://www.google.com/maps/place/Romare+Bearden+Park/@35.1914488,-83.0846517,8z/data=!3m1!5s0x8856a028656d48bd:0x7edf0a3a21bb6c45!4m6!1m2!2m1!1sthings+to+do+in+charlottesc!3m2!1s0x8856a02e8c5314ab:0x4d021414d3cb6d55!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJCTW1SdFJFTm5FQUU","Romare Bearden Park","4.7","mecknc.gov","300 S Church St, Charlotte, NC 28202","null","null","https://lh5.googleusercontent.com/p/AF1QipPOGLOoqYOS2Tef0fHtSyD5PZDdLjExrUIZPwXH=w408-h272-k-no","null"
"1654878857-1142","https://www.google.com/maps/place/Bechtler+Museum+of+Modern+Art/@35.9165793,-80.196045,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+charlottesc!3m2!1s0x8856a02935d02cbd:0x3d1743fc4e7596ce!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSARFtb2Rlcm5fYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGVqWnBSMTluUlJBQg","Bechtler Museum of Modern Art","4.4","bechtler.org","420 S Tryon St, Charlotte, NC 28202","null","null","https://lh5.googleusercontent.com/p/AF1QipNF7u-eH9Db6ZECes6GdAkgr4ZybwYzVXbfNtN5=w408-h273-k-no","null"
"1654878805-1137","https://www.google.com/maps/place/NASCAR+Hall+of+Fame/@35.1914488,-83.0846517,8z/data=!3m1!5s0x8856a028656d48bd:0x7edf0a3a21bb6c45!4m10!1m2!2m1!1sthings+to+do+in+charlottesc!3m6!1s0x8856a0287f1562c9:0xae5de43691fbcde9!8m2!3d35.2211366!4d-80.8439538!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBkMHhFY0ZOUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Shrine to stock-car drivers past & present plus a museum with interactive exhibits & a theater."
"1654878846-1141","https://www.google.com/maps/place/Bechtler+Museum+of+Modern+Art/@35.2244822,-83.0885388,8z/data=!3m1!5s0x8856a02eb38e238b:0x9b70ed1555eb5940!4m10!1m2!2m1!1sthings+to+do+in+charlottesc!3m6!1s0x8856a02935d02cbd:0x3d1743fc4e7596ce!8m2!3d35.2244822!4d-80.8473279!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSARFtb2Rlcm5fYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGVqWnBSMTluUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Mid-20th-century modern art displayed in an elegant 4-story building filled with natural light."
"1654878815-1138","https://www.google.com/maps/place/NASCAR+Hall+of+Fame/@35.1914488,-83.0846517,8z/data=!3m1!5s0x8856a028656d48bd:0x7edf0a3a21bb6c45!4m9!1m2!2m1!1sthings+to+do+in+charlottesc!3m5!1s0x8856a0287f1562c9:0xae5de43691fbcde9!8m2!3d35.2211366!4d-80.8439538!15sChx0aGluZ3MgdG8gZG8gaW4gY2hhcmxvdHRlIHNjWh4iHHRoaW5ncyB0byBkbyBpbiBjaGFybG90dGUgc2OSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBkMHhFY0ZOUkVBRQ","NASCAR Hall of Fame","4.6","nascarhall.com","400 E M.L.K. Jr Blvd, Charlotte, NC 28202","null","null","https://lh5.googleusercontent.com/p/AF1QipPVAKwHv4pIbqeglSZ5Rn49H9pWVEXwZ7Z9WUkI=w408-h306-k-no","null"
