web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879143-80","https://www.google.com/maps/place/Greensboro+Science+Center/@36.0500637,-79.4878295,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m5!1s0x88531c2ae24bf56f:0x8a12d5a4ce3e1e72!8m2!3d36.1296495!4d-79.8334197!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIYzB0UGNVVjNFQUU","Greensboro Science Center","4.7","greensboroscience.org","4301 Lawndale Dr, Greensboro, NC 27455","null","null","https://lh5.googleusercontent.com/p/AF1QipNNxFGcwQTfXPApsA5OvGPwq908tQigIJAEvP0U=w408-h306-k-no","null"
"1654879082-74","https://www.google.com/maps/place/Wet+'n+Wild+Emerald+Pointe+Water+Park/@36.1296495,-80.9540252,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m6!1s0x88531a06532c4e4d:0xa6bae96e940cc301!8m2!3d36.006983!4d-79.8381207!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBCndhdGVyX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjbkpIUzFGQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair rental","Amenities    Bar onsite   Good for kids   Restaurant","null","Water park with slides, 85-ft.-wide wave pool, kids' play areas & cabanas with table service."
"1654879133-79","https://www.google.com/maps/place/Greensboro+Science+Center/@36.1296495,-80.9540252,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m6!1s0x88531c2ae24bf56f:0x8a12d5a4ce3e1e72!8m2!3d36.1296495!4d-79.8334197!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIYzB0UGNVVjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Center boasting a 12-acre zoo, an aquarium & a hands-on museum plus a theatre with a 40-foot screen."
"1654879092-75","https://www.google.com/maps/place/Greensboro+Children's+Museum/@36.1296495,-80.9540252,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m6!1s0x88531927e7aead5d:0x5db87de03b0ac872!8m2!3d36.075226!4d-79.786074!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhORFY2TnpWQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","An educational museum with 20 permanent hands-on exhibits & a half-acre outdoor learning garden."
"1654879102-76","https://www.google.com/maps/place/Greensboro+Children's+Museum/@36.1296495,-80.9540252,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m5!1s0x88531927e7aead5d:0x5db87de03b0ac872!8m2!3d36.075226!4d-79.786074!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhORFY2TnpWQlJSQUI","Greensboro Children's Museum","4.4","gcmuseum.com","220 N Church St, Greensboro, NC 27401","null","null","https://lh5.googleusercontent.com/p/AF1QipPVCLg-DU6QV6lSVNHVJqLqipXRVMVfNNNGYFJ8=w408-h306-k-no","null"
"1654879062-72","https://www.google.com/maps/place/Bravo!+Italian+Kitchen/@36.0957344,-79.9273357,12z/data=!4m8!1m2!2m1!1sfood+in+greensboro+nc!3m4!1s0x88531bf9834bafff:0x36fb49818f646779!8m2!3d36.086081!4d-79.8383175","Bravo! Italian Kitchen","4.2","locations.bravoitalian.com","3324 W. Friendly Ave, Friendly Center Rd, Greensboro, NC 27410","null","null","https://lh5.googleusercontent.com/p/AF1QipMvmMjCpRW43fPb9xgTa8xec40ReJFczSHK3bxq=w408-h306-k-no","null"
"1654879123-78","https://www.google.com/maps/place/International+Civil+Rights+Center+%26+Museum/@36.1296495,-80.9540252,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m5!1s0x885319260692d009:0x908e0de9254008a4!8m2!3d36.0716424!4d-79.7904643!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMY0hSNVJYaEJSUkFC","International Civil Rights Center & Museum","4.8","sitinmovement.org","134 S Elm St, Greensboro, NC 27401","null","null","https://lh5.googleusercontent.com/p/AF1QipOy_Eha7q9vHlVtTb1CUb4c-qi32twQ1cBZIi4_=w408-h306-k-no","null"
"1654879113-77","https://www.google.com/maps/place/International+Civil+Rights+Center+%26+Museum/@36.1296495,-80.9540252,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m6!1s0x885319260692d009:0x908e0de9254008a4!8m2!3d36.0716424!4d-79.7904643!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMY0hSNVJYaEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Archives & exhibits on the Civil Rights Movement at the site of the historic Greensboro sit-ins."
"1654879072-73","https://www.google.com/maps/place/Wet+'n+Wild+Emerald+Pointe+Water+Park/@36.1296495,-80.9540252,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+greensboro+nc!3m5!1s0x88531a06532c4e4d:0xa6bae96e940cc301!8m2!3d36.006983!4d-79.8381207!15sCh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY1ofIh10aGluZ3MgdG8gZG8gaW4gZ3JlZW5zYm9ybyBuY5IBCndhdGVyX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjbkpIUzFGQkVBRQ","Wet 'n Wild Emerald Pointe Water Park","4.3","emeraldpointe.com","3910 S Holden Rd, Greensboro, NC 27406","null","null","https://lh5.googleusercontent.com/p/AF1QipMaPRr3N0R5LM4ZcCNTI930QiWLjmqxiyuGXFMU=w408-h340-k-no","null"
"1654879051-71","https://www.google.com/maps/place/Bravo!+Italian+Kitchen/@36.0957344,-79.9273357,12z/data=!4m9!1m2!2m1!1sfood+in+greensboro+nc!3m5!1s0x88531bf9834bafff:0x36fb49818f646779!8m2!3d36.086081!4d-79.8383175!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Upscale-casual Italian chain serving pasta, grilled dishes, pizza & cocktails amid Roman-ruin decor."
