web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878507-1131","https://www.google.com/maps/place/Marbles+Kids+Museum/@35.820715,-78.9711728,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m6!1s0x89ac5f6d6dd6e443:0x8c5ab60ec363cc86!8m2!3d35.7783148!4d-78.6364425!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNMlIyTURaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Children's museum featuring a wide variety of interactive displays for toddlers & school-age kids."
"1654878497-1130","https://www.google.com/maps/place/Pullen+Park/@35.820715,-78.9711728,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m2!1s0x89acf585e3016375:0xb8a1d3df4ee01ff3!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TlZrM2EyTjNFQUU","Pullen Park","4.7","raleighnc.gov","520 Ashe Ave, Raleigh, NC 27606","null","null","https://lh5.googleusercontent.com/p/AF1QipPh7p7p92cctc18UpSWLRhRFSjF5ZVrnUavX3VS=w408-h306-k-no","null"
"1654878435-1124","https://www.google.com/maps/place/Sitti/@35.7820397,-78.6562433,15z/data=!4m9!1m2!2m1!1sfood+in+raleigh+scs!3m5!1s0x89ac5f6d8e05dbd7:0x151305f96f7e0f7e!8m2!3d35.7783752!4d-78.637944!15sChNmb29kIGluIHJhbGVpZ2ggc2NzWhUiE2Zvb2QgaW4gcmFsZWlnaCBzY3OSARNsZWJhbmVzZV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU56T1U5UFoxSjNFQUU","Sitti","4.5","sitti-raleigh.com","137 S Wilmington St, Raleigh, NC 27601","null","null","https://lh5.googleusercontent.com/p/AF1QipNr1JPYPMVTcDHjF4rLVUaNIcNzqOCmH3cnVwDh=w408-h306-k-no","null"
"1654878425-1123","https://www.google.com/maps/place/Sitti/@35.7820397,-78.6562433,15z/data=!4m10!1m2!2m1!1sfood+in+raleigh+scs!3m6!1s0x89ac5f6d8e05dbd7:0x151305f96f7e0f7e!8m2!3d35.7783752!4d-78.637944!10e1!15sChNmb29kIGluIHJhbGVpZ2ggc2NzWhUiE2Zvb2QgaW4gcmFsZWlnaCBzY3OSARNsZWJhbmVzZV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU56T1U5UFoxSjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs","null","Modern versions of Lebanese dishes served in an airy room with a communal table & art deco bar."
"1654878446-1125","https://www.google.com/maps/place/Mordecai+Historic+Park/@35.820715,-78.9711728,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m6!1s0x89ac5f3f4f53b47f:0xbe1ece09ca749f78!8m2!3d35.792825!4d-78.6331444!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJkbU10ZWxCM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park grounds feature President Andrew Johnson's birthplace, a historic house museum & trolley tours."
"1654878456-1126","https://www.google.com/maps/place/Mordecai+Historic+Park/@35.820715,-78.9711728,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m5!1s0x89ac5f3f4f53b47f:0xbe1ece09ca749f78!8m2!3d35.792825!4d-78.6331444!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJkbU10ZWxCM0VBRQ","Mordecai Historic Park","4.6","raleighnc.gov","1 Mimosa St, Raleigh, NC 27604","null","null","https://lh5.googleusercontent.com/p/AF1QipPToiEc2XQ94yR2yLrRtHYdsPf4UAWzJjN9HpDs=w408-h544-k-no","null"
"1654878466-1127","https://www.google.com/maps/place/North+Carolina+Museum+of+Natural+Sciences/@35.820715,-78.9711728,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m6!1s0x89ac5f6c191dfca3:0x890017d89d12f83e!8m2!3d35.7821824!4d-78.6392974!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9UaGlUVVJCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Exhibits on NC's geology, flora & fauna, plus fossil collections, 3D films & live-animal programs."
"1654878518-1132","https://www.google.com/maps/place/Marbles+Kids+Museum/@35.820715,-78.9711728,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m2!1s0x89ac5f6d6dd6e443:0x8c5ab60ec363cc86!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNMlIyTURaUlJSQUI","Marbles Kids Museum","4.8","marbleskidsmuseum.org","201 E Hargett St, Raleigh, NC 27601","null","null","https://lh5.googleusercontent.com/p/AF1QipPv7jHrgbG8kVroHylWtE4aGXTiocU7J0P3hLHE=w408-h272-k-no","null"
"1654878487-1129","https://www.google.com/maps/place/Pullen+Park/@35.820715,-78.9711728,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m6!1s0x89acf585e3016375:0xb8a1d3df4ee01ff3!8m2!3d35.779292!4d-78.662759!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TlZrM2EyTjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","5th-oldest amusement park in the U.S., with a carousel, mini-train, paddle boats, playground & more."
"1654878476-1128","https://www.google.com/maps/place/North+Carolina+Museum+of+Natural+Sciences/@35.820715,-78.9711728,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+raleigh+sc!3m5!1s0x89ac5f6c191dfca3:0x890017d89d12f83e!8m2!3d35.7821824!4d-78.6392974!15sChp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY1ocIhp0aGluZ3MgdG8gZG8gaW4gcmFsZWlnaCBuY5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9UaGlUVVJCRUFF","North Carolina Museum of Natural Sciences","4.8","naturalsciences.org","11 W Jones St, Raleigh, NC 27601","null","null","https://lh5.googleusercontent.com/p/AF1QipMB2EsiQbL705zWJVKBY35rvXB9F9H1MsKc101-=w408-h272-k-no","null"
