web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878985-1145","https://www.google.com/maps/place/The+Southeastern+Center+for+Contemporary+Art/@36.1523299,-80.5792305,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m6!1s0x8853b1f051b93895:0xc8aec3b637b59b02!8m2!3d36.1198308!4d-80.2901434!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljM0JZUlhCblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Avant-garde artwork & multimedia exhibited in a modern architectural space within a historic estate."
"1654879006-1147","https://www.google.com/maps/place/Kaleideum+North/@36.1523299,-80.5792305,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m6!1s0x8853b29cc1e53bc9:0x23ad8ae4cf225acc!8m2!3d36.1831704!4d-80.2805229!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUE4wcE1SRTluRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Science museum offering interactive exhibits & an environmental park with animal habitats & gardens."
"1654878995-1146","https://www.google.com/maps/place/The+Southeastern+Center+for+Contemporary+Art/@36.1523299,-80.5792305,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m5!1s0x8853b1f051b93895:0xc8aec3b637b59b02!8m2!3d36.1198308!4d-80.2901434!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljM0JZUlhCblJSQUI","The Southeastern Center for Contemporary Art","4.7","secca.org","750 Marguerite Dr, Winston-Salem, NC 27106","null","null","https://lh5.googleusercontent.com/p/AF1QipOwQFX5QFWSJcF4mUkG0aPhuLzeWVf_6QYOgcaU=w408-h272-k-no","null"
"1654878975-1144","https://www.google.com/maps/place/Midtown+Cafe+and+Dessertery/@36.0892825,-80.3587323,12z/data=!4m8!1m2!2m1!1sfood+in+winston-salem+sc!3m4!1s0x8853b1d7edf985e5:0xb46db64873bb6fc6!8m2!3d36.0944086!4d-80.2775157","Midtown Cafe and Dessertery","4.4","midtowncafews.com","151 S Stratford Rd, Winston-Salem, NC 27104","null","null","https://lh5.googleusercontent.com/p/AF1QipMcNU3PL-U2A771ywXEmBrkRCTWHPgJRjVrNJ87=w426-h240-k-no","null"
"1654879026-1149","https://www.google.com/maps/place/Historic+Bethabara+Park/@36.1523299,-80.5792305,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m6!1s0x8853b26a9debd45f:0x6c9076199d3e2da9!8m2!3d36.1523299!4d-80.2990791!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkRNSEZNWkhaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This 1753 Moravian historical site within a wildlife preserve has a reconstructed village & church."
"1654879047-1151","https://www.google.com/maps/place/Reynolda+House+Museum+of+American+Art/@36.1007257,-80.3850579,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m6!1s0x8853b1feb59bf823:0xb789964c9d567553!8m2!3d36.1257857!4d-80.2824839!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTlgzRnFkVEpuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","null","null","Historic mansion with gardens showcasing American art from 1755 to present, plus rotating exhibits."
"1654878964-1143","https://www.google.com/maps/place/Midtown+Cafe+and+Dessertery/@36.0892825,-80.3587323,12z/data=!4m9!1m2!2m1!1sfood+in+winston-salem+sc!3m5!1s0x8853b1d7edf985e5:0xb46db64873bb6fc6!8m2!3d36.0944086!4d-80.2775157!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual bakery & restaurant featuring classic breakfasts & hearty comfort food, plus prepared foods."
"1654879057-1152","https://www.google.com/maps/place/Reynolda+House+Museum+of+American+Art/@36.1007257,-80.3850579,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m5!1s0x8853b1feb59bf823:0xb789964c9d567553!8m2!3d36.1257857!4d-80.2824839!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTlgzRnFkVEpuUlJBQg","Reynolda House Museum of American Art","4.6","reynolda.org","2250 Reynolda Rd, Winston-Salem, NC 27106","null","null","https://lh5.googleusercontent.com/p/AF1QipMBgeo1e6vTgeV50sD7CSRWIrRaJGP2d48MjWVB=w408-h271-k-no","null"
"1654879016-1148","https://www.google.com/maps/place/Kaleideum+North/@36.1523299,-80.5792305,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m2!1s0x8853b29cc1e53bc9:0x23ad8ae4cf225acc!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUE4wcE1SRTluRUFF","Kaleideum North","4.2","north.kaleideum.org","400 W Hanes Mill Rd, Winston-Salem, NC 27105","null","null","https://lh5.googleusercontent.com/p/AF1QipMHTNZuGXiJoR0bsOfk1u1kS-nni-BvuFcyOPBp=w408-h271-k-no","null"
"1654879036-1150","https://www.google.com/maps/place/Historic+Bethabara+Park/@36.1007257,-80.3850579,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+winston-salem+sc!3m5!1s0x8853b26a9debd45f:0x6c9076199d3e2da9!8m2!3d36.1523299!4d-80.2990791!15sCiB0aGluZ3MgdG8gZG8gaW4gd2luc3Rvbi1zYWxlbSBzY1oiIiB0aGluZ3MgdG8gZG8gaW4gd2luc3RvbiBzYWxlbSBzY5IBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkRNSEZNWkhaUlJSQUI","Historic Bethabara Park","4.7","historicbethabara.org","2147 Bethabara Rd, Winston-Salem, NC 27106","null","null","https://lh5.googleusercontent.com/p/AF1QipNkiNdmK960iJ542gVldeeJK0RqmQAQ_Rf9JLFT=w408-h510-k-no","null"
