web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878013-1112","https://www.google.com/maps/place/SuperSlide+Amusement+Park/@46.8502944,-101.0473651,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m2!1s0x52d78360c987baa9:0x33cf7142cc358fc4!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmJrOUROWFIzUlJBQg","SuperSlide Amusement Park","4.5","ndsuperslide.com","500 Riverside Park Rd, Bismarck, ND 58504","null","null","https://lh5.googleusercontent.com/p/AF1QipMbIFAoqszxeb0oJL4mphSmHTw4ms5wNU6b-ftl=w408-h544-k-no","null"
"1654878003-1111","https://www.google.com/maps/place/SuperSlide+Amusement+Park/@46.8502944,-101.0473651,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m6!1s0x52d78360c987baa9:0x33cf7142cc358fc4!8m2!3d46.8022675!4d-100.8064409!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmJrOUROWFIzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Kid-oriented attraction with a giant slide, a Ferris wheel, mini-golf, go karts & concessions."
"1654877992-1110","https://www.google.com/maps/place/Dakota+Zoo/@46.8502944,-101.0473651,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m5!1s0x52d783615180c12b:0x17765924d9bf0c36!8m2!3d46.7994838!4d-100.8067539!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlpNRjlxYm1GbkVBRQ","Dakota Zoo","4.6","dakotazoo.org","602 Riverside Park Rd, Bismarck, ND 58504","null","null","https://lh5.googleusercontent.com/p/AF1QipP9diJEVZrEtMOQ3akehmb4M0xUahtWZ7frgrcu=w408-h306-k-no","null"
"1654877961-1107","https://www.google.com/maps/place/Buckstop+Junction/@46.8502944,-101.0473651,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m6!1s0x52d782b9a8600767:0x7ac4757e5853aa0!8m2!3d46.8067643!4d-100.7257861!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQ9vcGVuX2Fpcl9tdXNldW0","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic buildings dating from 1875 to 1935 moved to this site with history exhibits & information."
"1654877920-1103","https://www.google.com/maps/place/Space+Aliens+Grill+%26+Bar/@46.8252224,-100.8197465,13z/data=!4m10!1m2!2m1!1sfood+in+bismark+nd!3m6!1s0x52d7831382ea74f5:0x2540dc203ff287ef!8m2!3d46.838546!4d-100.7719706!10e1!15sChNmb29kIGluIGJpc21hcmNrIG5kWhUiE2Zvb2QgaW4gYmlzbWFyY2sgbmSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TXkxeE5uZFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs","null","Mini-chain family eatery with an outer-space theme serving burgers, BBQ & galactic comfort food."
"1654877941-1105","https://www.google.com/maps/place/North+Dakota+Heritage+Center+%26+State+Museum/@46.8502944,-101.0473651,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m6!1s0x52d7830643af30f1:0xeaeebc746b2993c3!8m2!3d46.819224!4d-100.7788113!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTRibVZIU1ZwUkVBRQ","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","State history museum offering exhibits on the state's geologic prehistory, early peoples & culture."
"1654877951-1106","https://www.google.com/maps/place/North+Dakota+Heritage+Center+%26+State+Museum/@46.8502944,-101.0473651,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m5!1s0x52d7830643af30f1:0xeaeebc746b2993c3!8m2!3d46.819224!4d-100.7788113!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTRibVZIU1ZwUkVBRQ","North Dakota Heritage Center & State Museum","4.8","statemuseum.nd.gov","612 E Boulevard Ave, Bismarck, ND 58505","null","null","//lh5.googleusercontent.com/proxy/Dy46z0YLv2dsqWkedrPpt7vGwE5YR3ap-ptDbA1MrXmwHGYffMhgfGW1VXS_XD-sHtHjGq8SzkDKWMdKjbPSCeln6PQxWr8TPpjiGCrhRMiVkS9nb6PObC0WKXr2g0oKjUdvfTQlVLV1SbJdC-DAk4nDTK8y67o=w408-h272-k-no","null"
"1654877930-1104","https://www.google.com/maps/place/Space+Aliens+Grill+%26+Bar/@46.8252224,-100.8197465,13z/data=!4m9!1m2!2m1!1sfood+in+bismark+nd!3m5!1s0x52d7831382ea74f5:0x2540dc203ff287ef!8m2!3d46.838546!4d-100.7719706!15sChNmb29kIGluIGJpc21hcmNrIG5kWhUiE2Zvb2QgaW4gYmlzbWFyY2sgbmSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TXkxeE5uZFJSUkFC","Space Aliens Grill & Bar","4.2","spacealiens.com","1304 E Century Ave, Bismarck, ND 58503","null","null","https://lh5.googleusercontent.com/p/AF1QipNNMlLuu0Z0oV-_6dKYiyutKON8hHk5cdXzBxXs=w408-h306-k-no","null"
"1654877982-1109","https://www.google.com/maps/place/Dakota+Zoo/@46.8502944,-101.0473651,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m6!1s0x52d783615180c12b:0x17765924d9bf0c36!8m2!3d46.7994838!4d-100.8067539!10e1!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlpNRjlxYm1GbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","With 600 animals of 125 species, this zoo features tigers, grizzlies & a large grazing animal area."
"1654877972-1108","https://www.google.com/maps/place/Buckstop+Junction/@46.8502944,-101.0473651,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+bismarck+north+dakota!3m2!1s0x52d782b9a8600767:0x7ac4757e5853aa0!15sCiV0aGluZ3MgdG8gZG8gaW4gYmlzbWFyY2sgbm9ydGggZGFrb3RhWiciJXRoaW5ncyB0byBkbyBpbiBiaXNtYXJjayBub3J0aCBkYWtvdGGSAQ9vcGVuX2Fpcl9tdXNldW0","Buckstop Junction","4.3","buckstopjunction.org","3805 E Bismarck Expy, Bismarck, ND 58501","null","null","https://lh5.googleusercontent.com/p/AF1QipOVqfbFBX7voKHWyIgboNcP7Ui5fgblya1e_NV6=w408-h306-k-no","null"
