web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654877918-28","https://www.google.com/maps/place/Fargo+Air+Museum/@46.8717965,-96.990821,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fargo+nd!3m5!1s0x52c8ca287f450993:0x25f10942d1dfff23!8m2!3d46.9054892!4d-96.804047!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTmpobU1tNUJSUkFC","Fargo Air Museum","4.5","fargoairmuseum.org","1609 19th Ave N, Fargo, ND 58102","null","null","https://lh5.googleusercontent.com/p/AF1QipNahEsXoUFEmMfiiLWaIEEDN70SClQqw9YeiNPB=w408-h273-k-no","null"
"1654877898-26","https://www.google.com/maps/place/Plains+Art+Museum/@46.8717965,-96.990821,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fargo+nd!3m5!1s0x52c8c96079435ee1:0xb823e4d23d2ed98b!8m2!3d46.876902!4d-96.791834!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU52TFhKbFpFRlJFQUU","Plains Art Museum","4.6","plainsart.org","704 1st Ave N, Fargo, ND 58102","null","null","https://lh5.googleusercontent.com/p/AF1QipP1HFaWsj9I89NgQQ4UTjtQcZlZy66vX42FA4yC=w426-h240-k-no","null"
"1654877908-27","https://www.google.com/maps/place/Fargo+Air+Museum/@46.8717965,-96.990821,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fargo+nd!3m6!1s0x52c8ca287f450993:0x25f10942d1dfff23!8m2!3d46.9054892!4d-96.804047!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTmpobU1tNUJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Hangar-based collection of vintage & new aircraft (some still flying), engines & related exhibits."
"1654877857-22","https://www.google.com/maps/place/Doolittles+Woodfire+Grill/@46.8759169,-96.90427,12z/data=!4m9!1m2!2m1!1sfood+in+fargo+nd!3m5!1s0x52c8cc704aa76981:0x53216be3b8d8e291!8m2!3d46.84621!4d-96.8191987!15sChBmb29kIGluIGZhcmdvIG5kWhIiEGZvb2QgaW4gZmFyZ28gbmSSARNhbWVyaWNhbl9yZXN0YXVyYW50","Doolittles Woodfire Grill","4.5","doolittles.com","2112 25th St SW, Fargo, ND 58103","null","null","https://lh5.googleusercontent.com/p/AF1QipOXvIjh7KRKx7e0L7nhz4SeWILkvHYs38JRcUp8=w431-h240-k-no","null"
"1654877847-21","https://www.google.com/maps/place/Doolittles+Woodfire+Grill/@46.8759169,-96.90427,12z/data=!4m10!1m2!2m1!1sfood+in+fargo+nd!3m6!1s0x52c8cc704aa76981:0x53216be3b8d8e291!8m2!3d46.84621!4d-96.8191987!10e1!15sChBmb29kIGluIGZhcmdvIG5kWhIiEGZvb2QgaW4gZmFyZ28gbmSSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","American eatery offering rotisserie-grilled meats and a lengthy wine list in a warm, refined space."
"1654877867-23","https://www.google.com/maps/place/Northern+Plains+Botanic+Garden+Society+-+Fargo/@46.8717965,-96.990821,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fargo+nd!3m6!1s0x52c8c98c6f99dc01:0xc0fb9729814123e2!8m2!3d46.9129698!4d-96.7960723!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEQYm90YW5pY2FsX2dhcmRlbg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Picturesque botanic garden offering an arboretum, butterfly garden & more, plus events & classes."
"1654877929-29","https://www.google.com/maps/place/Red+River+Zoo/@46.8717965,-96.990821,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fargo+nd!3m6!1s0x52c8cca2c5c466b3:0xd70297c20bfa359d!8m2!3d46.8448037!4d-96.8547528!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTVRaRU1HeFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","A former ranch that now features 300 animals from similar climates, including red pandas & meerkats."
"1654877888-25","https://www.google.com/maps/place/Plains+Art+Museum/@46.8717965,-96.990821,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fargo+nd!3m6!1s0x52c8c96079435ee1:0xb823e4d23d2ed98b!8m2!3d46.876902!4d-96.791834!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU52TFhKbFpFRlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Airy museum featuring regional Native American, folk & contemporary art, plus programs & lectures."
"1654877878-24","https://www.google.com/maps/place/Northern+Plains+Botanic+Garden+Society+-+Fargo/@46.8717965,-96.990821,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fargo+nd!3m5!1s0x52c8c98c6f99dc01:0xc0fb9729814123e2!8m2!3d46.9129698!4d-96.7960723!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEQYm90YW5pY2FsX2dhcmRlbg","Northern Plains Botanic Garden Society - Fargo","4.5","npbotanicgarden.com","1211 28th Ave N, Fargo, ND 58102","null","null","https://lh5.googleusercontent.com/p/AF1QipN49JdGhrjJ2qtOTtXyidq3kX3Trh3qVBwOwjrY=w408-h306-k-no","null"
"1654877939-30","https://www.google.com/maps/place/Red+River+Zoo/@46.8717965,-96.990821,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fargo+nd!3m5!1s0x52c8cca2c5c466b3:0xd70297c20bfa359d!8m2!3d46.8448037!4d-96.8547528!15sChh0aGluZ3MgdG8gZG8gaW4gZmFyZ28gbmRaGiIYdGhpbmdzIHRvIGRvIGluIGZhcmdvIG5kkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTVRaRU1HeFJSUkFC","Red River Zoo","4.4","redriverzoo.org","4255 23rd Ave S, Fargo, ND 58104","null","null","https://lh5.googleusercontent.com/p/AF1QipOltrqqUuKkOuP3_3ChX3zxHmJcGmpKaXTccSsF=w426-h240-k-no","null"
