web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878094-38","https://www.google.com/maps/place/Grand+Forks+County+Historical+Society/@47.915078,-97.3777476,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m5!1s0x52c68724dd0d06b9:0x2ba5a0a7ee956fe3!8m2!3d47.8964985!4d-97.0276337!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEGbXVzZXVt","Grand Forks County Historical Society","4.7","grandforkshistory.com","2405 Belmont Rd, Grand Forks, ND 58201","null","null","https://lh5.googleusercontent.com/p/AF1QipPcr2hOCJl7klJNu4TDQDsiNLFyKIO9zdWn7AAu=w408-h305-k-no","null"
"1654878084-37","https://www.google.com/maps/place/Grand+Forks+County+Historical+Society/@47.915078,-97.3777476,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m6!1s0x52c68724dd0d06b9:0x2ba5a0a7ee956fe3!8m2!3d47.8964985!4d-97.0276337!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEGbXVzZXVt","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historical restored buildings & museums on land owned by a former wheat farming family."
"1654878063-35","https://www.google.com/maps/place/North+Dakota+Museum+of+Art/@47.915078,-97.3777476,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m6!1s0x52c6813e24fb8315:0xf40ed0a9604f26ed!8m2!3d47.919125!4d-97.0737689!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSQk4wbFRUMlpuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","State museum exhibiting contemporary art on the campus of the University of North Dakota."
"1654878043-33","https://www.google.com/maps/place/Sertoma+Park/@47.915078,-97.3777476,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m6!1s0x52c681199839f9bb:0x611c6276810f6858!8m2!3d47.9103473!4d-97.0754872!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMk9HUlRiR2RuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","22-acre park with Japanese gardens & a meditation area, plus picnic shelters, a playground & trails."
"1654878104-39","https://www.google.com/maps/place/Splashers+of+the+South+Seas/@47.915078,-97.3777476,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m6!1s0x52c68108b3f25655:0xdaac7c26d751606f!8m2!3d47.9123889!4d-97.0903143!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEKd2F0ZXJfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9VNXVjV1YzRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Indoor water park at a hotel resort with slides, pools, a lazy river, hot tub & play area."
"1654878114-40","https://www.google.com/maps/place/Splashers+of+the+South+Seas/@47.915078,-97.3777476,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m5!1s0x52c68108b3f25655:0xdaac7c26d751606f!8m2!3d47.9123889!4d-97.0903143!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEKd2F0ZXJfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9VNXVjV1YzRUFF","Splashers of the South Seas","4.2","canadinns.com","1000 S 42nd St, Grand Forks, ND 58201","null","null","https://lh5.googleusercontent.com/p/AF1QipOz_IoFSl-VACl21l0UcpRPH9hCOEGd86EmDKeQ=w426-h240-k-no","null"
"1654878053-34","https://www.google.com/maps/place/Sertoma+Park/@47.915078,-97.3777476,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m5!1s0x52c681199839f9bb:0x611c6276810f6858!8m2!3d47.9103473!4d-97.0754872!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMk9HUlRiR2RuUlJBQg","Sertoma Park","4.5","gfparks.org","3300 11th Ave S, Grand Forks, ND 58201","null","null","https://lh5.googleusercontent.com/p/AF1QipPZ4Q7t3Rqn6oO2-m8Q700_vUUmS5yvbjap7ksq=w408-h306-k-no","null"
"1654878074-36","https://www.google.com/maps/place/North+Dakota+Museum+of+Art/@47.915078,-97.3777476,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+grand+forks+nd!3m5!1s0x52c6813e24fb8315:0xf40ed0a9604f26ed!8m2!3d47.919125!4d-97.0737689!15sCh50aGluZ3MgdG8gZG8gaW4gZ3JhbmQgZm9ya3MgbmRaICIedGhpbmdzIHRvIGRvIGluIGdyYW5kIGZvcmtzIG5kkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSQk4wbFRUMlpuRUFF","North Dakota Museum of Art","4.6","ndmoa.com","261 Centennial Dr, Grand Forks, ND 58202","null","null","https://lh5.googleusercontent.com/p/AF1QipOQXMP-EMwNryCoI-h0jInSaLa1vVs87M8q2QmR=w408-h271-k-no","null"
"1654878023-31","https://www.google.com/maps/place/Ground+Round+Grill+%26+Bar-Grand+Forks,+ND/@47.9099694,-97.0958784,13z/data=!4m10!1m2!2m1!1sfood+in+grand+forks+nd!3m6!1s0x52c680e91e50ee0f:0x60558c2f5b188e91!8m2!3d47.8901511!4d-97.0694177!10e1!15sChZmb29kIGluIGdyYW5kIGZvcmtzIG5kWhgiFmZvb2QgaW4gZ3JhbmQgZm9ya3MgbmSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYjNKVFkzSkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Family-friendly chain eatery with a broad menu of standards & cocktails in a relaxed setting."
"1654878033-32","https://www.google.com/maps/place/Ground+Round+Grill+%26+Bar-Grand+Forks,+ND/@47.9099694,-97.0958784,13z/data=!4m9!1m2!2m1!1sfood+in+grand+forks+nd!3m5!1s0x52c680e91e50ee0f:0x60558c2f5b188e91!8m2!3d47.8901511!4d-97.0694177!15sChZmb29kIGluIGdyYW5kIGZvcmtzIG5kWhgiFmZvb2QgaW4gZ3JhbmQgZm9ya3MgbmSSAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYjNKVFkzSkJSUkFC","Ground Round Grill & Bar-Grand Forks, ND","4.1","gfgroundround.com","2800 32nd Ave S #6026, Grand Forks, ND 58201","null","null","https://lh5.googleusercontent.com/p/AF1QipNbmNFIQYqU0QMfBjARjKDMSadZSTM6BgwLiZQP=w426-h240-k-no","null"
