web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878201-1118","https://www.google.com/maps/place/Taube+Museum+of+Art/@48.2341451,-101.4107927,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m5!1s0x52df2a197e073fff:0x7702ddc097da2c06!8m2!3d48.236523!4d-101.2932777!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBNbEJ4U0hKblJSQUI","Taube Museum of Art","4.5","taubemuseum.org","2 Main St N, Minot, ND 58703","null","null","https://lh5.googleusercontent.com/p/AF1QipNzvZFQbsJadxGSWmqdaSDoa8IlhG_58GV2CPkF=w408-h241-k-no","null"
"1654878222-1120","https://www.google.com/maps/place/Dakota+Territory+Air+Museum/@48.2341451,-101.4107927,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m2!1s0x52df2aff03091a83:0xdf9176840911f540!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhPV1poWjFsUkVBRQ","Dakota Territory Air Museum","4.7","dakotaterritoryairmuseum.com","100 34th Ave NE, Minot, ND 58703","null","null","https://lh5.googleusercontent.com/p/AF1QipNCJv73WFWJnhYwX_7lLFEbARb-3I83Af3cVj9K=w408-h272-k-no","null"
"1654878150-1113","https://www.google.com/maps/place/Ground+Round/@48.2162552,-101.324472,13z/data=!4m10!1m2!2m1!1sfood+in+minot+nd!3m6!1s0x52ded5f3bbe480f1:0xac38b3b011dc78b1!8m2!3d48.2285622!4d-101.2605402!10e1!15sChBmb29kIGluIG1pbm90IG5kWhIiEGZvb2QgaW4gbWlub3QgbmSSAQ1iYXJfYW5kX2dyaWxsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZFdacGJFeG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Family-friendly chain eatery with a broad menu of standards & cocktails in a relaxed setting."
"1654878160-1114","https://www.google.com/maps/place/Ground+Round/@48.2162552,-101.324472,13z/data=!4m9!1m2!2m1!1sfood+in+minot+nd!3m5!1s0x52ded5f3bbe480f1:0xac38b3b011dc78b1!8m2!3d48.2285622!4d-101.2605402!15sChBmb29kIGluIG1pbm90IG5kWhIiEGZvb2QgaW4gbWlub3QgbmSSAQ1iYXJfYW5kX2dyaWxsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZFdacGJFeG5FQUU","Ground Round","4.1","mygroundround.com","2110 E Burdick Expy, Minot, ND 58701","null","null","https://lh5.googleusercontent.com/p/AF1QipOrSyRExOrjmc5D0WZyOxikJ0bv97afNDX-5yE_=w408-h271-k-no","null"
"1654878170-1115","https://www.google.com/maps/place/Scandinavian+Heritage+Association/@48.2341451,-101.4107927,11z/data=!3m1!5s0x52df2a3fcb51673b:0x36170f4426df8f3e!4m10!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m6!1s0x52df2a3e2f0e7721:0xba89f93b6a4c5a5c!8m2!3d48.225706!4d-101.296425!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSARthc3NvY2lhdGlvbl9vcl9vcmdhbml6YXRpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRlR1pMYzBSQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Tribute to Norse heritage in parkland displaying a Norwegian wooden stave church & Danish windmill."
"1654878242-1122","https://www.google.com/maps/place/Roosevelt+Park+Zoo/@48.2341451,-101.4107927,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m2!1s0x52df2a08582b059f:0x9de62125bfbed0a!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXllVkJNWjBKM0VBRQ","Roosevelt Park Zoo","4.5","rpzoo.com","1219 E Burdick Expy, Minot, ND 58701","null","null","https://lh5.googleusercontent.com/p/AF1QipPsz2fYsBSXJIXcUsmIhaRHRyudesnQ6TIH5fX-=w408-h271-k-no","null"
"1654878232-1121","https://www.google.com/maps/place/Roosevelt+Park+Zoo/@48.2341451,-101.4107927,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m6!1s0x52df2a08582b059f:0x9de62125bfbed0a!8m2!3d48.2335717!4d-101.2761541!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXllVkJNWjBKM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Local zoo housing several big cats, bears, bison, river otters & a variety of reptiles & birds."
"1654878180-1116","https://www.google.com/maps/place/Scandinavian+Heritage+Association/@48.2341451,-101.4107927,11z/data=!3m1!5s0x52df2a3fcb51673b:0x36170f4426df8f3e!4m9!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m5!1s0x52df2a3e2f0e7721:0xba89f93b6a4c5a5c!8m2!3d48.225706!4d-101.296425!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSARthc3NvY2lhdGlvbl9vcl9vcmdhbml6YXRpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRlR1pMYzBSQkVBRQ","Scandinavian Heritage Association","4.7","scandinavianheritage.org","1020 S Broadway, Minot, ND 58701","null","null","https://lh5.googleusercontent.com/p/AF1QipPgrHToMol81RsE7Zy5ghn6D0cq2l9aBm4j3SoI=w408-h382-k-no","null"
"1654878191-1117","https://www.google.com/maps/place/Taube+Museum+of+Art/@48.2341451,-101.4107927,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m6!1s0x52df2a197e073fff:0x7702ddc097da2c06!8m2!3d48.236523!4d-101.2932777!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBNbEJ4U0hKblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Long-running community museum featuring a charming collection of contemporary art & sculpture."
"1654878211-1119","https://www.google.com/maps/place/Dakota+Territory+Air+Museum/@48.2341451,-101.4107927,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+minot+north+dakota!3m6!1s0x52df2aff03091a83:0xdf9176840911f540!8m2!3d48.2720472!4d-101.2896697!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gbWlub3Qgbm9ydGggZGFrb3RhWiQiInRoaW5ncyB0byBkbyBpbiBtaW5vdCBub3J0aCBkYWtvdGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhPV1poWjFsUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Museum exhibiting historic military & civilian aircraft, plus aviation-related photos & memorabilia."
