web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878697-54","https://www.google.com/maps/place/Davidson+Park/@47.9992646,-113.005405,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+williston+nd!3m5!1s0x53215c8543b7c719:0x59c8cfb703cbe042!8m2!3d48.1560681!4d-103.6406368!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41ZVUxSGFTMVJSUkFC","Davidson Park","4.5","willistonparks.com","11th St W & 9th Ave W, Williston, ND 58801","null","null","https://lh5.googleusercontent.com/p/AF1QipNpuzzcc7HSNv-YlJCrAq8ZPyZfxRFhsTn2Fzd0=w408-h726-k-no","null"
"1654878738-58","https://www.google.com/maps/place/Spring+Lake+Park/@47.9992646,-113.005405,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+williston+nd!3m5!1s0x53215d32b47aa243:0x864c74e1536262b4!8m2!3d48.2018042!4d-103.618575!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5wY3pkVWJsWlJFQUU","Spring Lake Park","4.6","willistonparks.com","5906 2nd Ave W, Williston, ND 58801","null","null","https://lh5.googleusercontent.com/p/AF1QipPnK8bvKJkZFqPY86PDnMs48Vba59neEiC14CU-=w408-h905-k-no","null"
"1654878728-57","https://www.google.com/maps/place/Spring+Lake+Park/@47.9992646,-113.005405,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+williston+nd!3m6!1s0x53215d32b47aa243:0x864c74e1536262b4!8m2!3d48.2018042!4d-103.618575!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5wY3pkVWJsWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Public park with children's facilities, a dog park, maze & direct access to the lake."
"1654878758-60","https://www.google.com/maps/place/Fort+Union+Trading+Post+National+Historic+Site/@47.9992646,-113.005405,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+williston+nd!3m5!1s0x5323f1c0457c38cf:0x31e2d875604a4461!8m2!3d47.9992646!4d-104.0405613!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGVEVkhXVWQzRUFF","Fort Union Trading Post National Historic Site","4.7","nps.gov","15550 ND-1804, Williston, ND 58801","null","null","https://lh5.googleusercontent.com/p/AF1QipN1KNC4B5vw-Fy0eHzYgKzfG5m1FaANVmJ11Plu=w408-h726-k-no","null"
"1654878707-55","https://www.google.com/maps/place/Fort+Buford+State+Historic+Site/@47.9992646,-113.005405,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+williston+nd!3m6!1s0x5323f05fec975139:0xdc55c872d724cf36!8m2!3d47.987658!4d-104.0004129!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZVdFMlgxQjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Historic site featuring a 19th-century military post with a museum in the officers' quarters."
"1654878748-59","https://www.google.com/maps/place/Fort+Union+Trading+Post+National+Historic+Site/@47.9992646,-113.005405,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+williston+nd!3m6!1s0x5323f1c0457c38cf:0x31e2d875604a4461!8m2!3d47.9992646!4d-104.0405613!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGVEVkhXVWQzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Fur-trading post from the 1800s, offering ranger classes, a bookstore & American-Indian artifacts."
"1654878687-53","https://www.google.com/maps/place/Davidson+Park/@47.9992646,-113.005405,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+williston+nd!3m6!1s0x53215c8543b7c719:0x59c8cfb703cbe042!8m2!3d48.1560681!4d-103.6406368!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41ZVUxSGFTMVJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular haunt with tennis courts, a playground, a seasonal splash pad & picnic areas."
"1654878677-52","https://www.google.com/maps/place/Famous+Dave's+Bar-B-Que/@48.1576719,-103.7158394,13z/data=!4m9!1m2!2m1!1sfood+in+willistoin+nd!3m5!1s0x53215c8f4f573a01:0x5ee519c5d1b6a5cd!8m2!3d48.1576719!4d-103.6458016!15sChRmb29kIGluIHdpbGxpc3RvbiBuZFoWIhRmb29kIGluIHdpbGxpc3RvbiBuZJIBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","Famous Dave's Bar-B-Que","4.3","famousdaves.com","1518 14th St W, Williston, ND 58801","null","null","https://lh5.googleusercontent.com/p/AF1QipM6aOT0PowbvHMD5NNtE73uw1IYe65MFcD94viD=w426-h240-k-no","null"
"1654878717-56","https://www.google.com/maps/place/Fort+Buford+State+Historic+Site/@47.9992646,-113.005405,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+williston+nd!3m5!1s0x5323f05fec975139:0xdc55c872d724cf36!8m2!3d47.987658!4d-104.0004129!15sChx0aGluZ3MgdG8gZG8gaW4gd2lsbGlzdG9uIG5kWh4iHHRoaW5ncyB0byBkbyBpbiB3aWxsaXN0b24gbmSSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZVdFMlgxQjNFQUU","Fort Buford State Historic Site","4.4","history.nd.gov","15349 39th Ln NW, Williston, ND 58801","null","null","https://lh5.googleusercontent.com/p/AF1QipMlWtmFu_4Tn8X6wOCOLeT__PwQHzCQEetmhEZX=w426-h240-k-no","null"
"1654878666-51","https://www.google.com/maps/place/Famous+Dave's+Bar-B-Que/@48.1576719,-103.7158394,13z/data=!4m10!1m2!2m1!1sfood+in+willistoin+nd!3m6!1s0x53215c8f4f573a01:0x5ee519c5d1b6a5cd!8m2!3d48.1576719!4d-103.6458016!10e1!15sChRmb29kIGluIHdpbGxpc3RvbiBuZFoWIhRmb29kIGluIHdpbGxpc3RvbiBuZJIBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Outlet of a BBQ chain serving wood-smoked meats & sides in an American West-themed space."
