web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882681-1330","https://www.google.com/maps/place/Bob+Kerrey+Pedestrian+Bridge./@41.13513,-96.1663259,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m5!1s0x87938fbec72b8345:0x7ac7a8fab259a8df!8m2!3d41.2656331!4d-95.9223128!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEGYnJpZGdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5EYXpoMVdEZEJSUkFC","Bob Kerrey Pedestrian Bridge.","4.8","omaha.net","705 Riverfront Dr, Omaha, NE 68102","null","null","https://lh5.googleusercontent.com/p/AF1QipP7uJFqk8oiLMJyL9lC1Ckawvu_Vvz2NhBmwiq9=w408-h306-k-no","null"
"1654882692-1331","https://www.google.com/maps/place/Fontenelle+Forest/@41.2576124,-96.1393175,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m6!1s0x8793889306b17101:0xee4dd9ff542db632!8m2!3d41.1797528!4d-95.9178333!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEPbmF0dXJlX3ByZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyTUdGMmJVSlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Natural area's hub with a museum, raptor rehabilitation, kids’ classes & indoor playground."
"1654882630-1325","https://www.google.com/maps/place/Fun-Plex+Waterpark+%26+Rides/@41.13513,-96.1663259,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m6!1s0x87938b80ac6fe52d:0x95c719e6c6a1cbc3!8m2!3d41.203969!4d-96.019854!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEOYW11c2VtZW50X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhNamhRTURWQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant","null","Family-friendly destination featuring a roller coaster, water rides, mini-golf, an arcade & more."
"1654882651-1327","https://www.google.com/maps/place/Haworth+Park/@41.13513,-96.1663259,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m6!1s0x8794780699d8d51b:0x6f6d54e1e4112475!8m2!3d41.13513!4d-95.8861745!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VScmJVbDJOaTFSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","1929 city park with flower beds, mature ornamental trees & extensive lawned space."
"1654882609-1323","https://www.google.com/maps/place/Umami+Asian+Cuisine/@41.1449393,-96.0399228,12z/data=!4m10!1m2!2m1!1sfood+in+bellevue+ne!3m6!1s0x87938813db1d3b39:0xeee6c3c09606b6b4!8m2!3d41.1449396!4d-95.9126597!10e1!15sChNmb29kIGluIGJlbGxldnVlIG5lWhUiE2Zvb2QgaW4gYmVsbGV2dWUgbmWSARBzdXNoaV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    High chairs   Restroom","null","Popular, unassuming strip-mall eatery offering a wide sushi menu, plus classic Chinese & Thai fare."
"1654882640-1326","https://www.google.com/maps/place/Fun-Plex+Waterpark+%26+Rides/@41.13513,-96.1663259,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m2!1s0x87938b80ac6fe52d:0x95c719e6c6a1cbc3!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEOYW11c2VtZW50X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhNamhRTURWQlJSQUI","Fun-Plex Waterpark & Rides","4.3","fun-plex.com","7003 Q St, Omaha, NE 68117","null","null","https://lh5.googleusercontent.com/p/AF1QipOaBI4ArwfOaxspxEL9YsC48wTb750OR-MzV6QK=w408-h327-k-no","null"
"1654882702-1332","https://www.google.com/maps/place/Fontenelle+Forest/@41.2576124,-96.1393175,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m2!1s0x8793889306b17101:0xee4dd9ff542db632!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEPbmF0dXJlX3ByZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyTUdGMmJVSlJFQUU","Fontenelle Forest","4.8","fontenelleforest.org","1111 Bellevue Blvd N, Bellevue, NE 68005","null","null","https://lh5.googleusercontent.com/p/AF1QipOSCo2ttlM1BsMHkkujHeF9Qbv-wQjc8_Cxr2dd=w408-h272-k-no","null"
"1654882620-1324","https://www.google.com/maps/place/Umami+Asian+Cuisine/@41.2293974,-96.1237169,12.14z/data=!4m9!1m2!2m1!1sfood+in+bellevue+ne!3m5!1s0x87938813db1d3b39:0xeee6c3c09606b6b4!8m2!3d41.1449396!4d-95.9126597!15sChNmb29kIGluIGJlbGxldnVlIG5lWhUiE2Zvb2QgaW4gYmVsbGV2dWUgbmWSARBzdXNoaV9yZXN0YXVyYW50","Umami Asian Cuisine","4.7","umamiasianne.com","1504 Galvin Rd S, Bellevue, NE 68005","null","null","https://lh5.googleusercontent.com/p/AF1QipPkRpD50O1lZfsMyZFd3tpCyh5ecFt3wtoklvyV=w408-h306-k-no","null"
"1654882661-1328","https://www.google.com/maps/place/Haworth+Park/@41.2576124,-96.1393175,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m5!1s0x8794780699d8d51b:0x6f6d54e1e4112475!8m2!3d41.13513!4d-95.8861745!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VScmJVbDJOaTFSUlJBQg","Haworth Park","4.1","bellevue.net","2502 Payne Dr, Bellevue, NE 68005","null","null","https://lh5.googleusercontent.com/p/AF1QipNJ7S0S_PGkqLLRTKyQ4acBsckPtjnienR1Uqjt=w426-h240-k-no","null"
"1654882671-1329","https://www.google.com/maps/place/Bob+Kerrey+Pedestrian+Bridge./@41.2656331,-96.2024642,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+bellevue+ne!3m6!1s0x87938fbec72b8345:0x7ac7a8fab259a8df!8m2!3d41.2656331!4d-95.9223128!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVsbGV2dWUgbmVaHSIbdGhpbmdzIHRvIGRvIGluIGJlbGxldnVlIG5lkgEGYnJpZGdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5EYXpoMVdEZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Open to pedestrians & cyclists, this modern bridge crosses the Missouri River & connects 2 states."
