web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882420-238","https://www.google.com/maps/place/Lincoln+Children's+Zoo/@40.8005569,-96.845479,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m5!1s0x8796be640f33699f:0xc1b53d83fdcbb045!8m2!3d40.8005726!4d-96.6795449!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTE55MWlNakZSUlJBQg","Lincoln Children's Zoo","4.7","lincolnzoo.org","1222 S 27th St, Lincoln, NE 68502","null","null","https://lh5.googleusercontent.com/p/AF1QipPplygk15KLqZETKpMQWcQq8He6O1sXHLt3Wepd=w408-h272-k-no","null"
"1654882379-234","https://www.google.com/maps/place/Sheldon+Museum+of+Art/@40.7744241,-97.0568189,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m5!1s0x8796bee2fe4ba671:0x62b2b223757f5137!8m2!3d40.8175466!4d-96.7044692!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlpkMkZRYkc1QlJSQUI","Sheldon Museum of Art","4.5","sheldonartmuseum.org","University of Nebraska-Lincoln, 12th and, R St, Lincoln, NE 68588","null","null","https://lh5.googleusercontent.com/p/AF1QipPZe8ImeYS30iCk0qayW_mPPLZJwefc3gBihk2Z=w408-h306-k-no","null"
"1654882430-239","https://www.google.com/maps/place/State+Museum+of+Natural+History/@40.8005569,-96.845479,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m6!1s0x8796bee157756083:0x1019449f625d8bc4!8m2!3d40.8199261!4d-96.7018589!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBFm5hdHVyYWxfaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhNa3RpUzJwblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Founded in 1871, this museum explores Nebraska's biodiversity & culture & also offers a planetarium."
"1654882369-233","https://www.google.com/maps/place/Sheldon+Museum+of+Art/@40.7744241,-97.0568189,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m6!1s0x8796bee2fe4ba671:0x62b2b223757f5137!8m2!3d40.8175466!4d-96.7044692!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlpkMkZRYkc1QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Free Wi-Fi   Restaurant","null","Center known for American works, including 19th-century landscapes & pop art, with sculpture garden."
"1654882409-237","https://www.google.com/maps/place/Lincoln+Children's+Zoo/@40.8005569,-96.845479,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m6!1s0x8796be640f33699f:0xc1b53d83fdcbb045!8m2!3d40.8005726!4d-96.6795449!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTE55MWlNakZSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Attraction featuring diverse animals, birds & a popular train ride, open from April to October."
"1654882399-236","https://www.google.com/maps/place/Pioneers+Park+Nature+Center/@40.8005569,-96.845479,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m5!1s0x8796c012213f439b:0x6c9d2ace807457a!8m2!3d40.7744241!4d-96.7766675!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBD25hdHVyZV9wcmVzZXJ2ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRE1HOWhWMDlCRUFF","Pioneers Park Nature Center","4.7","lincoln.ne.gov","3201 South Coddington, Lincoln, NE 68522","null","null","https://lh5.googleusercontent.com/p/AF1QipOR8V6FTpZ4kVBMmj7n45Vb7gxM7PxiCwxfqZ96=w408-h270-k-no","null"
"1654882348-231","https://www.google.com/maps/place/HopCat/@40.8144196,-96.8523203,12z/data=!4m10!1m2!2m1!1sfood+in+lincoln+ne!3m6!1s0x8796bf1b57a982c3:0xb07bfd45b5abd85a!8m2!3d40.8144196!4d-96.7122446!10e1!15sChJmb29kIGluIGxpbmNvbG4gbmVaFCISZm9vZCBpbiBsaW5jb2xuIG5lkgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUExYSmlNMjEzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Woodwork-filled brew pub with a massive beer list offering creative pub fare & brunch items."
"1654882389-235","https://www.google.com/maps/place/Pioneers+Park+Nature+Center/@40.7744241,-97.0568189,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m6!1s0x8796c012213f439b:0x6c9d2ace807457a!8m2!3d40.7744241!4d-96.7766675!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBD25hdHVyZV9wcmVzZXJ2ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRE1HOWhWMDlCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Prairie, forest & wetlands covering 668 acres for environmental education & animal preservation."
"1654882440-240","https://www.google.com/maps/place/State+Museum+of+Natural+History/@40.8005569,-96.845479,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+lincoln+ne!3m5!1s0x8796bee157756083:0x1019449f625d8bc4!8m2!3d40.8199261!4d-96.7018589!15sChp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZVocIhp0aGluZ3MgdG8gZG8gaW4gbGluY29sbiBuZZIBFm5hdHVyYWxfaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhNa3RpUzJwblJSQUI","State Museum of Natural History","4.7","museum.unl.edu","Morrill Hall, 645 N 14th St, Lincoln, NE 68588","null","null","https://lh5.googleusercontent.com/p/AF1QipMuXq0_Go0WJxERoDZQaBoWvXroX6HNlGaTavtY=w408-h271-k-no","null"
"1654882359-232","https://www.google.com/maps/place/HopCat/@40.8125606,-96.7371659,12z/data=!4m9!1m2!2m1!1sfood+in+lincoln+ne!3m5!1s0x8796bf1b57a982c3:0xb07bfd45b5abd85a!8m2!3d40.8144196!4d-96.7122446!15sChJmb29kIGluIGxpbmNvbG4gbmVaFCISZm9vZCBpbiBsaW5jb2xuIG5lkgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUExYSmlNMjEzUlJBQg","HopCat","4.4","hopcat.com","601 P St Ste 105, Lincoln, NE 68508","null","null","https://lh5.googleusercontent.com/p/AF1QipObUS36FKNs9eahYLS7Y65WxrrVWQL0j0Q6QFqF=w408-h258-k-no","null"
