web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882327-1307","https://www.google.com/maps/place/The+Durham+Museum/@41.2572659,-96.1393142,11z/data=!3m1!5s0x87938fa653aa0383:0x3c223bf25e7c5046!4m10!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m6!1s0x87938fa653d6c967:0x5ddea1f2cc6f522f!8m2!3d41.251469!4d-95.9289649!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJITURaNk9FZDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Art deco train station from 1931 featuring displays on Omaha history as well as traveling exhibits."
"1654882358-1310","https://www.google.com/maps/place/Omaha+Children's+Museum/@41.2572659,-96.1393142,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m2!1s0x87938e530f088695:0x7b26687cac57c925!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FIxcGALlogIh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FiCQkXGRl5Hl8SA5IBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhiR05pTWxCQkVBRQ","Omaha Children's Museum","4.7","ocm.org","500 S 20th St, Omaha, NE 68102","null","null","https://lh5.googleusercontent.com/p/AF1QipPYj60sbKEHJ16NxUXohTLHb-B4E_YELa4ywBHt=w408-h305-k-no","null"
"1654882296-1304","https://www.google.com/maps/place/Block+16/@41.2291816,-96.1237168,12z/data=!3m1!5s0x87938fad9a2d3819:0xc72bace3067bb0ec!4m9!1m2!2m1!1sfood+in+omaha+nebraska!3m5!1s0x87938fad9a1ac4c7:0x2255528dd3e9b8fd!8m2!3d41.2574411!4d-95.9377708!15sChZmb29kIGluIG9tYWhhIG5lYnJhc2thWhgiFmZvb2QgaW4gb21haGEgbmVicmFza2GSAQ1zYW5kd2ljaF9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QZEVwNVJtTm5FQUU","Block 16","4.7","block16omaha.com","1611 Farnam St, Omaha, NE 68106","null","null","https://lh5.googleusercontent.com/p/AF1QipPHGDo2kt_jZgNJu5LR3oHuyWA14dbbkDsfqzxh=w408-h306-k-no","null"
"1654882285-1303","https://www.google.com/maps/place/Block+16/@41.2291816,-96.1237168,12z/data=!3m1!5s0x87938fad9a2d3819:0xc72bace3067bb0ec!4m10!1m2!2m1!1sfood+in+omaha+nebraska!3m6!1s0x87938fad9a1ac4c7:0x2255528dd3e9b8fd!8m2!3d41.2574411!4d-95.9377708!10e1!15sChZmb29kIGluIG9tYWhhIG5lYnJhc2thWhgiFmZvb2QgaW4gb21haGEgbmVicmFza2GSAQ1zYW5kd2ljaF9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QZEVwNVJtTm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible seating   Wheelchair accessible restroom","Amenities    Good for kids   High chairs","null","Sandwich shop with a garden-to-table philosophy serving casual lunches of gyros, burgers & sides."
"1654882378-1312","https://www.google.com/maps/place/Omaha's+Henry+Doorly+Zoo+and+Aquarium/@41.2572659,-96.1393142,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m5!1s0x87938f3c6b22c121:0x12dc551c70c07869!8m2!3d41.2247205!4d-95.9285684!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5CTUZCNlFYSm5SUkFC","Omaha's Henry Doorly Zoo and Aquarium","4.8","omahazoo.com","3701 S 10th St, Omaha, NE 68107","null","null","https://lh5.googleusercontent.com/p/AF1QipM-ql78yz46DGynt2tb1l7i8gK8zOAfN8dCQqiP=w408-h272-k-no","null"
"1654882368-1311","https://www.google.com/maps/place/Omaha's+Henry+Doorly+Zoo+and+Aquarium/@41.2572659,-96.1393142,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m6!1s0x87938f3c6b22c121:0x12dc551c70c07869!8m2!3d41.2247205!4d-95.9285684!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5CTUZCNlFYSm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Dome containing species habitats such as the world's largest indoor rainforest & desert ecosystem."
"1654882337-1308","https://www.google.com/maps/place/The+Durham+Museum/@41.2572659,-96.1393142,11z/data=!3m1!5s0x87938fa653aa0383:0x3c223bf25e7c5046!4m9!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m5!1s0x87938fa653d6c967:0x5ddea1f2cc6f522f!8m2!3d41.251469!4d-95.9289649!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJITURaNk9FZDNFQUU","The Durham Museum","4.7","durhammuseum.org","801 S 10th St, Omaha, NE 68108","null","null","https://lh5.googleusercontent.com/p/AF1QipMzU0Syo2DUV_FILRWUezZT58ySNCwUH---3rIO=w408-h306-k-no","null"
"1654882316-1306","https://www.google.com/maps/place/Joslyn+Castle/@41.2572659,-96.1393142,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m5!1s0x87938e6de227dcf1:0xe4af843dd1884711!8m2!3d41.2616285!4d-95.9718883!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlORFp0VVVGbkVBRQ","Joslyn Castle","4.6","joslyncastle.com","3902 Davenport St, Omaha, NE 68131","null","null","https://lh5.googleusercontent.com/p/AF1QipO3qnrjruZkSDP0sdGbdNVhQHTkMZfS0HplZzfi=w408-h272-k-no","null"
"1654882347-1309","https://www.google.com/maps/place/Omaha+Children's+Museum/@41.2572659,-96.1393142,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m6!1s0x87938e530f088695:0x7b26687cac57c925!8m2!3d41.255121!4d-95.942911!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FIxcGALlogIh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FiCQkXGRl5Hl8SA5IBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhiR05pTWxCQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Assistive hearing loop","Amenities    Good for kids   Restaurant   Restroom","null","Playful exhibits & activities encouraging youth to learn about the world through imagination."
"1654882306-1305","https://www.google.com/maps/place/Joslyn+Castle/@41.2572659,-96.1393142,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+omaha+nebraska!3m6!1s0x87938e6de227dcf1:0xe4af843dd1884711!8m2!3d41.2616285!4d-95.9718883!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gb21haGEgbmVicmFza2FaICIedGhpbmdzIHRvIGRvIGluIG9tYWhhIG5lYnJhc2thkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlORFp0VVVGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Scottish-inspired castle & gardens dating to 1903, with guided tours offered several times a month."
