web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882570-243","https://www.google.com/maps/place/Chimney+Rock+Museum/@41.8554145,-112.6466112,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+scottsbluff!3m6!1s0x877008ba9ee3483b:0x1d9c33caebb9c12f!8m2!3d41.7027335!4d-103.3325012!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYTI5UGVHcDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Geologic formation with a landmark spire & visitor center with exhibits about westward migration."
"1654882621-248","https://www.google.com/maps/place/Scotts+Bluff+National+Monument/@41.8554145,-112.6466112,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+scottsbluff!3m5!1s0x87655092be71b949:0xb0bdbfc59d74c4d!8m2!3d41.8343571!4d-103.7072063!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEQbmF0aW9uYWxfcmVzZXJ2ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaE0zQllhWEJCUlJBQg","Scotts Bluff National Monument","4.8","nps.gov","190276 Old Oregon Trail, Gering, NE 69341","null","null","https://lh5.googleusercontent.com/p/AF1QipPseOeN70JxZj-E3jMgWvqAT_ZJtYaa1iTuT4Ec=w408-h272-k-no","null"
"1654882549-241","https://www.google.com/maps/place/Runza+Restaurant/@41.8649607,-103.6975819,14z/data=!4m10!1m2!2m1!1sfood+in+scottsbluff!3m6!1s0x876551be81625723:0x6683469bc8f02600!8m2!3d41.864965!4d-103.6625679!10e1!15sChNmb29kIGluIHNjb3R0c2JsdWZmWhUiE2Zvb2QgaW4gc2NvdHRzYmx1ZmaSARRmYXN0X2Zvb2RfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Fast-food chain known for namesake German sandwiches, plus burgers, onion rings & crinkle-cut fries."
"1654882631-249","https://www.google.com/maps/place/Riverside+Discovery+Center/@41.8554145,-112.6466112,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+scottsbluff!3m6!1s0x876550533bec9f15:0xe974e4c20a4b379!8m2!3d41.8554145!4d-103.6817675!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTlhVMlNUZG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Big cats, primates & other creatures, plus a petting zoo & splash-pad playground in summer months."
"1654882590-245","https://www.google.com/maps/place/Midwest+Theater/@41.8554145,-112.6466112,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+scottsbluff!3m6!1s0x876551bc3417efa5:0xe5d6803e49a89527!8m2!3d41.8636258!4d-103.6625668!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEXcGVyZm9ybWluZ19hcnRzX3RoZWF0ZXI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Restroom","null","Restored 1946 entertainment hall hosting a variety of live music, movie & theater events."
"1654882610-247","https://www.google.com/maps/place/Scotts+Bluff+National+Monument/@41.8554145,-112.6466112,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+scottsbluff!3m6!1s0x87655092be71b949:0xb0bdbfc59d74c4d!8m2!3d41.8343571!4d-103.7072063!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEQbmF0aW9uYWxfcmVzZXJ2ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaE0zQllhWEJCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Boasting remnants of the Oregon trail, this 3,000-acre park features unique rock formations."
"1654882641-250","https://www.google.com/maps/place/Riverside+Discovery+Center/@40.6863104,-101.4314789,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+scottsbluff!3m5!1s0x876550533bec9f15:0xe974e4c20a4b379!8m2!3d41.8554145!4d-103.6817675!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTlhVMlNUZG5SUkFC","Riverside Discovery Center","4.5","riversidediscoverycenter.org","1600 S Beltline Hwy W, Scottsbluff, NE 69361","null","null","https://lh5.googleusercontent.com/p/AF1QipM_9Py-amqOIIlqkUrnEZkwINlCn_w5rLvEDlAi=w621-h240-k-no","null"
"1654882580-244","https://www.google.com/maps/place/Chimney+Rock+Museum/@41.8554145,-112.6466112,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+scottsbluff!3m5!1s0x877008ba9ee3483b:0x1d9c33caebb9c12f!8m2!3d41.7027335!4d-103.3325012!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYTI5UGVHcDNSUkFC","Chimney Rock Museum","4.4","history.nebraska.gov","9822 County Rd 75, Bayard, NE 69334","null","null","https://lh5.googleusercontent.com/p/AF1QipNQ_PaZa78jBdfhZBG9Wvp9prZfn1wXevhEFD4=w408-h272-k-no","null"
"1654882559-242","https://www.google.com/maps/place/Runza+Restaurant/@41.8684525,-103.6738865,14z/data=!4m9!1m2!2m1!1sfood+in+scottsbluff!3m5!1s0x876551be81625723:0x6683469bc8f02600!8m2!3d41.864965!4d-103.6625679!15sChNmb29kIGluIHNjb3R0c2JsdWZmWhUiE2Zvb2QgaW4gc2NvdHRzYmx1ZmaSARRmYXN0X2Zvb2RfcmVzdGF1cmFudA","Runza Restaurant","4.5","runza.com","1817 Broadway, Scottsbluff, NE 69361","null","null","https://lh5.googleusercontent.com/p/AF1QipMS0oNtrZvQoSf7FNUnrFjmtylLGmSFpxP206ng=w408-h306-k-no","null"
"1654882600-246","https://www.google.com/maps/place/Midwest+Theater/@41.8554145,-112.6466112,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+scottsbluff!3m5!1s0x876551bc3417efa5:0xe5d6803e49a89527!8m2!3d41.8636258!4d-103.6625668!15sCht0aGluZ3MgdG8gZG8gaW4gc2NvdHRzYmx1ZmZaHSIbdGhpbmdzIHRvIGRvIGluIHNjb3R0c2JsdWZmkgEXcGVyZm9ybWluZ19hcnRzX3RoZWF0ZXI","Midwest Theater","4.8","midwesttheater.com","1707 Broadway, Scottsbluff, NE 69361","null","null","https://lh5.googleusercontent.com/p/AF1QipNlowO_zNvlZ6So8A3mZNGlJHs983pJorjGWD80=w426-h240-k-no","null"
