web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881358-189","https://www.google.com/maps/place/Hedden+Park/@40.4598427,-75.7261178,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+concord+nj!3m6!1s0x89c3a00634d6643b:0x70d7d3383fdb4dd4!8m2!3d40.8743853!4d-74.5741563!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdialpoUld0UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park provides picnic areas, riverside paths, a 6-acre lake, trout streams, trails & a playground."
"1654881369-190","https://www.google.com/maps/place/Hedden+Park/@40.4598427,-75.7261178,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+concord+nj!3m5!1s0x89c3a00634d6643b:0x70d7d3383fdb4dd4!8m2!3d40.8743853!4d-74.5741563!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdialpoUld0UlJSQUI","Hedden Park","4.7","morrisparks.net","124 Reservoir Ave, Randolph, NJ 07869","null","null","https://lh5.googleusercontent.com/p/AF1QipMvtXGFgnhUO8LmPR4I96j5jBDyRT9UHGHQJIBS=w408-h272-k-no","null"
"1654881307-184","https://www.google.com/maps/place/Frank+Liske+Park/@35.3692328,-82.9663187,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+concord+nj!3m5!1s0x8854101032c0bed7:0x1bda0f6f31943798!8m2!3d35.361684!4d-80.6182017!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlkVXhxYzNoQlJSQUI","Frank Liske Park","4.7","cabarruscounty.us","4001 Stough Rd, Concord, NC 28027","null","null","https://lh5.googleusercontent.com/p/AF1QipPfiAb6Peg1yd5burFccT1PR3iOuDa5OHwa2wNI=w408-h306-k-no","null"
"1654881277-181","https://www.google.com/maps/place/Polly's+Pancake+Parlor/@44.2227968,-72.0372433,11z/data=!4m10!1m2!2m1!1sfood+in+new+concord+nh!3m6!1s0x4cb4647021849b77:0xfd4e5a88789a5023!8m2!3d44.2213401!4d-71.7749404!10e1!15sChZmb29kIGluIG5ldyBjb25jb3JkIG5oWhgiFmZvb2QgaW4gbmV3IGNvbmNvcmQgbmiSARFicnVuY2hfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Famous pancakes & other daytime eats in a rustic, circa-1830 setting with mountain views & a shop."
"1654881348-188","https://www.google.com/maps/place/Six+Flags+Great+Adventure/@40.4598427,-75.7261178,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+concord+nj!3m5!1s0x89c164831c62ca1d:0x2bd60c6088332f46!8m2!3d40.1360605!4d-74.4361629!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBCnRoZW1lX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlJhRFJxYjNSblJSQUI","Six Flags Great Adventure","4.4","sixflags.com","1 Six Flags Blvd, Jackson Township, NJ 08527","null","null","https://lh5.googleusercontent.com/p/AF1QipPGRuXEm3-6y0b6k1ZKnLKgzABIIdakPuxBEmb5=w408-h434-k-no","null"
"1654881328-186","https://www.google.com/maps/place/SEA+LIFE+Charlotte-Concord/@35.3692328,-82.9663187,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+concord+nj!3m5!1s0x88541ca721c34247:0x6b400918f7bde58b!8m2!3d35.3692328!4d-80.7251078!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TWxCWVJtbG5SUkFC","SEA LIFE Charlotte-Concord","4.2","visitsealife.com","8111 Concord Mills Boulevard, Concord, NC 28027","null","null","https://lh5.googleusercontent.com/p/AF1QipMGROtMAQvu_n8t45RJZGIyhjiaxE0YZxVfzZAB=w426-h240-k-no","null"
"1654881338-187","https://www.google.com/maps/place/Six+Flags+Great+Adventure/@40.4598427,-75.7261178,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+concord+nj!3m6!1s0x89c164831c62ca1d:0x2bd60c6088332f46!8m2!3d40.1360605!4d-74.4361629!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBCnRoZW1lX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlJhRFJxYjNSblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair rental","Amenities    Baggage storage   Bar onsite   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Large, vibrant amusement park featuring fast, high-tech roller-coasters, wildlife areas & more."
"1654881297-183","https://www.google.com/maps/place/Frank+Liske+Park/@35.3692328,-82.9663187,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+concord+nj!3m6!1s0x8854101032c0bed7:0x1bda0f6f31943798!8m2!3d35.361684!4d-80.6182017!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlkVXhxYzNoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular recreation area with picnic pavilions, fishing & boating lake, athletic fields & mini-golf."
"1654881287-182","https://www.google.com/maps/place/Polly's+Pancake+Parlor/@44.2227968,-72.0372433,11z/data=!4m9!1m2!2m1!1sfood+in+new+concord+nh!3m5!1s0x4cb4647021849b77:0xfd4e5a88789a5023!8m2!3d44.2213401!4d-71.7749404!15sChZmb29kIGluIG5ldyBjb25jb3JkIG5oWhgiFmZvb2QgaW4gbmV3IGNvbmNvcmQgbmiSARFicnVuY2hfcmVzdGF1cmFudA","Polly's Pancake Parlor","4.7","pollyspancakeparlor.com","672 Sugar Hill Rd, Sugar Hill, NH 03586","null","null","https://lh5.googleusercontent.com/p/AF1QipO0aJhOP2gdmB_tvZfb2fNx3kTqZx1T9xLQANhu=w408-h272-k-no","null"
"1654881318-185","https://www.google.com/maps/place/SEA+LIFE+Charlotte-Concord/@35.3692328,-82.9663187,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+concord+nj!3m6!1s0x88541ca721c34247:0x6b400918f7bde58b!8m2!3d35.3692328!4d-80.7251078!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBualocIhp0aGluZ3MgdG8gZG8gaW4gY29uY29yZCBuapIBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TWxCWVJtbG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Family-friendly exhibits with a variety of sea creatures (most offer play areas & group packages)."
