web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881496-1272","https://www.google.com/maps/place/Franconia+Notch+State+Park/@44.3070647,-72.8943038,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+littleton+nh!3m5!1s0x4cb47dc5ed247c67:0xb79349700cb68cc3!8m2!3d44.1430035!4d-71.6896299!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZDNOSVJFbEJFQUU","Franconia Notch State Park","4.8","nhstateparks.org","Flume Gorge, Daniel Webster Hwy, Lincoln, NH 03251","null","null","https://lh5.googleusercontent.com/p/AF1QipPad-FM7zKmg0NfbEzoy0YTZ6wg88IJjIN4nSGw=w408-h408-k-no","null"
"1654881413-1264","https://www.google.com/maps/place/Littleton+Freehouse+Taproom+%26+Eatery/@44.3050889,-71.7982603,14z/data=!4m6!1m2!2m1!1sfood+in+littleton+nh!3m2!1s0x4cb46fbe7c871e43:0xcacc403553108b64!15sChRmb29kIGluIGxpdHRsZXRvbiBuaFoWIhRmb29kIGluIGxpdHRsZXRvbiBuaJIBCWdhc3Ryb3B1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWFEVXRUelIzUlJBQg","Littleton Freehouse Taproom & Eatery","4.6","littletonfreehouse.com","28 Cottage St, Littleton, NH 03561","null","null","https://lh5.googleusercontent.com/p/AF1QipMZkhRUdAUjAXWAh97pjCx17oEut5KGN_bSXzrd=w408-h306-k-no","null"
"1654881424-1265","https://www.google.com/maps/place/The+Mount+Washington+Cog+Railway/@44.3070647,-72.8943038,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+littleton+nh!3m6!1s0x4cb38ebc0962311d:0x752126c24732f4c4!8m2!3d44.270017!4d-71.350828!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBiM0oxZFU5QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Historic steam train & biodiesel locomotives for scenic rides to top of mountain, open seasonally."
"1654881403-1263","https://www.google.com/maps/place/Littleton+Freehouse+Taproom+%26+Eatery/@44.3050889,-71.7982603,14z/data=!4m10!1m2!2m1!1sfood+in+littleton+nh!3m6!1s0x4cb46fbe7c871e43:0xcacc403553108b64!8m2!3d44.3051584!4d-71.7700832!10e1!15sChRmb29kIGluIGxpdHRsZXRvbiBuaFoWIhRmb29kIGluIGxpdHRsZXRvbiBuaJIBCWdhc3Ryb3B1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWFEVXRUelIzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Regional beers are showcased with elevated bar food in a comfy, warehouselike setting with a patio."
"1654881486-1271","https://www.google.com/maps/place/Franconia+Notch+State+Park/@44.3070647,-72.8943038,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+littleton+nh!3m6!1s0x4cb47dc5ed247c67:0xb79349700cb68cc3!8m2!3d44.1430035!4d-71.6896299!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZDNOSVJFbEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Swimming, skiing, hiking, canoeing & history inside a mountain pass with a scenic aerial tramway."
"1654881444-1267","https://www.google.com/maps/place/Flume+Gorge/@44.3070647,-72.8943038,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+littleton+nh!3m6!1s0x4cb480bc23c23eb1:0x65e1b607fd35bda9!8m2!3d44.0981109!4d-71.6659212!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTkhKRFUzSlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Natural gorge hiking area with a visitor center, covered bridge & mountain & waterfall views."
"1654881434-1266","https://www.google.com/maps/place/The+Mount+Washington+Cog+Railway/@44.3070647,-72.8943038,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+littleton+nh!3m5!1s0x4cb38ebc0962311d:0x752126c24732f4c4!8m2!3d44.270017!4d-71.350828!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBiM0oxZFU5QkVBRQ","The Mount Washington Cog Railway","4.6","thecog.com","3168 Base Station Rd, Mount Washington, NH 03589","null","null","https://lh5.googleusercontent.com/p/AF1QipPn1TCxF5lWkAyeSwe3-BoSyGlEI0SvAPF_Gx5o=w408-h306-k-no","null"
"1654881465-1269","https://www.google.com/maps/place/Clark's+Bears/@44.3070647,-72.8943038,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+littleton+nh!3m6!1s0x4cb481771815a9b7:0xed2f4c5dc074d3d8!8m2!3d44.04772!4d-71.6858231!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQp0aGVtZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyYzAxbGEwdG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Old-timey, seasonal amusement park where steam train rides & a trained bear show are highlights."
"1654881475-1270","https://www.google.com/maps/place/Clark's+Bears/@44.3070647,-72.8943038,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+littleton+nh!3m2!1s0x4cb481771815a9b7:0xed2f4c5dc074d3d8!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQp0aGVtZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyYzAxbGEwdG5FQUU","Clark's Bears","4.6","clarksbears.com","110 Daniel Webster Hwy, Lincoln, NH 03251","null","null","https://lh5.googleusercontent.com/p/AF1QipPtPpo0VY3iE7JD1awekhy2vb7PQ8Lz7LodMs27=w408-h544-k-no","null"
"1654881454-1268","https://www.google.com/maps/place/Flume+Gorge/@44.3070647,-72.8943038,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+littleton+nh!3m5!1s0x4cb480bc23c23eb1:0x65e1b607fd35bda9!8m2!3d44.0981109!4d-71.6659212!15sChx0aGluZ3MgdG8gZG8gaW4gbGl0dGxldG9uIG5oWh4iHHRoaW5ncyB0byBkbyBpbiBsaXR0bGV0b24gbmiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTkhKRFUzSlJSUkFC","Flume Gorge","4.8","nhstateparks.org","852 Daniel Webster Hwy, Lincoln, NH 03251","null","null","https://lh5.googleusercontent.com/p/AF1QipPJ8_J6WErefyC9UR1j5Z0B4DwzmmSuMQdihXiQ=w408-h544-k-no","null"
