web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881213-1254","https://www.google.com/maps/place/Donovans+Bar+%26+Restaurant+%26+Grill/@39.9721155,-74.3982162,12z/data=!4m9!1m2!2m1!1sfood+in+manchester+nj!3m5!1s0x89c171842150c501:0xbbe847486223a01b!8m2!3d40.0218552!4d-74.2697855!15sChVmb29kIGluIG1hbmNoZXN0ZXIgbmpaFyIVZm9vZCBpbiBtYW5jaGVzdGVyIG5qkgENYmFyX2FuZF9ncmlsbA","Donovans Bar & Restaurant & Grill","4.5","valpak.com","1900 NJ-70, Manchester Township, NJ 08759","null","null","https://lh5.googleusercontent.com/p/AF1QipN7Kaa-L1iwXomXpa38IkHCr-Mt9wly335PA9Y0=w408-h543-k-no","null"
"1654881286-1261","https://www.google.com/maps/place/Tours+of+Zimmerman+and+Kalil+Houses/@42.9461618,-71.7117173,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+manchester+nh!3m6!1s0x89e24f59a1b724bb:0x7a69f7e512a8196e!8m2!3d42.997727!4d-71.4556121!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJlamhxTkhGM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible parking lot","null","null","Residence designed by acclaimed architect Frank Lloyd Wright in 1950, with period furniture & tours."
"1654881255-1258","https://www.google.com/maps/place/Livingston+Park/@42.9896738,-72.0282329,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+manchester+nh!3m2!1s0x89e24f4187a61559:0x90f3ed1127b570e5!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRYMlI1Y2xOQkVBRQ","Livingston Park","4.6","manchesternh.gov","156 Hooksett Rd, Manchester, NH 03104","null","null","https://lh5.googleusercontent.com/p/AF1QipPKocxkKIyYs8t-Asq5PLPphtOKu4Wvh_RyZOI-=w426-h240-k-no","null"
"1654881265-1259","https://www.google.com/maps/place/SEE+Science+Center/@42.9896738,-72.0282329,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+manchester+nh!3m6!1s0x89e24f2838ed4a01:0x2d3ddd17713598e7!8m2!3d42.9896738!4d-71.4679302!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaEi_89az6oCAgAhaHyIddGhpbmdzIHRvIGRvIGluIG1hbmNoZXN0ZXIgbmhiCQl4TtJAJRzbWJIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYURVM1IybDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Small science center, popular with kids, offering an array of educational & interactive exhibits."
"1654881296-1262","https://www.google.com/maps/place/Tours+of+Zimmerman+and+Kalil+Houses/@42.9461618,-71.7117173,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+manchester+nh!3m5!1s0x89e24f59a1b724bb:0x7a69f7e512a8196e!8m2!3d42.997727!4d-71.4556121!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJlamhxTkhGM1JSQUI","Tours of Zimmerman and Kalil Houses","4.7","currier.org","150 Ash St, Manchester, NH 03104","null","null","https://lh5.googleusercontent.com/p/AF1QipPs27Dj67nwe3evC8P9Kzapsisn2fAzVaTO8YNd=w408-h269-k-no","null"
"1654881244-1257","https://www.google.com/maps/place/Livingston+Park/@42.9896738,-72.0282329,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+manchester+nh!3m6!1s0x89e24f4187a61559:0x90f3ed1127b570e5!8m2!3d43.010362!4d-71.4566444!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRYMlI1Y2xOQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park with a running track, baseball diamond, playground, swimming pool & boardwalk around a pond."
"1654881203-1253","https://www.google.com/maps/place/Donovans+Bar+%26+Restaurant+%26+Grill/@39.9721155,-74.3982162,12z/data=!4m10!1m2!2m1!1sfood+in+manchester+nj!3m6!1s0x89c171842150c501:0xbbe847486223a01b!8m2!3d40.0218552!4d-74.2697855!10e1!15sChVmb29kIGluIG1hbmNoZXN0ZXIgbmpaFyIVZm9vZCBpbiBtYW5jaGVzdGVyIG5qkgENYmFyX2FuZF9ncmlsbA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Lively, kid-friendly bar/eatery serving burgers, pasta & other comfort food in a relaxed atmosphere,"
"1654881234-1256","https://www.google.com/maps/place/Veteran's+Memorial+Park/@42.9896738,-72.0282329,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+manchester+nh!3m5!1s0x89e24f2774197afb:0xf368663903dfdfff!8m2!3d42.9886577!4d-71.4622127!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTJOMXBZYlZaQkVBRQ","Veteran's Memorial Park","3.9","manchesternh.gov","723 Elm St, Manchester, NH 03101","null","null","https://lh5.googleusercontent.com/p/AF1QipN8kst9Rg2PWZjFxJ1HayUWD4uQ64dZI1TgfRaQ=w408-h543-k-no","null"
"1654881224-1255","https://www.google.com/maps/place/Veteran's+Memorial+Park/@42.9896738,-72.0282329,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+manchester+nh!3m6!1s0x89e24f2774197afb:0xf368663903dfdfff!8m2!3d42.9886577!4d-71.4622127!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaFofIh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTJOMXBZYlZaQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This expansive lawn anchored by a WWII memorial is  a destination for outdoor concerts & festivals."
"1654881275-1260","https://www.google.com/maps/place/SEE+Science+Center/@42.9896738,-72.0282329,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+manchester+nh!3m5!1s0x89e24f2838ed4a01:0x2d3ddd17713598e7!8m2!3d42.9896738!4d-71.4679302!15sCh10aGluZ3MgdG8gZG8gaW4gbWFuY2hlc3RlciBuaEi_89az6oCAgAhaHyIddGhpbmdzIHRvIGRvIGluIG1hbmNoZXN0ZXIgbmhiCQl4TtJAJRzbWJIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYURVM1IybDNSUkFC","SEE Science Center","4.4","see-sciencecenter.org","200 Bedford St, Manchester, NH 03101","null","null","https://lh5.googleusercontent.com/p/AF1QipOp78tvSWC8Zq2hbikbA8YDxmmieZ_l6wLq9BVd=w426-h240-k-no","null"
