web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881588-1273","https://www.google.com/maps/place/The+Friendly+Toast/@43.076242,-70.7773205,15z/data=!3m1!5s0x89e2bf0b7334e887:0xdca236950a3fad27!4m10!1m2!2m1!1sfood+in+portsmouth+nh!3m6!1s0x89e2bf0b73022143:0x719da32f368a9b8e!8m2!3d43.076242!4d-70.759811!10e1!15sChVmb29kIGluIHBvcnRzbW91dGggbmhaFyIVZm9vZCBpbiBwb3J0c21vdXRoIG5okgETZWNsZWN0aWNfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","American eatery with vegan options & all-day breakfasts served in quirky digs open late on weekends."
"1654881608-1275","https://www.google.com/maps/place/Portsmouth+Historical+Society's+Discover+Portsmouth+Welcome+Center/@43.0766599,-70.8916579,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m6!1s0x89e2bf0b186145f9:0xb45055b2c6a95566!8m2!3d43.0754317!4d-70.7607329!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBEmhpc3RvcmljYWxfc29jaWV0eZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSmIzWjFhM05CUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom","null","null","Hosting exhibits of regional art, this center offers information about local cultural attractions."
"1654881619-1276","https://www.google.com/maps/place/Portsmouth+Historical+Society's+Discover+Portsmouth+Welcome+Center/@43.0766599,-70.8916579,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m5!1s0x89e2bf0b186145f9:0xb45055b2c6a95566!8m2!3d43.0754317!4d-70.7607329!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBEmhpc3RvcmljYWxfc29jaWV0eZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSmIzWjFhM05CUlJBQg","Portsmouth Historical Society's Discover Portsmouth Welcome Center","4.8","portsmouthhistory.org","10 Middle Street, Portsmouth, NH 03801","null","null","https://lh5.googleusercontent.com/p/AF1QipN-5gLlN-irL9Bzj2uRcbmtIxrlzmHU4ONxlJ9d=w408-h272-k-no","null"
"1654881683-1282","https://www.google.com/maps/place/Strawbery+Banke+Museum/@43.0589289,-70.8142826,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m2!1s0x89e2bf0d761c41af:0x9b7d7c325f99173!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMYzFCMk5HWlJFQUU","Strawbery Banke Museum","4.7","strawberybanke.org","14 Hancock St, Portsmouth, NH 03801","null","null","https://lh5.googleusercontent.com/p/AF1QipP5H-HFwRA0SshcxZ6ECPfpEHPPcZmnclxvAD8Q=w408-h306-k-no","null"
"1654881660-1280","https://www.google.com/maps/place/Water+Country+Water+Park/@43.0589289,-70.8142826,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m2!1s0x89e2c04465454c6d:0xe1c6a169e7f89dc9!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBCndhdGVyX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhiMlkzT0hwblJSQUI","Water Country Water Park","4.1","watercountry.com","2300 Lafayette Rd, Portsmouth, NH 03801","null","null","https://lh5.googleusercontent.com/p/AF1QipNdNefHSeGc2_SaNv0NripNCgzqlP7Bh7PbT_jq=w408-h544-k-no","null"
"1654881639-1278","https://www.google.com/maps/place/Prescott+Park/@43.0357053,-70.9199039,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m5!1s0x89e2bf120b3552cf:0x43d1a76bb27c96ff!8m2!3d43.0766599!4d-70.7515822!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXllbDlZUjJkM1JSQUI","Prescott Park","4.7","cityofportsmouth.com","105 Marcy St, Portsmouth, NH 03801","null","null","https://lh5.googleusercontent.com/p/AF1QipO9HljryVjtgouKb2Gi1Lu8S27uHUEDiHs_PMBx=w408-h276-k-no","null"
"1654881598-1274","https://www.google.com/maps/place/The+Friendly+Toast/@43.0689903,-70.7908296,15z/data=!4m6!1m2!2m1!1sfood+in+portsmouth+nh!3m2!1s0x89e2bf0b73022143:0x719da32f368a9b8e!15sChVmb29kIGluIHBvcnRzbW91dGggbmhaFyIVZm9vZCBpbiBwb3J0c21vdXRoIG5okgETZWNsZWN0aWNfcmVzdGF1cmFudA","The Friendly Toast","4.5","thefriendlytoast.com","113 Congress Street, Portsmouth, NH 03801","null","null","https://lh5.googleusercontent.com/p/AF1QipMM1yqStKLtjxitgcS1PcsYcfxBRAXjJEHjVBII=w408-h544-k-no","null"
"1654881670-1281","https://www.google.com/maps/place/Strawbery+Banke+Museum/@43.0589289,-70.8142826,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m6!1s0x89e2bf0d761c41af:0x9b7d7c325f99173!8m2!3d43.0754626!4d-70.7535018!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMYzFCMk5HWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Outdoor living-history museum on 10 acres featuring numerous buildings, gardens & crafts."
"1654881629-1277","https://www.google.com/maps/place/Prescott+Park/@43.0766599,-70.8916579,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m6!1s0x89e2bf120b3552cf:0x43d1a76bb27c96ff!8m2!3d43.0766599!4d-70.7515822!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXllbDlZUjJkM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Waterfront municipal park with flower gardens, fountains, walkways & summer performances."
"1654881650-1279","https://www.google.com/maps/place/Water+Country+Water+Park/@43.0357053,-70.9199039,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+portsmouth+nh!3m6!1s0x89e2c04465454c6d:0xe1c6a169e7f89dc9!8m2!3d43.0357053!4d-70.7798282!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaFofIh10aGluZ3MgdG8gZG8gaW4gcG9ydHNtb3V0aCBuaJIBCndhdGVyX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhiMlkzT0hwblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant   Restroom","null","Huge, kid-friendly aquatic playground with themed pools, an adventure river, dining & slides galore."
