web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880804-1238","https://www.google.com/maps/place/Absecon+Lighthouse/@39.3576681,-74.699323,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m5!1s0x89c0ee2f0c7a5c79:0x8950f23e360b7c91!8m2!3d39.3662608!4d-74.4142552!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZURWWGEzUjNSUkFC","Absecon Lighthouse","4.6","abseconlighthouse.org","31 S Rhode Island Ave, Atlantic City, NJ 08401","null","null","https://lh5.googleusercontent.com/p/AF1QipNuN7OuWGYm_hSUhDpK43zr9vtvT2MHFtGgptA5=w408-h544-k-no","null"
"1654880763-1234","https://www.google.com/maps/place/Kelsey's/@39.3637887,-74.4497644,14z/data=!4m6!1m2!2m1!1sfood+in+atlantic+city+nj!3m2!1s0x89c0ee4081611121:0x45c2af1ac2e82a6b!15sChhmb29kIGluIGF0bGFudGljIGNpdHkgbmpaGiIYZm9vZCBpbiBhdGxhbnRpYyBjaXR5IG5qkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","Kelsey's","4.4","kelseysac.com","1545 Pacific Ave, Atlantic City, NJ 08401","null","null","https://lh5.googleusercontent.com/p/AF1QipPlUU27VqnVU9gCG1cP2zI5T4JRqNpuu8-l_1ZZ=w408-h306-k-no","null"
"1654880784-1236","https://www.google.com/maps/place/Ripley's+Believe+It+or+Not!/@39.3576681,-74.699323,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m2!1s0x89c0ee3e25598d73:0x29e806cbe0754dd5!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlPRmwyU2t0bkVBRQ","Ripley's Believe It or Not!","4.3","ripleys.com","1441 Boardwalk Corner of Boardwalk and, N New York Ave, Atlantic City, NJ 08401","null","null","https://lh5.googleusercontent.com/p/AF1QipPq7bUR3xl7nkVkjLhutm6vbakl9lTwyaRhVku_=w408-h286-k-no","null"
"1654880815-1239","https://www.google.com/maps/place/Atlantic+City+Boardwalk/@39.3576681,-74.699323,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m6!1s0x89c0ee3db447f309:0xfeec885b2bbe949e!8m2!3d39.3539034!4d-74.4381586!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Y2s5UGNqTlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Iconic oceanfront boardwalk featuring views & a variety of shops & restaurants since 1870."
"1654880773-1235","https://www.google.com/maps/place/Ripley's+Believe+It+or+Not!/@39.3576681,-74.699323,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m6!1s0x89c0ee3e25598d73:0x29e806cbe0754dd5!8m2!3d39.3569376!4d-74.425909!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlPRmwyU2t0bkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Museum with kitschy oddities on display, including shrunken human heads & rare animal skeletons."
"1654880753-1233","https://www.google.com/maps/place/Kelsey's/@39.3637887,-74.4497644,14z/data=!4m10!1m2!2m1!1sfood+in+atlantic+city+nj!3m6!1s0x89c0ee4081611121:0x45c2af1ac2e82a6b!8m2!3d39.3597746!4d-74.429386!10e1!15sChhmb29kIGluIGF0bGFudGljIGNpdHkgbmpaGiIYZm9vZCBpbiBhdGxhbnRpYyBjaXR5IG5qkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Stylish supper club serving soul food & weekend brunch, with live music Fridays & Saturdays."
"1654880835-1241","https://www.google.com/maps/place/Steel+Pier/@39.3576681,-74.699323,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m6!1s0x89c0ee3ce2ef0da1:0x58223a37c608bc4f!8m2!3d39.3576681!4d-74.4191716!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSAQ5hbXVzZW1lbnRfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoyUm1Xa0ZSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant   Restroom","null","Amusement park located on a pier over the Atlantic Ocean, with rides, a midway & food vendors."
"1654880845-1242","https://www.google.com/maps/place/Steel+Pier/@39.3721911,-74.6429224,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m5!1s0x89c0ee3ce2ef0da1:0x58223a37c608bc4f!8m2!3d39.3576681!4d-74.4191716!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSAQ5hbXVzZW1lbnRfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWFoyUm1Xa0ZSRUFF","Steel Pier","4.3","steelpier.com","1000 Boardwalk, Atlantic City, NJ 08401","null","null","https://lh5.googleusercontent.com/p/AF1QipM8Cjah_XiHA3gPY6Y_8b7mfUXQX_-x48bAJv8Q=w408-h544-k-no","null"
"1654880794-1237","https://www.google.com/maps/place/Absecon+Lighthouse/@39.3576681,-74.699323,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m6!1s0x89c0ee2f0c7a5c79:0x8950f23e360b7c91!8m2!3d39.3662608!4d-74.4142552!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZURWWGEzUjNSUkFC","null","null","null","null","null","Amenities    Good for kids","null","History museum & state's tallest lighthouse open for climbing with sweeping views of Atlantic City."
"1654880825-1240","https://www.google.com/maps/place/Atlantic+City+Boardwalk/@39.3576681,-74.699323,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+atlantic+city%5D+nj!3m5!1s0x89c0ee3db447f309:0xfeec885b2bbe949e!8m2!3d39.3539034!4d-74.4381586!15sCiF0aGluZ3MgdG8gZG8gaW4gYXRsYW50aWMgY2l0eV0gbmpaIiIgdGhpbmdzIHRvIGRvIGluIGF0bGFudGljIGNpdHkgbmqSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Y2s5UGNqTlJSUkFC","Atlantic City Boardwalk","4.4","atlanticcitynj.com","2301 Boardwalk, Atlantic City, NJ 08401","null","null","https://lh5.googleusercontent.com/p/AF1QipNxUvyDJebegYhegCW23NHs-IyapJ1Pu81EzGZ_=w408-h306-k-no","null"
