web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881045-1252","https://www.google.com/maps/place/Barclay+Farmstead+Museum/@39.9135961,-77.2071287,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m5!1s0x89c6cbaf0f9bb2db:0x112768b8d0c310d2!8m2!3d39.9051183!4d-74.9981739!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MZFZrdFlWWm5FQUU","Barclay Farmstead Museum","4.5","barclayfarmstead.org","209 Barclay Ln, Cherry Hill, NJ 08034","null","null","https://lh5.googleusercontent.com/p/AF1QipMvJClViZ-IpfjYfEZjwNKZQZ4g38tiHeoLZ8bU=w408-h543-k-no","null"
"1654881024-1250","https://www.google.com/maps/place/Challenge+Grove+Park/@39.9135961,-77.2071287,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m2!1s0x89c6cc7f7d0d32ad:0xc94d628f2da383be!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE5YQkhaWE5CUlJBQg","Challenge Grove Park","4.7","camdencounty.com","101 Bortons Mill Rd, Cherry Hill, NJ 08034","null","null","https://lh5.googleusercontent.com/p/AF1QipOLIXjFNVxx1i7aHLbVySM5dAcDMEd82vW5C7X-=w408-h306-k-no","null"
"1654881004-1248","https://www.google.com/maps/place/The+Funplex/@39.9135961,-77.2071287,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m5!1s0x89c14a0bfc663e45:0x2e0b11f91b172a1f!8m2!3d39.9677276!4d-74.8919698!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEOYW11c2VtZW50X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhNMTlFVFU5QkVBRQ","The Funplex","4.4","thefunplex.com","3320-24 NJ-38, Mt Laurel Township, NJ 08054","null","null","https://lh5.googleusercontent.com/p/AF1QipORzDWt1KNj73o9Dt3tQoaRtkQ22y7FT2ZuozX3=w408-h329-k-no","null"
"1654880973-1245","https://www.google.com/maps/place/Cooper+River+Park/@39.9135961,-77.2071287,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m6!1s0x89c6c95d7423a0cd:0xf3df291f23297ab0!8m2!3d39.9246741!4d-75.0595599!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWGQzRnFUV3gzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Boat launch, picnic areas, mini-golf, bike paths & athletic fields in a scenic, riverside setting."
"1654880952-1243","https://www.google.com/maps/place/P.S.+%26+Co./@39.948726,-75.3098107,12z/data=!4m9!1m2!2m1!1sfood+in+cherry+hill+nj!3m5!1s0x89c6c63a5d14cf1b:0xce606f46f3fc3d4b!8m2!3d39.948726!4d-75.169735!10e1","null","null","null","null","Accessibility    Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Vegan restaurant with gluten-free & organic dishes, plus sweets, a rustic feel & outdoor space."
"1654880983-1246","https://www.google.com/maps/place/Cooper+River+Park/@39.9135961,-77.2071287,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m2!1s0x89c6c95d7423a0cd:0xf3df291f23297ab0!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWGQzRnFUV3gzUlJBQg","Cooper River Park","4.6","camdencounty.com","N Park Dr, Pennsauken Township, NJ 08109","null","null","https://lh5.googleusercontent.com/p/AF1QipMP9xD7Eg7usywj3dCaOuk6PhVecBylMQYq7Fky=w408-h306-k-no","null"
"1654880993-1247","https://www.google.com/maps/place/The+Funplex/@39.9135961,-77.2071287,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m6!1s0x89c14a0bfc663e45:0x2e0b11f91b172a1f!8m2!3d39.9677276!4d-74.8919698!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEOYW11c2VtZW50X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhNMTlFVFU5QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Family-fun center with outdoor amusements & waterpark plus indoor arcade, Go-Karts, bowling & more."
"1654881014-1249","https://www.google.com/maps/place/Challenge+Grove+Park/@39.9135961,-77.2071287,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m6!1s0x89c6cc7f7d0d32ad:0xc94d628f2da383be!8m2!3d39.89986!4d-75.0178885!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUE5YQkhaWE5CUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This 18-acre park features playgrounds, a bike path, picnic areas, sports facilities & a garden."
"1654881034-1251","https://www.google.com/maps/place/Barclay+Farmstead+Museum/@39.9135961,-77.2071287,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+cherry+hill+nj!3m6!1s0x89c6cbaf0f9bb2db:0x112768b8d0c310d2!8m2!3d39.9051183!4d-74.9981739!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2hlcnJ5IGhpbGwgbmpaICIedGhpbmdzIHRvIGRvIGluIGNoZXJyeSBoaWxsIG5qkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MZFZrdFlWWm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","This Quaker farmhouse, gardens & trails offer guests a view of living history from the early 1800s."
"1654880962-1244","https://www.google.com/maps/place/P.S.+%26+Co./@39.9011968,-75.0838849,12z/data=!4m5!1m2!2m1!1sfood+in+cherry+hill+nj!3m1!1s0x89c6c63a5d14cf1b:0xce606f46f3fc3d4b","P.S. & Co.","4.4","puresweets.com","1706 Locust St, Philadelphia, PA 19103","null","null","https://lh5.googleusercontent.com/p/AF1QipPlQzE8xaIphNhrHTzl8UORdFfsmBgJEHiNUF5a=w408-h247-k-no","null"
